STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID
1008	WorldNpc10685	4	DialogID_1008			interactinfo_1008	okmenu_1008	28010
1009	WorldNpc10684	4	DialogID_1009			interactinfo_1009	okmenu_1009	28013
1010	Gather00189b	4	DialogID_1010	taskitem_246b-1		interactinfo_1010	okmenu_1010	28014
1011	WorldNpc10685	4	DialogID_1011		taskitem_22-1|taskitem_246b-1	interactinfo_1011	okmenu_1011	28014
1040	WorldNpc04751	11	DialogID_1040			interactinfo_1040	okmenu_1040	28109
1041	WorldNpc04494	11	DialogID_1041	taskitem_262b-1		interactinfo_1041	okmenu_1041	28110
1042	EventNpc28114	11	DialogID_1042			interactinfo_1042	okmenu_1042	28114
1043	WorldNpc04496	11	DialogID_1043			interactinfo_1043	okmenu_1043	28114
1044	EventNpc28121	11	DialogID_1044			interactinfo_1044	okmenu_1044	28121
1045	EventNpc28124	11	DialogID_1045			interactinfo_1045	okmenu_1045	28124
1046	EventNpc28125	11	DialogID_1046			interactinfo_1046	okmenu_1046	28125
1047	EventNpc28127_1	11	DialogID_1047			interactinfo_1047	okmenu_1047	28127
1048	EventNpc28127_2	11	DialogID_1048			interactinfo_1048	okmenu_1048	28127
1049	EventNpc28127_3	11	DialogID_1049			interactinfo_1049	okmenu_1049	28127
1050	EventNpc28147	5	DialogID_1050			interactinfo_1050	okmenu_1050	28147
1051	EventNpc28150	5	DialogID_1051			interactinfo_1051	okmenu_1051	28150
1052	Gather00198b	5	DialogID_1052	taskitem_272b-1		interactinfo_1052	okmenu_1052	28164
1053	Gather00199b	5	DialogID_1053	taskitem_273b-1		interactinfo_1053	okmenu_1053	28165
1054	Gather00200b	5	DialogID_1054			interactinfo_1054	okmenu_1054	28166
1055	Gather00201b	5	DialogID_1055			interactinfo_1055	okmenu_1055	28166
1056	Gather00202b	5	DialogID_1056	useitem_138b-1		interactinfo_1056	okmenu_1056	28166
1057	WorldNpc04241	5	DialogID_1057		taskitem_272b-1|taskitem_273b-1|taskitem_274b-1|taskitem_275b-1|taskitem_276b-1	interactinfo_1057	okmenu_1057	28169
1058	EventNpc28172	5	DialogID_1058			interactinfo_1058	okmenu_1058	28172
1059	EventNpc28173	5	DialogID_1059			interactinfo_1059	okmenu_1059	28173
1060	EventNpc28174	5	DialogID_1060			interactinfo_1060	okmenu_1060	28174
1033	EventNpc28097	16	DialogID_1033			interactinfo_1033	okmenu_1033	28097
1034	Gather00193b	16	DialogID_1034	taskitem_259b-1		interactinfo_1034	okmenu_1034	28100
1035	ly376	16	DialogID_1035			interactinfo_1035	okmenu_1035	28100
1036	ly378	16	DialogID_1036		taskitem_260b-1	interactinfo_1036	okmenu_1036	28102
1038	EventNpc28104	16	DialogID_1038			interactinfo_1038	okmenu_1038	28104
1039	ly378	16	DialogID_1039	taskitem_260b-1		interactinfo_1039	okmenu_1039	28105
1000	WorldNpc10695	4	DialogID_1000			interactinfo_1000	okmenu_1000	28002
1001	WorldNpc10696	4	DialogID_1001			interactinfo_1001	okmenu_1001	28003
1061	WorldNpc04244	5	DialogID_1061	useitem_139b-1		interactinfo_1061	okmenu_1061	28182
1024	WorldNpc08409	4	DialogID_1024	useitem_136b-1		interactinfo_1024	okmenu_1024	
1002	WorldNpc09077	13	DialogID_1002		useitem_132b-2	interactinfo_1002	okmenu_1002	
1003	WorldNpc10634	4	DialogID_1003		taskitem_243b-1	interactinfo_1003	okmenu_1003	
1020	WorldNpc08439	4	DialogID_1020	taskitem_77m-1		interactinfo_1020	okmenu_1020	
1006	EventNpc28008	4	DialogID_1006			interactinfo_1006	okmenu_1006	
1004	EventNpc28007	4	DialogID_1004			interactinfo_1004	okmenu_1004	
1005	WorldNpc10697	4	DialogID_1005			interactinfo_1005	okmenu_1005	
1063	FuncNpc404	4	DialogID_1063			interactinfo_1063	okmenu_1063	
1066	FuncNpc404	4	DialogID_1066			interactinfo_1066	okmenu_1066	28008
1067	WorldNpc10684	4	DialogID_1067			interactinfo_1067	okmenu_1067	28009
1064	Qiecuo_jiaoxue004	57	DialogID_1064			interactinfo_1064	okmenu_1064	
1007	WorldNpc10685	4	DialogID_1007			interactinfo_1007	okmenu_1007	28019
1019	WorldNpc10746	4	DialogID_1019			interactinfo_1019	okmenu_1019	28019
1016	WorldNpc10685	4	DialogID_1016		taskitem_250b-1	interactinfo_1016	okmenu_1016	
1065	FuncNpc406	4	DialogID_1065			interactinfo_1065	okmenu_1065	28008
1037	EventNpc28102	16	DialogID_1037			interactinfo_1037	okmenu_1037	28102
1070	WorldNpc10685	4	DialogID_1070			interactinfo_1070	okmenu_1070	28025
1012	WorldNpc10746	4	DialogID_1012			interactinfo_1012	okmenu_1012	
1013	WorldNpc10634	4	DialogID_1013			interactinfo_1013	okmenu_1013	
1068	Gather70065y	4		useitem_70y-1		interactinfo_1068		
1015	WorldNpc10683	4	DialogID_1015	taskitem_249b-1		interactinfo_1015	okmenu_1015	
1069	FuncNpc406	4	DialogID_1069			interactinfo_1069	okmenu_1069	
1071	WorldNpc10686	4	DialogID_1071			interactinfo_1071	okmenu_1071	
1018	WorldNpc10747	4	DialogID_1018			interactinfo_1018	okmenu_1018	
1017	WorldNpc10687	4	DialogID_1017			interactinfo_1017	okmenu_1017	
1072	WorldNpc10686	4	DialogID_1072		taskitem_168y-1	interactinfo_1072	okmenu_1072	
1073	JMYCYH003	4	DialogID_1073			interactinfo_1073	okmenu_1073	28036
1074	JMYCYH003	4	DialogID_1074			interactinfo_1074	okmenu_1074	28043
1077	WorldNpc10684	4	DialogID_1077		taskitem_285b-1	interactinfo_1077	okmenu_1077	
1075	EventNpc28041	4				interactinfo_1075		28041
1014	WorldNpc10685	4	DialogID_1014			interactinfo_1014	okmenu_1014	
1076	EventNpc28045	4				interactinfo_1076		28045
1062	WorldNpc10699	4	DialogID_1062			interactinfo_1062	okmenu_1062	
1025	EventNpc28054	6	DialogID_1025			interactinfo_1025	okmenu_1025	
1027	WorldNpc03214	6	DialogID_1027			interactinfo_1027	okmenu_1027	
1028	EventNpc28058_1	6	DialogID_1028			interactinfo_1028	okmenu_1028	
1029	EventNpc28058_2	6	DialogID_1029			interactinfo_1029	okmenu_1029	
1031	WorldNpc03013	6	DialogID_1031			interactinfo_1031	okmenu_1031	
1082	EventNpc28063	13				interactinfo_1082		28063
1083	JMYCYH020	13	DialogID_1083			interactinfo_1083	okmenu_1083	28065
1021	EventNpc28050	4	DialogID_1021			interactinfo_1021	okmenu_1021	28050
1023	EventNpc28051	13	DialogID_1023			interactinfo_1023	okmenu_1023	28051
1081	Gather0017cyh	13				interactinfo_1081		28060
1087	WorldNpc08504	13	DialogID_1087	taskitem_029cyh-1		interactinfo_1087	okmenu_1087	28072
1078	WorldNpc09061	13	DialogID_1078			interactinfo_1078	okmenu_1078	28053
1079	JMYCYH031	13	DialogID_1079			interactinfo_1079	okmenu_1079	28053
1080	JMYCYH012	13	DialogID_1080			interactinfo_1080	okmenu_1080	28055
1030	JMYCYH018	13	DialogID_1030			interactinfo_1030	okmenu_1030	28062
1022	JMYCYH038	4	DialogID_1022			interactinfo_1022	okmenu_1022	28051
1026	JMYCYH013	13	DialogID_1026			interactinfo_1026	okmenu_1026	
1084	Gather0018cyh	13				interactinfo_1084		
1085	Gather0019cyh	13				interactinfo_1085		
1032	EventNpc28085	13	DialogID_1032			interactinfo_1032	okmenu_1032	
1088	EventNpc28076	13				interactinfo_1088		28076
1089	JMYCYH029	13	DialogID_1089			interactinfo_1089	okmenu_1089	
1090	JMYCYH013	13	DialogID_1090			interactinfo_1090	okmenu_1090	
1091	JMYCYH013	13	DialogID_1091			interactinfo_1091	okmenu_1091	28057
1092	WorldNpc08409	13	DialogID_1092			interactinfo_1092	okmenu_1092	28060
1093	WorldNpc08409	13	DialogID_1093	taskitem_037cyh-1		interactinfo_1093	okmenu_1093	
1094	JMYCYH049	16	DialogID_1094			interactinfo_1094	okmenu_1094	28093
1095	JMYCYH040	16	DialogID_1095			interactinfo_1095	okmenu_1095	28095
1096	JMYCYH044	16	DialogID_1096			interactinfo_1096	okmenu_1096	28101
1097	EventNpc_jian_3_001	16				interactinfo_1097		28102
1100	JMYCYH050	13	DialogID_1100			interactinfo_1100	okmenu_1100	28091
1098	JMYCYH051	16				interactinfo_1098		28106
1099	JMYCYH050	16	DialogID_1099			interactinfo_1099	okmenu_1099	28109
1086	event_jmyzyb_001	4	DialogID_1086			interactinfo_1086	okmenu_1086	28111
