STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcId	SceneID	DialogID	GetItems	LostItems	TrackInfo	OkMenu	TaskID	HideNpcID
13051	WorldNpc09350	2	DialogID_13051			interactinfo_13051	okmenu_13051	26101	
13052	WorldNpc09351	2	DialogID_13052			interactinfo_13052	okmenu_13052	26102	
13053	WorldNpc09351	2	DialogID_13053	taskitem_316m-1		interactinfo_13053	okmenu_13053	26102	
13054	WorldNpc09149	2	DialogID_13054			interactinfo_13054	okmenu_13054	26105	
13055	WorldNpc09206	2	DialogID_13055	taskitem_318m-1		interactinfo_13055	okmenu_13055	26105	
13056	WorldNpc09148	2	DialogID_13056			interactinfo_13056	okmenu_13056	26106	
13057	WorldNpc09148	2	DialogID_13057	taskitem_319m-1		interactinfo_13057	okmenu_13057	26106	
13058	WorldNpc09350	2	DialogID_13058			interactinfo_13058	okmenu_13058	26107	
13059	WorldNpc09350	2	DialogID_13059			interactinfo_13059	okmenu_13059	26110	
13060	WorldNpc09350	2	DialogID_13060			interactinfo_13060	okmenu_13060	26111	
13061	WorldNpc09353	2	DialogID_13061			interactinfo_13061	okmenu_13061	26111	
13062	WorldNpc09350	2	DialogID_13062			interactinfo_13062	okmenu_13062	26112	
13063	WorldNpc09354	2	DialogID_13063			interactinfo_13063	okmenu_13063	26113	
13064	WorldNpc09350	2	DialogID_13064	taskitem_322m-1		interactinfo_13064	okmenu_13064	26114	
13065	WorldNpc09353	2	DialogID_13065		taskitem_322m-1	interactinfo_13065	okmenu_13065	26114	
13069	WorldNpc09355	2	DialogID_13069			interactinfo_13069	okmenu_13069	26120	
13071	WorldNpc09149	2	DialogID_13071	taskitem_317m-1	taskitem_318m-1	interactinfo_13071	okmenu_13071	26105	
13072	WorldNpc03817	8	DialogID_13072			interactinfo_13072	okmenu_13072	26097	
13066	WorldNpc09153	2	DialogID_13066			interactinfo_13066	okmenu_13066	26118	
13067	WorldNpc09153	2	DialogID_13067			interactinfo_13067	okmenu_13067	26118	
13073	WorldNpc09289	2	DialogID_13073			interactinfo_13073	okmenu_13073	26118	
13068	WorldNpc09355	2	DialogID_13068			interactinfo_13068	okmenu_13068	26119,26122	
13074									
