STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	GroupKarma
2001	孔雀东南飞（禁地）	500	100		repute_jianghu	50																	
2002	孔雀东南飞（禁地）	500	100		repute_jianghu	50																	
2003	孔雀东南飞（禁地）	1000	200		repute_jianghu	100																	
2011	替父报仇（禁地）	500	100		repute_jianghu	50																	
2012	替父报仇（禁地）	500	100		repute_jianghu	50																	
2013	替父报仇（禁地）	500	100		repute_jianghu	50																	
2014	替父报仇（禁地）	500	100		repute_jianghu	50																	
2015	替父报仇（禁地）	500	100		repute_jianghu	50																	
2016	替父报仇（禁地）	1000	200		repute_jianghu	100																	
2017	墨笔武林（禁地）	500	100		repute_jianghu	50																	
2018	墨笔武林（禁地）	1000	200		repute_jianghu	100																	
2020	【孔雀山庄】回一 夜翼（始）	1000	200		repute_jianghu	100																	
2021	【孔雀山庄】回一 夜翼（二）	1000	200		repute_jianghu	100																	
2022	【孔雀山庄】回一 夜翼（三）	1000	200		repute_jianghu	100							TaskItemClone_001105	1	TaskItemClone_001108	1							
2023	【孔雀山庄】回一 夜翼（终）	1000	200		repute_jianghu	100																	
2024	【孔雀山庄】回二 暗翎（始）	1000	200		repute_jianghu	100																	
2025	【孔雀山庄】回二 暗翎（二）	1000	200		repute_jianghu	100																	
2026	【孔雀山庄】回二 暗翎（三）	1000	200		repute_jianghu	100							TaskItemClone_001106	1	TaskItemClone_001109	1							
2027	【孔雀山庄】回二 暗翎（终）	1000	200		repute_jianghu	100																	
2028	【孔雀山庄】回三 冥凰（始）	1000	200		repute_jianghu	100																	
2029	【孔雀山庄】回三 冥凰（二）	1000	200		repute_jianghu	100																	
2030	【孔雀山庄】回三 冥凰（三）	1000	200		repute_jianghu	100							TaskItemClone_001107	1	TaskItemClone_001110	1							
2031	【孔雀山庄】回三 冥凰（终）	1000	200		repute_jianghu	100																	
2032	回贰 可怜之人	544	174		repute_jianghu	2940							yaopin_01100	5									
2033	回叁 可怜之人	558	178		repute_jianghu	2980							yaopin_01100	5									
2034	回肆 可怜之人	572	182		repute_jianghu	3020							yaopin_01100	5									
2035	回伍 可怜之人	586	186		repute_jianghu	3060							yaopin_01100	4									
2038	回陆 可怜之人	600	190		repute_jianghu	3100							yaopin_01100	5									
2039	回柒 可怜之人	614	194		repute_jianghu	3140							yaopin_01100	5									
2040	回捌 可怜之人	628	198		repute_jianghu	3180							yaopin_01100	4									
2041	回玖 可怜之人	642	202		repute_jianghu	3220							yaopin_01100	4									
2042	回拾 可怜之人	656	206		repute_jianghu	3260							yaopin_01100	5									
2043	回拾壹 可怜之人	670	210		repute_jianghu	3300							yaopin_01100	5									
