STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
56046	警告												item_4nei_em_r00	1										
56025	磨刀堂总坛												item_4nei_em_r02	1										
56054	忍恨而归												item_4nei_em_r03	1										
56014	果然如此												item_4nei_em_r01	1										
56065	逍遥老乞												Item_qygp_dgb_000	4										
56090	真相												Box_5nei_taskprize_1	1										
56115	相聚												Box_5nei_taskprize_2	1										
56072	死牢探秘一												Box_5nei_taskprize_6	1										
56071	死牢探秘二												Box_5nei_taskprize_7	1										
56073	推箱子一												Box_5nei_taskprize_6	1										
56074	推箱子二												Box_5nei_taskprize_7	1										
