STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
55003	调查祖真																							
55025	神秘哑仆												item_4nei_sl_55025	1										
55009	狸猫换太子												item_4nei_sl_55010	1										
55040	忍痛而归												item_4nei_sl_r03	1										
55035	清剿余孽（日常）												item_4nei_jy_r04	1										
55027	逆天阴谋												item_4nei_sl_r00	1										
55006	御窑村户口												item_4nei_sl_r01	1										
55013	雪山之巅												item_4nei_sl_r02	1										
55030	磨刀堂残余												item_4nei_sl_r04	1										
55031	磨刀堂余党												item_4nei_wd_r04	1										
55032	清剿据点												item_4nei_tm_r04	1										
55033	磨刀堂残余												item_4nei_jl_r04	1										
55034	磨刀堂残余												item_4nei_jz_r04	1										
55036	磨刀堂残余												item_4nei_gb_r04	1										
55037	战乱												item_4nei_em_r04	1										
55058	扫地僧人撼强敌												Box_5nei_taskprize_1	1										
55072	金陵辨雌雄												Box_5nei_taskprize_5	1										
55095	title_55095												box_2years_hk001	1										
55096	title_55096												box_2years_hk002	1										
