STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
18408	缘分未尽												key_em_shitou2	1	qy_box_equip_04_41	1								
18407	高人点拨												key_em_shitou1	1	qy_em0019	1	qy_em0022	1						
18401	救出峨眉弟子												qy_em0021	1										
18402	峨眉危难												qy_em0011	1										
18403	隐世神尼												qy_em0012	1										
18404	手镯的来历																							
18405	青竹帮主																							
18420	拔刀相助												key_em_mixin	1	qpitem_10078	1								
18463	追查原委											1	ng_book_em_00314	1	ng_book_em_00315	1								
18470	寻找师妹																							
18471	成都碰头																							
18472	寻找知府																							
18473	搭救师妹											1	ng_book_em_00324	1	ng_book_em_00325	1	ng_book_em_00326	1	ng_book_em_00327	1				
18482	大师姐的试炼（续）											1	ng_book_em_00324	1	ng_book_em_00325	1	ng_book_em_00326	1	ng_book_em_00327	1				
18500	师妹近况												key_qy_em_yao	1										
18440	野外遇险												ng_book_em_00301	1										
18441	浣花剑派的挑战												ng_book_em_00302	1										
18442	情愫											1	ng_book_em_00303	1	ng_book_em_00304	1								
18443	流言											1	ng_book_em_00305	1	ng_book_em_00306	1								
18444	小师妹的秘密											1	ng_book_em_00307	1	ng_book_em_00308	1	ng_book_em_00309	1						
18445	蛊王的命令												ng_book_em_00310	1										
18446	百姓之苦												ng_book_em_00311	1										
18447	绿林好汉												ng_book_em_00319	1										
18448	天降奇兵											1	ng_book_em_00320	1	ng_book_em_00321	1								
18449	门派危机											1	ng_book_em_00322	1	ng_book_em_00323	1								
18496	真相											1	ng_book_em_00316	1	ng_book_em_00317	1	ng_book_em_00318	1						
18503	扑朔迷离											1	ng_book_em_00328	1	ng_book_em_00329	1	ng_book_em_00330	1	ng_book_em_00331	1				
18427	探望小师妹											1	ng_book_em_00328	1	ng_book_em_00329	1	ng_book_em_00330	1	ng_book_em_00331	1				
18438	真相大白											1	ng_book_em_00312	1	ng_book_em_00313	1								
