STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
17601	略施惩戒												qy_box_tableitem_DS	1										
17603	潜入渔村												TaskItemClone_003013	1										
17604	拯救村民												qy_msjl001	1										
17611	探查庙中庙												key_qy_gb304_lingpai	1										
17615	看望朱迪												key_qy_gb302_lingpai	1										
17617	孔雀之行												key_qy_gb303_lingpai	1										
17608	告知帮主												key_qy_gbsm_lp22	1										
17610	调查邢君可去向																							
17636	夺回货物												key_qy_gb401_xin	1										
17637	教训恶虎山寨												key_qy_gb403_xin	1										
17638	刺探锦衣												key_qy_gb404_xin	1										
17639	补充库存												key_qy_gb405_xin	1										
17621	石长老的委托壹												ng_book_gb_00301	1										
17622	石长老的委托贰												ng_book_gb_00302	1										
17623	石长老的委托叁											1	ng_book_gb_00303	1	ng_book_gb_00304	1								
17624	石长老的委托肆											1	ng_book_gb_00305	1	ng_book_gb_00306	1								
17625	石长老的委托伍											1	ng_book_gb_00307	1	ng_book_gb_00308	1	ng_book_gb_00309	1						
17626	加强守卫												ng_book_gb_00310	1										
17627	前往运镖												ng_book_gb_00311	1										
17628	万兽比武											1	ng_book_gb_00312	1	ng_book_gb_00313	1								
17629	当年往事											1	ng_book_gb_00314	1	ng_book_gb_00315	1								
17618	萧天放的考验											1	ng_book_gb_00316	1	ng_book_gb_00317	1	ng_book_gb_00318	1						
17630	收集情报												ng_book_gb_00319	1										
17631	拜访正派掌门											1	ng_book_gb_00320	1	ng_book_gb_00321	1								
17632	相助难民											1	ng_book_gb_00322	1	ng_book_gb_00323	1								
17619	追回打狗棒											1	ng_book_gb_00328	1	ng_book_gb_00329	1	ng_book_gb_00330	1	ng_book_gb_00331	1				
17609	惊天大乱											1	ng_book_gb_00324	1	ng_book_gb_00325	1	ng_book_gb_00326	1	ng_book_gb_00327	1				
17612	问罪唐门											1	ng_book_gb_00328	1	ng_book_gb_00329	1	ng_book_gb_00330	1	ng_book_gb_00331	1				
17616	唐门来信											1	ng_book_gb_00328	1	ng_book_gb_00329	1	ng_book_gb_00330	1	ng_book_gb_00331	1				
17634	收集疗伤药											1	ng_book_gb_00324	1	ng_book_gb_00325	1	ng_book_gb_00326	1	ng_book_gb_00327	1				
17633	草药救人												key_qy_gb413_xin	1										
17704	回禀掌门											1	ng_book_em_00328	1	ng_book_em_00329	1	ng_book_em_00330	1	ng_book_em_00331	1				
17705	调查江湖											1	ng_book_tm_00312	1	ng_book_tm_00313	1								
17709	试炼贰											1	ng_book_tm_00316	1	ng_book_tm_00317	1	ng_book_tm_00318	1						
17606	买酒												key_qy_gbsm_lp22	1										
17620	赶往法华寺												key_qy_gb301_ditu	1										
