STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	LifeExpPack	KarmaPrize	GroupKarma
501	药师任务（一）		25																			4	1000			
502	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
503	毒师任务（一）		25																			4	1000			
504	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
505	矿工任务（一）		25																			4	1000			
506	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
511	渔夫任务		25										0	sh_vip_10003	1							4	1000			
512	樵夫任务		25										0	sh_vip_10002	1							4	1000			
513	农夫任务		25										0	sh_vip_10004	1							4	1000			
514	猎户任务		25										0	sh_vip_10005	1							4	1000			
702	药师任务（一）		25																			4	1000			
703	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
704	毒师任务（一）		25																			4	1000			
705	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
706	矿工任务（一）		25																			4	1000			
707	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
712	渔夫任务		25										0	sh_vip_10003	1							4	1000			
713	樵夫任务		25										0	sh_vip_10002	1							4	1000			
714	农夫任务		25										0	sh_vip_10004	1							4	1000			
715	猎户任务		25										0	sh_vip_10005	1							4	1000			
722	药师任务（一）		25																			4	1000			
723	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
724	毒师任务（一）		25																			4	1000			
725	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
726	矿工任务（一）		25																			4	1000			
727	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
732	渔夫任务		25										0	sh_vip_10003	1							4	1000			
733	樵夫任务		25										0	sh_vip_10002	1							4	1000			
734	农夫任务		25										0	sh_vip_10004	1							4	1000			
735	猎户任务		25										0	sh_vip_10005	1							4	1000			
742	药师任务（一）		25																			4	1000			
743	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
744	毒师任务（一）		25																			4	1000			
745	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
746	矿工任务（一）		25																			4	1000			
747	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
752	渔夫任务		25										0	sh_vip_10003	1							4	1000			
753	樵夫任务		25										0	sh_vip_10002	1							4	1000			
754	农夫任务		25										0	sh_vip_10004	1							4	1000			
755	猎户任务		25										0	sh_vip_10005	1							4	1000			
762	药师任务（一）		25																			4	1000			
763	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
764	毒师任务（一）		25																			4	1000			
765	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
766	矿工任务（一）		25																			4	1000			
767	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
772	渔夫任务		25										0	sh_vip_10003	1							4	1000			
773	樵夫任务		25										0	sh_vip_10002	1							4	1000			
774	农夫任务		25										0	sh_vip_10004	1							4	1000			
775	猎户任务		25										0	sh_vip_10005	1							4	1000			
782	药师任务（一）		25																			4	1000			
783	药师任务（二）		25										0	sh_vip_10006	1							4	1000			
784	毒师任务（一）		25																			4	1000			
785	毒师任务（二）		25										0	sh_vip_10007	1							4	1000			
786	矿工任务（一）		25																			4	1000			
787	矿工任务（二）		25										0	sh_vip_10001	1							4	1000			
792	渔夫任务		25										0	sh_vip_10003	1							4	1000			
793	樵夫任务		25										0	sh_vip_10002	1							4	1000			
794	农夫任务		25										0	sh_vip_10004	1							4	1000			
795	猎户任务		25										0	sh_vip_10005	1							4	1000			
545	矿工日常任务		25										0	shouzha_1	1							4	1000			
546	矿工日常任务		25										0	shouzha_2	1							4	1000			
547	矿工日常任务		25										0	shouzha_3	1							4	1000			
548	矿工日常任务		25										0	shouzha_4	1							4	1000			
549	矿工日常任务		25										0	shouzha_5	1							4	1000			
