STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
84300			20000		238	repute_jianghu	10			eytask_1				task_gb_gbzd_01	1	growitem_1	3					99	20000		
84301			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84302			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84303			10000		238	repute_jianghu	10							task_gb_gbzd_01	1							99	10000		
84304			10000		238	repute_jianghu	10							task_gb_gbzd_01	1							99	10000		
84305			20000		238	repute_jianghu	10			eytask_1				task_gb_gbzd_01	1	growitem_1	3					99	20000		
84306			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84307			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84308			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84309			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84310			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3	box_eytask_1	1			99	20000		
84311			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84312			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84313			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84314			10000		238	repute_jianghu	10							task_gb_gbzd_01	1							99	10000		
84315			20000		238	repute_jianghu	10							task_gb_gbzd_01	1	growitem_1	3					99	20000		
84316			10000		238	repute_jianghu	10							task_gb_gbzd_01	1							99	10000		
