STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
80850	贪玩成性	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80863	少年习武	40	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80866	银针茶的传说	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80867	汗血宝马	80	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80868	醉打金枝	20	20000		178	repute_jianghu	10			eytask_1			0	task_jmy_jmy_01	1	yaopin_00100	5	yaopin_10100	5	growitem_1	3	99	20000		
80869	盗得宝物	40	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80880	拦路劫匪	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80883	夺回酒杯	80	20000		178	repute_jianghu	10						0	task_jmy_jmy_01	1	growitem_1	3	box_eytask_1	1			99	20000		
80888	制作机关	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80891	助人为乐	40	20000		178	repute_jianghu	10			eytask_1			0	task_jmy_jmy_01	1	growitem_1	3					99	20000		
80892	寻剑流云	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80894	陪嫁丫鬟	80	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1	yaopin_00200	5	yaopin_10200	5			99	10000		
80895	大意的新郎	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80896	寻剑落云	40	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80897	教训女真人士兵	60	20000		178	repute_jianghu	10						0	task_jmy_jmy_01	1	growitem_1	3	box_eytask_1	1			99	20000		
80901	寻剑清云	80	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80904	为虎作伥	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80912	夺回红枣	40	20000		178	repute_jianghu	10			eytask_1			0	task_jmy_jmy_01	1	growitem_1	3					99	20000		
80913	抢回香囊	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80914	拿回猫眼石	80	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80931	取回猪油	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80934	鸡鸣往事	40	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80935	忠贞不渝	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80936	奸诈的媒婆	80	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1	yaopin_00200	5	yaopin_10200	5			99	10000		
80944	又是东海白衣人	20	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80948	旧事恩怨	40	20000		178	repute_jianghu	10						0	task_jmy_jmy_01	1	growitem_1	3	box_eytask_1	1			99	20000		
80954	美妻骗钱	60	10000		178	repute_jianghu	10						0	task_jmy_jmy_01	1							99	10000		
80851	黄金甲	80	10000		357	repute_jianghu	35						0	task_jmy_cql_01	1							99	10000		
80852	杀人庄	20	10000		357	repute_jianghu	35						0	task_jmy_cql_01	1							99	10000		
80857	江湖名望	40	10000		357	repute_jianghu	35						0	task_jmy_cql_01	1							99	10000		
