STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
83800	闹事的江湖人		7233			repute_jianghu	15736							shoes_jh_11114	1							99	1000		
83801	吓人巨蟒		6833			repute_jianghu	15736			eytask_6				cloth_jh_11113	1							99	1000		
83802	毒蝎之乱		6966			repute_jianghu	15736			eytask_6				ear_jh_11112	1							99	1000		
83803	烦恼之事		7100			repute_jianghu	15736							lstuff_jh_11113	1							99	1000		
83804	收集蛇蛋		7233			repute_jianghu	15736							amulet_jh_11112	1							99	1000		
83805	楼兰商机		7367			repute_jianghu	15736							ring_jh_11112	1							99	1000		
83806	看好你哦		7500			repute_jianghu	15736							sthorn_jh_11113	1							99	1000		
83807	有空揍人		7233			repute_jianghu	15736							shoes_jh_11113	1							99	1000		
83808	研究石头		6833			repute_jianghu	15736							pants_jh_11113	1							99	1000		
83809	狼群出没		6966			repute_jianghu	15736			eytask_6				ssword_jh_11113	1							99	1000		
83810	狼骨商机		7100			repute_jianghu	15736							leg_jh_11113	1							99	1000		
83811	大事件		7233			repute_jianghu	15736							leg_jh_11114	1							99	1000		
83812	那啥有事		7367			repute_jianghu	15736							cosh_jh_11113	1							99	1000		
83813	欠债还钱		7500			repute_jianghu	15736							cloth_jh_11114	1							99	1000		
83814	带信杀人		7233			repute_jianghu	15736							sblade_jh_11113	1							99	1000		
83815	送信的		6833			repute_jianghu	15736							pants_jh_11114	1							99	1000		
83816	被打之事		6966			repute_jianghu	15736							ring_jh_11115	1							99	1000		
83817	小姐发火了		7100			repute_jianghu	15736							helmet_jh_11114	1							99	1000		
83818	魔城余波		7233			repute_jianghu	15736			eytask_6				thorn_jh_11113	1							99	1000		
83819	魔鬼迷烟		7367			repute_jianghu	15736			eytask_6				amulet_jh_11115	1							99	1000		
83820	集合商量		7500			repute_jianghu	15736							wrist_jh_11115	1							99	1000		
83821	寻找小黄		7233			repute_jianghu	15736							sword_jh_11113	1							99	1000		
83822	请客吃饭		6833			repute_jianghu	15736							ear_jh_11115	1							99	1000		
83823	忘情之药		5466			repute_jianghu	15736							helmet_jh_11113	1							99	1000		
83824	泻药很猛		6833			repute_jianghu	15736							blade_jh_11113	1							99	1000		
83825	大补丸		6966			repute_jianghu	15736							wrist_jh_11112	1							99	1000		
