STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
81500	扇上题诗		3105			repute_jianghu	1932							amulet_jh_10620	1							99	1000		
81501	过期不还		3428			repute_jianghu	1932							blade_jh_10615	1							99	1000		
81502	桃花姻缘		3750			repute_jianghu	1932							helmet_jh_10616	1							99	1000		
81503	身中奇毒		3105			repute_jianghu	1932							sword_jh_10615	1							99	1000		
81504	珍稀草药		3428			repute_jianghu	1932							ring_jh_10620	1							99	1000		
81505	鲜艳毒果		3750			repute_jianghu	1932							ear_jh_10620	1							99	1000		
81506	漏水木桶		3105			repute_jianghu	1932							thorn_jh_10615	1							99	1000		
81507	修复斧柄		3428			repute_jianghu	1932							ear_jh_10616	1							99	1000		
81508	不速之客		3750			repute_jianghu	1932			eytask_3				shoes_jh_10616	1							99	1000		
81509	丢失钱袋		3105			repute_jianghu	1932							amulet_jh_10616	1							99	1000		
81510	询问卖粮		3428			repute_jianghu	1932							ssword_jh_10616	1							99	1000		
81511	新衣被夺		3750			repute_jianghu	1932							pants_jh_10616	1							99	1000		
81512	惹是生非		3105			repute_jianghu	1932							wrist_jh_10620	1							99	1000		
81513	狂牛乱奔		3428			repute_jianghu	1932			eytask_3				cosh_jh_10616	1							99	1000		
81514	丢失棋子		3750			repute_jianghu	1932							leg_jh_10620	1							99	1000		
81515	杀手出没		3105			repute_jianghu	1932			eytask_3				wrist_jh_10616	1							99	1000		
81516	事有古怪		3428			repute_jianghu	1932							lstuff_jh_10616	1							99	1000		
81517	身份可疑		3750			repute_jianghu	1932							pants_jh_10620	1							99	1000		
81518	捡拾柴火		3105			repute_jianghu	1932							sthorn_jh_10615	1							99	1000		
81519	丢失头钗		3428			repute_jianghu	1932							shoes_jh_10620	1							99	1000		
81520	缺少食材		3750			repute_jianghu	1932							cloth_jh_10616	1							99	1000		
81521	血海深仇		3428			repute_jianghu	1932			eytask_3				sblade_jh_10616	1							99	1000		
81522	酒后乱语		3750			repute_jianghu	1932							cloth_jh_10620	1							99	1000		
