STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
80600	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80601	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	yaopin_00100	5	yaopin_10100	5			99	10000		
80602	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80603	бЬгъзЏ		20000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	growitem_1	3	box_eytask_1	1			99	20000		
80605	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80606	бЬгъзЏ		10000		178	repute_jianghu	10			eytask_1			0	task_yyz_yyz_01	1	growitem_1	3					99	10000		
80607	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80608	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80609	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80610	бЬгъзЏ		20000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80611	бЬгъзЏ		20000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80612	бЬгъзЏ		20000		178	repute_jianghu	10			eytask_1			0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80613	бЬгъзЏ		20000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80614	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80615	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80616	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80617	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80618	бЬгъзЏ		20000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80619	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1							99	10000		
80620	бЬгъзЏ		20000		178	repute_jianghu	10			eytask_1			0	task_yyz_yyz_01	1	growitem_1	3					99	20000		
80621	бЬгъзЏ		10000		178	repute_jianghu	10						0	task_yyz_yyz_01	1	yaopin_00200	5	yaopin_10200	5			99	10000		
