STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
101	门派守方胜	2000											1	book_zs_wd_01_08	1	sword00356	1								
102	门派守方胜	1500											1	book_zs_wd_01_07	1	sword00336	1								
103	title_103	1000											1	book_zs_wd_01_06	1	sword00256	1								
104	title_104	500											1	book_zs_wd_01_05	1	sword00214	1								
105	title_105	2000											1	book_zs_tm_01_08	1	thorn00553	1								
106	title_106	1500											1	book_zs_tm_01_07	1	thorn00413	1								
107	title_107	1000											1	book_zs_tm_01_06	1	thorn00255	1								
108	title_108	500											1	book_zs_tm_01_05	1	thorn00213	1								
109	title_109	3000											1	book_zs_tm_02_08	1	thorn00213	1								
41	拜入师门																								
42	拜入师门																								
43	拜入师门																								
44	拜入师门																								
45	拜入师门																								
46	拜入师门																								
47	拜入师门																								
48	拜入师门																								
170	武馆教学（防御）		100			repute_jianghu	20															5	2000		
171	破防教学		100			repute_jianghu	20															5	2000		
172	实招教学		100			repute_jianghu	20															5	2000		
173	连招教学		100			repute_jianghu	20															5	2000		
174	怒气教学		100			repute_jianghu	20															5	2000		
175	武馆教学（防御）		100			repute_jianghu	20															5	2000		
176	破防教学		100			repute_jianghu	20															5	2000		
177	实招教学		100			repute_jianghu	20															5	2000		
178	连招教学		100			repute_jianghu	20															5	2000		
179	怒气教学		100			repute_jianghu	20															5	2000		
180	武馆教学（防御）		100			repute_jianghu	20															5	2000		
181	破防教学		100			repute_jianghu	20															5	2000		
182	实招教学		100			repute_jianghu	20															5	2000		
183	连招教学		100			repute_jianghu	20															5	2000		
184	怒气教学		100			repute_jianghu	20															5	2000		
185	武馆教学（防御）		100			repute_jianghu	20															5	2000		
186	破防教学		100			repute_jianghu	20															5	2000		
187	实招教学		100			repute_jianghu	20															5	2000		
188	连招教学		100			repute_jianghu	20															5	2000		
189	怒气教学		100			repute_jianghu	20															5	2000		
190	武馆教学（防御）		100			repute_jianghu	20															5	2000		
191	破防教学		100			repute_jianghu	20															5	2000		
192	实招教学		100			repute_jianghu	20															5	2000		
193	连招教学		100			repute_jianghu	20															5	2000		
194	怒气教学		100			repute_jianghu	20															5	2000		
116	运镖劫镖		200																			5	2000		
117	运镖劫镖		200																			5	2000		
118	师门夺书		200																			5	2000		
119	师门夺书		200																			5	2000		
120	绑匪		200																			5	2000		
121	侠士		200																			5	2000		
122	擂台		200																			5	2000		
135	运镖劫镖		200																			5	2000		
136	运镖劫镖		200																			5	2000		
137	绑匪		200																			5	2000		
138	绑匪		200																			5	2000		
139	师门夺书		200																			5	2000		
140	师门夺书		200																			5	2000		
60	武馆学艺		500			repute_jianghu	20							zhenqi_item_005	2							5	2000		
61	坐忘功修炼		500			repute_jianghu	20															5	2000		
62	武馆学艺		500			repute_jianghu	20							zhenqi_item_005	2							5	2000		
63	坐忘功修炼		500			repute_jianghu	20															5	2000		
64	武馆学艺		500			repute_jianghu	20							zhenqi_item_005	2							5	2000		
65	坐忘功修炼		500			repute_jianghu	20															5	2000		
66	武馆学艺		500			repute_jianghu	20							zhenqi_item_005	2							5	2000		
67	坐忘功修炼		500			repute_jianghu	20															5	2000		
68	寻师问道		75			repute_jianghu	20															5	2000		
69	title_69		500			repute_jianghu	20															5	2000		
195	行酒令													QingmingBox_1	1										
196	行酒令													QingmingBox_1	1										
197	行酒令													QingmingBox_1	1										
206	江湖群侠祭先皇（三）													task_huodong_qingming_002	1										
209	行酒令													QingmingBox_1	1										
210	行酒令													QingmingBox_1	1										
211	行酒令													QingmingBox_1	1										
212	行酒令													QingmingBox_1	1										
213	行酒令													QingmingBox_1	1										
214	行酒令													QingmingBox_1	1										
215	行酒令													QingmingBox_1	1										
216	行酒令													QingmingBox_1	1										
217	行酒令													QingmingBox_1	1										
218	行酒令													QingmingBox_1	1										
219	行酒令													QingmingBox_1	1										
220	行酒令													QingmingBox_1	1										
221	行酒令													QingmingBox_1	1										
222	行酒令													QingmingBox_1	1										
223	行酒令													QingmingBox_1	1										
224	行酒令													QingmingBox_1	1										
225	行酒令													QingmingBox_1	1										
226	行酒令													QingmingBox_1	1										
447	title_447													huigui_box00	1										
448	title_448													huigui_box25	1	huigui_box00	1								
449	title_449													huigui_box26	1	huigui_box00	1								
450	title_450													huigui_box27	1	huigui_box00	1								
451	title_451													huigui_box28	1	huigui_box00	1								
452	title_452													huigui_box29	1	huigui_box00	1								
453	title_453													huigui_box30	1	huigui_box00	1								
454	title_454													huigui_box31	1	huigui_box00	1								
455	title_455													huigui_box32	1	huigui_box00	1								
465	礼盒					repute_jianghu	3000							wnhd_duanwubag_001	1										
466	修为药													additem_0010	1										
467	修为药													additem_0010	1										
468	10牌子													box_active_02	1										
469	20牌子													box_active_08	1										
470	50牌子													box_active_03	1										
474	江湖名俊（每周领福利）													item_jianghu_clone_key	1										
475	江湖名俊（每日领福利）													growitem_8	1										
471	[普通]暮色之村挑战					repute_jianghu	5000																		
472	[困难]暮色之村挑战													box_active_02	1										
473	[地狱]暮色之村挑战													box_active_08	1										
476	[普通]龙门客栈挑战													box_active_02	1										
477	[困难]龙门客栈挑战													box_active_08	1										
478	[地狱]龙门客栈挑战													box_active_08	1	sd_box_175	1								
227	[团练]夏练三伏													itm_green_01	2										
479	title_479													may_growitem_51	1										
480	title_480													9ygc_lilianjie_001	1										
481	二内门派任务													jmitem_actadd_03	1										
482	二内门派任务													jmitem_actadd_03	1										
483	二内门派任务													jmitem_actadd_03	1										
484	二内门派任务													jmitem_actadd_03	1										
485	二内门派任务													jmitem_actadd_03	1										
486	二内门派任务													jmitem_actadd_03	1										
487	二内门派任务													jmitem_actadd_03	1										
488	二内门派任务													jmitem_actadd_03	1										
490	激活第六条经脉													jmitem_actadd_05	1										
491	激活第七条经脉													jmitem_actadd_06	1										
