STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	CapitalType2	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount
26289	s050701	829	4970			repute_jianghu	833				61975	0	0	TASKBAG_001	1							4	5500
26290	s050701	829	4970			repute_jianghu	833						0	yaopin_00500	5	yaopin_10500	5					5	5000
26291	s050701	1106	7455			repute_jianghu	1110						0	amulet_jh_10602	1								
26292	s050701	2211	14911			repute_jianghu	2220															4	5500
26293	s050701	829	4970			repute_jianghu	833				61975	1	0	cloth_jh_10601	1	pants_jh_10601	1					5	5000
26294	s050702	1106	7455			repute_jianghu	1110				61976	0	0	wrist_jh_10605	1	ear_jh_10605	1					4	5500
26295	s050702	829	4970			repute_jianghu	833															5	5000
26296	s050702	829	4970			repute_jianghu	833															4	5500
26297	s050702	1106	7455			repute_jianghu	1110				61976	1	0	helmet_jh_10604	1	ring_jh_10602	1					5	5000
26298	s050703	1106	7455			repute_jianghu	1110				61977	0										4	11000
26299	s050703	2211	14911			repute_jianghu	2220						0	leg_jh_10603	1	shoes_jh_10604	1						
26300	s050703	1106	7455			repute_jianghu	1110						0	cosh_jh_20601	1							5	10000
26301	s050703	829	4970			repute_jianghu	833				61977	1										4	5500
26302	s050704	829	4970			repute_jianghu	833				61978	0										5	5000
26303	s050704	829	4970			repute_jianghu	833						0	amulet_jh_10612	1								
26304	s050704	12161	75796			repute_jianghu	12207															4	5500
26305	s050704	1106	7455			repute_jianghu	1110				61978	1	0	pants_jh_10614	1							5	5000
