STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Title	Faculty	CapitalType1	NormalCapital	ReputeName1	ReputeCount1	ReputeName3	ReputeCount2	DropID	AddPrize	IsGive	PrizeItemType	Item1	Num1	Item2	Num2	Item3	Num3	Item4	Num4	LiveGroove	LiveGrooveCount	KarmaPrize	GroupKarma
49201	山庄义务		10000																		99	10000		
49202	山庄义务		10000																		99	10000		
49203	山庄义务		10000																		99	10000		
49204	山庄义务		10000																		99	10000		
49205	山庄义务		10000																		99	10000		
49206	山庄义务		10000																		99	10000		
49207	山庄义务		10000																		99	10000		
49208	山庄义务		10000																		99	10000		
49209	山庄义务		10000																		99	10000		
49210	山庄义务		10000																		99	10000		
49211	山庄义务		10000																		99	10000		
49212	寻找失窃食物		10000																		99	10000		
49213	喂食		10000																		99	10000		
49214	安抚猛兽		10000																		99	10000		
49223	犒劳守卫		10000																		99	10000		
49236	收集蔬菜		10000																		99	10000		
49233	运送粮食		10000																		99	10000		
49227	治疗受伤路人		10000																		99	10000		
49235	解救乞丐		10000																		99	10000		
49219	寻找失踪动物		10000																		99	10000		
49234	询问药方		10000																		99	10000		
49228	送信		10000																		99	10000		
49218	清扫道路		10000																		99	10000		
49220	收集木材		10000																		99	10000		
49232	询问底细		10000																		99	10000		
49224	引荐江湖人		10000																		99	10000		
49215	了解野兽外貌		10000		repute_wanshou	2300							item_wssz_001	3							99	10000		
49216	了解野兽习性		10000		repute_wanshou	3000							item_wssz_001	3							99	10000		
49222	埋葬兽骨		10000																		99	10000		
49225	劝说路人		10000																		99	10000		
49221	带领小孩参观大象		10000																		99	10000		
49226	辨认脚印		10000																		99	10000		
49230	认真工作		10000																		99	10000		
49229	任性的师兄		10000																		99	10000		
49231	懒惰的师兄		10000																		99	10000		
49237	切磋功夫		10000																		99	10000		
49300	心中疑惑		20000		repute_wanshou	1000															99	20000		
49301	大难临头		20000		repute_wanshou	1000															99	20000		
49302	大战巨鹰		20000		repute_wanshou	1000															99	20000		
49304	风波平息		20000		repute_wanshou	1000															99	20000		
49305	争端开始		20000		repute_wanshou	1000															99	20000		
49306	捕获熊王		20000		repute_wanshou	1000															99	20000		
49307	活取熊胆		20000		repute_wanshou	1000															99	20000		
49308	谁是谁非		20000		repute_wanshou	1000															99	20000		
49309	疯癫妇人		20000		repute_wanshou	1000															99	20000		
49310	追踪猎豹		20000		repute_wanshou	1000															99	20000		
49311	口是心非		20000		repute_wanshou	1000															99	20000		
49312	雄狮之怒		20000		repute_wanshou	1000															99	20000		
49313	亡灵之斗		20000		repute_wanshou	1000															99	20000		
49314	吊睛猛虎		20000		repute_wanshou	1000															99	20000		
49315	为虎作伥		20000		repute_wanshou	1000															99	20000		
49316	拯救少女		20000		repute_wanshou	1000															99	20000		
49317	同归于尽		20000		repute_wanshou	1000															99	20000		
49318	五龙捧圣		20000		repute_wanshou	1000															99	20000		
49319	山庄危机		20000																		99	20000		
49320	破而后立		20000																		99	20000		
49321	不知所措		20000		repute_wanshou	1000															99	20000		
49322	巨熊肆虐		20000		repute_wanshou	1000															99	20000		
49323	剧终无语		20000		repute_wanshou	1000															99	20000		
49324	自以为是		20000		repute_wanshou	1000															99	20000		
49325	巧遇妇人		20000		repute_wanshou	1000															99	20000		
49327	疑惑不断		20000		repute_wanshou	1000															99	20000		
49328	往事如电		20000		repute_wanshou	1000															99	20000		
49330	加入山庄		20000		repute_wanshou	1000															99	10000		
49331	山庄武学		20000										box_wssz_juqing_001	1	box_wssz_juqing_006	1					99	10000		
49329	身份晋级		20000																		99	10000		
49339	身份晋级		20000										box_wssz_juqing_002	1							99	10000		
49340	身份晋级		20000										box_wssz_juqing_003	1							99	10000		
49341	身份晋级		20000										box_wssz_juqing_004	1							99	10000		
49410	猎杀王蛇		20000										box_wssz_zhouchang_001	1							99	10000		
49411	猎杀青眼虎王		20000										box_wssz_zhouchang_001	1							99	10000		
49412	猎杀毒蝎		20000										box_wssz_zhouchang_001	1							99	10000		
49342	身份晋级		20000										box_wssz_juqing_005	1							99	10000		
49344	虎落平阳		20000		repute_wanshou	1000															99	20000		
49241	寻找幼鹰		10000		repute_wanshou	550							item_wssz_001	3							99	10000		
49242	茶林蛇踪		10000		repute_wanshou	2000							item_wssz_001	3							99	10000		
49243	山庄如虎		10000		repute_wanshou	2300							item_wssz_001	3							99	10000		
49244	饿虎夺食		10000		repute_wanshou	3000							item_wssz_001	3							99	10000		
49245	阴谋匪类		10000		repute_wanshou	3400							item_wssz_001	3							99	10000		
49246	收集材料		10000		repute_wanshou	550							item_wssz_001	3							99	10000		
49247	驱赶掏蛋村民		10000		repute_wanshou	550							item_wssz_001	3							99	10000		
49248	丢失的礼盒		10000		repute_wanshou	2000							item_wssz_001	3							99	10000		
49249	收集美酒佳肴		10000		repute_wanshou	2000							item_wssz_001	3							99	10000		
49250	驱赶兽皮贩		10000		repute_wanshou	2300							item_wssz_001	3							99	10000		
49251	击杀密探		10000		repute_wanshou	3000							item_wssz_001	3							99	10000		
49252	驱赶偷猎人		10000		repute_wanshou	3400							item_wssz_001	3							99	10000		
49253	收集药材		10000		repute_wanshou	3400							item_wssz_001	3							99	10000		
