STRING	STRING	STRING	STRING	STRING	STRING
ID	QuestionNpc	SceneID	QuestionID	TrackInfoID	TaskID
61001	FuncNpc01102	10	maxm_xkd	questioninfo_61001	61125
61002	NpcCloneshop00901	10	maxm_xkd01	questioninfo_61002	61125
71016			6n_gb_02	questioninfo_71016	
71015			6n_gb_01	questioninfo_71015	
71007	WorldNpc04405	11	6n_wd_01	questioninfo_71007	71016
71008	huiguowd001	11	6n_wd_02	questioninfo_71008	71016
71001	FuncNpc01102	10	6n_em_01	questioninfo_71001	71001
71002	NpcCloneshop00901	10	6n_em_02	questioninfo_71002	71001
71009	WorldNpc03475	7	6n_jz_01	questioninfo_71009	71020
71010	FunnpcClone015001	7	6n_jz_02	questioninfo_71010	71020
71011	WorldNpc04245	5	6n_jy_01	questioninfo_71011	71023
71012	WorldNpc04319	5	6n_jy_02	questioninfo_71012	71023
71003	WorldNpc03929	8	6n_jl_01	questioninfo_71003	71005
71004	NpcCloneshop01901	8	6n_jl_02	questioninfo_71004	71005
71013		9	6n_tm_01	questioninfo_71013	71026
71014		9	6n_tm_02	questioninfo_71014	71026
71005	WorldNpc01158	14	6n_sl_01	questioninfo_71005	71011
71006	WorldNpc01745	14	6n_sl_02	questioninfo_71006	71011
