STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	SpecialType	Key1	Key2	TrackInfoID	LimitTime	MinValue	MaxValue	Count	CountEx	MarryFlag	PetFlag
101	216	1	29	specialinfo_101							
102	216	1	1	specialinfo_102							
103	216	1	4	specialinfo_103							
104	216	1	27	specialinfo_104							
106	301	ini\scene\clone003	1	specialinfo_106							
107	226	1		specialinfo_107				2			
108	226	1		specialinfo_108							
109	216	1	4	specialinfo_109							
111	226	1		specialinfo_111							
112	216	1	6	specialinfo_112							
114	226	1		specialinfo_114							
115	216	1	11	specialinfo_115							
116	216	1	1	specialinfo_116							
117	216	1	12	specialinfo_117							
118	216	1	13	specialinfo_118							
121	301	ini\scene\clone003		specialinfo_121							
122	226	1		specialinfo_122							
123	226	1		specialinfo_123							
124	216	1	27	specialinfo_124							
126	217			specialinfo_126							
128	216	1	11	specialinfo_128							
129	216	1	2	specialinfo_129							
130	219			specialinfo_130							
132	304			specialinfo_132							
133	216	1	4	specialinfo_133							
134	306			specialinfo_134							
135	307			specialinfo_135							
136	216	1	28	specialinfo_136							
137	216	1	30	specialinfo_137							
138	308			specialinfo_138							
140	216	1	11	specialinfo_140							
141	216	1	2	specialinfo_141							
142	216	1	3	specialinfo_142							
144	219			specialinfo_144							
147	304			specialinfo_147							
148	305			specialinfo_148							
149	306			specialinfo_149							
150	309			specialinfo_150							
151	310			specialinfo_151							
152	216	1	30	specialinfo_152							
155	216	1	12	specialinfo_155							
157	226	1		specialinfo_157							
160	216	1	30	specialinfo_160							
162	226	1		specialinfo_162							
163	216	1	28	specialinfo_163							
165	219			specialinfo_165							
168	226	1		specialinfo_168							
169	226	1		specialinfo_169							
170	216	1	2	specialinfo_170							
171	216	1	2	specialinfo_171							
172	216	1	2	specialinfo_172							
173	216	1	3	specialinfo_173							
174	216	1	3	specialinfo_174							
175	216	1	3	specialinfo_175							
176	216	1	4	specialinfo_176							
177	216	1	4	specialinfo_177							
178	216	1	4	specialinfo_178							
179	216	1	1	specialinfo_179							
180	216	1	1	specialinfo_180							
181	216	1	30	specialinfo_181							
182	30		1								
183											
184	216	1	3	specialinfo_184							
185	216	1	3	specialinfo_185							
186	216	1	3	specialinfo_186							
189	216	1	1	specialinfo_189							
190	216	1	1	specialinfo_190							
192	302	5	1	specialinfo_192							
193	302	5	1	specialinfo_193							
194	301	ini\scene\clone003	1								
195	219			specialinfo_195							
197	303	12	5	specialinfo_197							
198	303	12	5	specialinfo_198							
218	218			specialinfo_218							
226	226										
230	216	1	7	specialinfo_230							
231	216	1	3	specialinfo_231							
232	217			specialinfo_232							
233	218			specialinfo_233							
234	219			specialinfo_234							
235	226	1		specialinfo_235							
238	304			specialinfo_238							
239	216	1	2	specialinfo_239							
240	216	1	4	specialinfo_240							
241	216	1	7	specialinfo_241							
242	216	1	27	specialinfo_242							
243	216	1	2	specialinfo_243							
244	216	1	7	specialinfo_244							
245	216	1	28	specialinfo_245							
246	226	1		specialinfo_246							
250	304			specialinfo_250							
251	216	1	11	specialinfo_251							
252	216	1	6	specialinfo_252							
253	219			specialinfo_253							
254	216	1	1	specialinfo_254							
255	216	1	30	specialinfo_255							
256	216	1	3	specialinfo_256							
271	226	1		specialinfo_271							
272	216	1	1	specialinfo_272							
273	216	1	30	specialinfo_273							
276	217			specialinfo_276							
277	218			specialinfo_277							
278	216	1	4	specialinfo_278							
282	216	1	3	specialinfo_282							
283	216	1	6	specialinfo_283							
284	217			specialinfo_284							
285	218			specialinfo_285							
286	217			specialinfo_286							
287	218			specialinfo_287							
288	217			specialinfo_288							
289	218			specialinfo_289							
290	217			specialinfo_290							
291	218			specialinfo_291							
292	216	1	30	specialinfo_292							
293	216	1	30	specialinfo_293							
294	216	1	30	specialinfo_294							
295	216	1	30	specialinfo_295							
296	316	1	30	specialinfo_296							
297	216	1	30	specialinfo_297							
298	216	1	30	specialinfo_298							
299	216	1	30	specialinfo_299							
300	216	1	13	specialinfo_300							
305	301	ini\scene\clone021	2	specialinfo_305							
306	302	5	20	specialinfo_306							
307	302	6	20	specialinfo_307							
308	302	7	20	specialinfo_308							
309	302	8	20	specialinfo_309							
310	302	9	20	specialinfo_310							
311	302	10	20	specialinfo_311							
312	302	11	20	specialinfo_312							
313	302	12	20	specialinfo_313							
322	216	1	6	specialinfo_322							
323	216	1	11	specialinfo_323							
324	216	1	12	specialinfo_324							
325	301	ini\scene\clone003	1	specialinfo_325							
326	301	ini\scene\clone003	3	specialinfo_326							
327	301	ini\scene\clone021	1	specialinfo_327							
328	301	ini\scene\clone021	2	specialinfo_328							
329	226	1		specialinfo_329							
520	303	7	2	specialinfo_520							
521	302	8	2	specialinfo_521							
522	303	8	10	specialinfo_300							
524	216	1	30	specialinfo_524							
525	216	1	1	specialinfo_525							
527	219			specialinfo_527							
528	226	1		specialinfo_528							
529	301	ini\scene\clone003	3	specialinfo_529							
530	301	ini\scene\clone021	1	specialinfo_530							
532	304			specialinfo_532							
533	306			specialinfo_533							
534	216	1	30	specialinfo_534							
535	314			specialinfo_535							
536	315			specialinfo_536							
537	206			specialinfo_537							
538	205			specialinfo_538							
546				specialinfo_546							
547				specialinfo_547							
548	226	1	1	specialinfo_548							
549	216	1	2	specialinfo_549							
550	217			specialinfo_550							
552	216	1	1	specialinfo_552							
554	226	1		specialinfo_554							
555	304			specialinfo_555							
556	218			specialinfo_556							
557	219			specialinfo_557							
560	216	1	9	specialinfo_560							
561	216	1	6	specialinfo_561							
562	216	1	11	specialinfo_562							
563	216	1	12	specialinfo_563							
523	monm032700	7	20	specialinfo_523							
531	216	1	4	specialinfo_531							
540	216	1	1	specialinfo_540							
541	303	9	1	specialinfo_541							
544	216	1	16	specialinfo_544							
558	301	ini\scene\clone003	1	specialinfo_558							
542	217			specialinfo_542							
330	216	1	12	specialinfo_330							
331	216	1	12	specialinfo_331							
332	216	1	12	specialinfo_332							
333	216	1	12	specialinfo_333							
334	216	1	12	specialinfo_334							
335	216	1	12	specialinfo_335							
336	216	1	12	specialinfo_336							
337	216	1	12	specialinfo_337							
543	226	1		specialinfo_543							
545	302	10		specialinfo_545							
158	302	11		specialinfo_158							
159	303	12		specialinfo_159							
161	303	8		specialinfo_161							
187	302	5		specialinfo_187							
127	303	6		specialinfo_127							
125	303	5		specialinfo_125							
321	303	5		specialinfo_321							
320	303	8		specialinfo_320							
199	303	8		specialinfo_199							
200	303	5		specialinfo_200							
139	302	6		specialinfo_139							
156	303	11		specialinfo_156							
154	303	8		specialinfo_154							
153	302	12		specialinfo_153							
553	303	10		specialinfo_553							
551	302	9		specialinfo_551							
559	303	12		specialinfo_559							
120	216	1	3	specialinfo_120							
279	216	1	30	specialinfo_279							
167	226	1		specialinfo_167				2			
339	317	ng_jh_001		specialinfo_339							
338	317	ng_jh_001		specialinfo_338							
340	317	ng_jh_001		specialinfo_340							
341	317	ng_jh_001		specialinfo_341							
572	311	1		specialinfo_572							
573	311	2		specialinfo_573							
