STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID	ActionID
6214	WorldNpc03003	story_6214_1	storymenu_6214_1	9607	0	storyinfo_6214	6	44385	
6001	WorldNpc03020	story_6001_1	storymenu_6001_1	9607	0	storyinfo_6001	6	44010	
6001	WorldNpc03020	story_6001_2	storymenu_6001_2	9607	0	storyinfo_6001	6	44010	
6001	WorldNpc03020	story_6001_3	storymenu_6001_3	9607	0	storyinfo_6001	6	44010	
6004	WorldNpc03126	story_6004_1	storymenu_6004_1	9607	0	storyinfo_6004	6	44031	
6004	WorldNpc03126	story_6004_2	storymenu_6004_2	9607	0	storyinfo_6004	6	44031	
6004	WorldNpc03126	story_6004_3	storymenu_6004_3	9607	0	storyinfo_6004	6	44031	
6005	WorldNpc03005	story_6005_1	storymenu_6005_1	9607	0	storyinfo_6005	6	44054	
6005	WorldNpc03005	story_6005_2	storymenu_6005_2	9607	0	storyinfo_6005	6	44054	
6006	WorldNpc03151	story_6006_1	storymenu_6006_1	9607	0	storyinfo_6006	6	44069	
6006	WorldNpc03151	story_6006_2	storymenu_6006_2	9607	0	storyinfo_6006	6	44069	
6006	WorldNpc03151	story_6006_3	storymenu_6006_3	9607	0	storyinfo_6006	6	44069	
6007	WorldNpc03152	story_6007_1	storymenu_6007_1	9607	0	storyinfo_6007	6	44074	
6007	WorldNpc03152	story_6007_2	storymenu_6007_2	9607	0	storyinfo_6007	6	44074	
6008	WorldNpc03154	story_6008_1	storymenu_6008_1	9607	0	storyinfo_6008	6	44076	
6008	WorldNpc03154	story_6008_2	storymenu_6008_2	9607	0	storyinfo_6008	6	44076	
6008	WorldNpc03154	story_6008_3	storymenu_6008_3	9607	0	storyinfo_6008	6	44076	
6008	WorldNpc03154	story_6008_4	storymenu_6008_4	9607	0	storyinfo_6008	6	44076	
6010	WorldNpc03158	story_6010_1	storymenu_6010_1	9607	0	storyinfo_6010	6	44098	
6010	WorldNpc03158	story_6010_2	storymenu_6010_2	9607	0	storyinfo_6010	6	44098	
6011	WorldNpc03161	story_6011_1	storymenu_6011_1	9607	0	storyinfo_6011	6	44124	
6011	WorldNpc03161	story_6011_2	storymenu_6011_2	9607	0	storyinfo_6011	6	44124	
6012	WorldNpc03171	story_6012_1	storymenu_6012_1	9607	0	storyinfo_6012	6	44125	
6012	WorldNpc03171	story_6012_2	storymenu_6012_2	9607	0	storyinfo_6012	6	44125	
6013	WorldNpc03166	story_6013_1	storymenu_6013_1	9607	0	storyinfo_6013	6	44137	
6013	WorldNpc03166	story_6013_2	storymenu_6013_2	9607	0	storyinfo_6013	6	44137	
6051	WorldNpc03137	story_6051_1	storymenu_6051_1	9607	0	storyinfo_6051	6	44440	
6051	WorldNpc03137	story_6051_2	storymenu_6051_2	9607	0	storyinfo_6051	6	44440	
6051	WorldNpc03137	story_6051_3	storymenu_6051_3	9607	0	storyinfo_6051		44440	
6052	WorldNpc09401	story_6052_1	storymenu_6052_1	9607	0	storyinfo_6052	2	44452	
