STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
7104								
7255								
7256								
7257								
7258								
7259								
7260								
7261								
7262								
7002	WorldNpc03372	story_7002_1	storymenu_7002_1	9607	0	storyinfo_7002	7	46014
7002	WorldNpc03372	story_7002_2	storymenu_7002_2	9607	0	storyinfo_7002	7	46014
7003	WorldNpc03305	story_7003_1	storymenu_7003_1	9607	0	storyinfo_7003	7	46017
7003	WorldNpc03305	story_7003_2	storymenu_7003_2	9607	0	storyinfo_7003	7	46017
7004	WorldNpc03372	story_7004_1	storymenu_7004_1	9607	0	storyinfo_7004	7	46025
7004	WorldNpc03372	story_7004_2	storymenu_7004_2	9607	0	storyinfo_7004	7	46025
7005	WorldNpc03373	story_7005_1	storymenu_7005_1	9607	0	storyinfo_7005	7	46029
7005	WorldNpc03373	story_7005_2	storymenu_7005_2	9607	0	storyinfo_7005	7	46029
7006	WorldNpc03335	story_7006_1	storymenu_7006_1	9607	0	storyinfo_7006	7	46032
7006	WorldNpc03335	story_7006_2	storymenu_7006_2	9607	0	storyinfo_7006	7	46032
7008	WorldNpc03313	story_7008_1	storymenu_7008_1	9607	0	storyinfo_7008	7	46048
7008	WorldNpc03313	story_7008_2	storymenu_7008_2	9607	0	storyinfo_7008	7	46048
7009	WorldNpc03305	story_7009_1	storymenu_7009_1	9607	0	storyinfo_7009	7	46049
7009	WorldNpc03305	story_7009_2	storymenu_7009_2	9607	0	storyinfo_7009	7	46049
7010	WorldNpc03305	story_7010_1	storymenu_7010_1	9607	0	storyinfo_7010	7	46052
7010	WorldNpc03305	story_7010_2	storymenu_7010_2	9607	0	storyinfo_7010	7	46052
7011	WorldNpc03444	story_7011_1	storymenu_7011_1	9607	0	storyinfo_7011	7	46056
7011	WorldNpc03444	story_7011_2	storymenu_7011_2	9607	0	storyinfo_7011	7	46056
7012	WorldNpc03421	story_7012_1	storymenu_7012_1	9607	0	storyinfo_7012	7	46062
7012	WorldNpc03421	story_7012_2	storymenu_7012_2	9607	0	storyinfo_7012	7	46062
7013	WorldNpc03445	story_7013_1	storymenu_7013_1	9607	0	storyinfo_7013	7	46064
7013	WorldNpc03445	story_7013_2	storymenu_7013_2	9607	0	storyinfo_7013	7	46064
7015	WorldNpc03447	story_7015_1	storymenu_7015_1	9607	0	storyinfo_7015	7	46073
7015	WorldNpc03447	story_7015_2	storymenu_7015_2	9607	0	storyinfo_7015	7	46073
7017	WorldNpc03305	story_7017_1	storymenu_7017_1	9607	0	storyinfo_7017	7	46082
7017	WorldNpc03305	story_7017_2	storymenu_7017_2	9607	0	storyinfo_7017	7	46082
7018	WorldNpc03444	story_7018_1	storymenu_7018_1	9607	0	storyinfo_7018	7	46086
7018	WorldNpc03444	story_7018_2	storymenu_7018_2	9607	0	storyinfo_7018	7	46086
7019	WorldNpc03316	story_7019_1	storymenu_7019_1	9607	0	storyinfo_7019	7	46098
7019	WorldNpc03316	story_7019_2	storymenu_7019_2	9607	0	storyinfo_7019	7	46098
7020	WorldNpc05094	story_7020_1	storymenu_7020_1	9607	0	storyinfo_7020	24	46114
7020	WorldNpc05094	story_7020_2	storymenu_7020_2	9607	0	storyinfo_7020	24	46114
7021	WorldNpc05095	story_7021_1	storymenu_7021_1	9607	0	storyinfo_7021	24	46117
7021	WorldNpc05095	story_7021_2	storymenu_7021_2	9607	0	storyinfo_7021	24	46117
7022	WorldNpc05095	story_7022_1	storymenu_7022_1	9607	0	storyinfo_7022	24	46125
7022	WorldNpc05095	story_7022_2	storymenu_7022_2	9607	0	storyinfo_7022	24	46125
7023	WorldNpc05101	story_7023_1	storymenu_7023_1	9607	0	storyinfo_7023	24	46135
7023	WorldNpc05101	story_7023_2	storymenu_7023_2	9607	0	storyinfo_7023	24	46135
7024	WorldNpc03305	story_7024_1	storymenu_7024_1	9607	0	storyinfo_7024	7	46138
7024	WorldNpc03305	story_7024_2	storymenu_7024_2	9607	0	storyinfo_7024	7	46138
7025	WorldNpc04577	story_7025_1	storymenu_7025_1	9607	0	storyinfo_7025	11	46144
7025	WorldNpc04577	story_7025_2	storymenu_7025_2	9607	0	storyinfo_7025	11	46144
7026	WorldNpc04577	story_7026_1	storymenu_7026_1	9607	0	storyinfo_7026	11	46148
7026	WorldNpc04577	story_7026_2	storymenu_7026_2	9607	0	storyinfo_7026	11	46148
7027	WorldNpc04431	story_7027_1	storymenu_7027_1	9607	0	storyinfo_7027	11	46151
7027	WorldNpc04431	story_7027_2	storymenu_7027_2	9607	0	storyinfo_7027	11	46151
7028	WorldNpc04405	story_7028_1	storymenu_7028_1	9607	0	storyinfo_7028	11	46156
7028	WorldNpc04405	story_7028_2	storymenu_7028_2	9607	0	storyinfo_7028	11	46156
7029	WorldNpc04401	story_7029_1	storymenu_7029_1	9607	0	storyinfo_7029	11	46158
7029	WorldNpc04401	story_7029_2	storymenu_7029_2	9607	0	storyinfo_7029	11	46158
7030	WorldNpc04714	story_7030_1	storymenu_7030_1	9607	0	storyinfo_7030	11	46172
7030	WorldNpc04714	story_7030_2	storymenu_7030_2	9607	0	storyinfo_7030	11	46172
