STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
81519	NPC_4nei_gb001	story_81519_1	storymenu_81519_1	9607		storyinfo_81519	13	
81519	NPC_4nei_gb001	story_81519_2	storymenu_81519_2	9607			13	
81506	NPC_4nei_gb001	story_81506_1	storymenu_81506_1	9607		storyinfo_81506	6	
81506	NPC_4nei_gb001	story_81506_2	storymenu_81506_2	9607		storyinfo_81506	6	
81506	NPC_4nei_gb001	story_81506_3	storymenu_81506_3	9607			6	
81506	NPC_4nei_gb001	story_81506_4	storymenu_81506_4	9607			6	
81506	NPC_4nei_gb001	story_81506_5	storymenu_81506_5	9607			6	
81506	NPC_4nei_gb001	story_81506_6	storymenu_81506_6	9607			6	
81507	NPC_4nei_gb001						6	
81520	WorldNpc08209	story_81520_1	storymenu_81520_1	9607		storyinfo_81520	13	56507
81520	WorldNpc08209	story_81520_2	storymenu_81520_2	9607		storyinfo_81520	13	56507
81520	WorldNpc08209	story_81520_3	storymenu_81520_3	9607		storyinfo_81520	13	56507
81520	WorldNpc08209	story_81520_4	storymenu_81520_4	9607		storyinfo_81520	13	56507
81521	WorldNpc08959	story_81521_1	storymenu_81521_1	9607		storyinfo_81521	13	56507
81521	WorldNpc08959	story_81521_2	storymenu_81521_2	9607		storyinfo_81521	13	56507
81521	WorldNpc08959	story_81521_3	storymenu_81521_3	9607			13	56507
81521	WorldNpc08959	story_81521_4	storymenu_81521_4	9607			13	56507
81531	npc_4neidh_gb						6	
81536	gb099	story_81536_1	storymenu_81536_1	9607		storyinfo_81536	6	56532
81536	gb099	story_81536_2	storymenu_81536_2	9607		storyinfo_81536	6	56532
81536	gb099	story_81536_3	storymenu_81536_3	9607		storyinfo_81536	6	56532
81532	NPC_4nei_gb004	story_81532_1	storymenu_81532_1	9607		storyinfo_81532	15	56534
81532	NPC_4nei_gb004	story_81532_2	storymenu_81532_2	9607		storyinfo_81532	15	56534
81532	NPC_4nei_gb004	story_81532_3	storymenu_81532_3	9607		storyinfo_81532	15	56534
81534	WorldNpc03003	story_81534_1	storymenu_81534_1	9607		storyinfo_81534	6	56536
81534	WorldNpc03003	story_81534_2	storymenu_81534_2	9607		storyinfo_81534	6	56536
81530	WorldNpc03003	story_81530_1	storymenu_81530_1	9607		storyinfo_81530	6	56530
81530	WorldNpc03003	story_81530_2	storymenu_81530_2	9607		storyinfo_81530	6	56530
81530	WorldNpc03003	story_81530_3	storymenu_81530_3	9607		storyinfo_81530	6	56530
81504	gb161	story_81504_1	storymenu_81504_1	9607		storyinfo_81504	6	56506
81504	gb161	story_81504_2	storymenu_81504_2	9607		storyinfo_81504	6	56506
81504	gb161	story_81504_3	storymenu_81504_3	9607		storyinfo_81504	6	56506
81522	gb161	story_81522_1	storymenu_81522_1	9607		storyinfo_81522	6	56508
81522	gb161	story_81522_2	storymenu_81522_2	9607		storyinfo_81522	6	56508
81522	gb161	story_81522_3	storymenu_81522_3	9607		storyinfo_81522	6	56508
81508	WorldNpc03041	story_81508_1	storymenu_81508_1	9607		storyinfo_81508	6	56509
81508	WorldNpc03041	story_81508_2	storymenu_81508_2	9607		storyinfo_81508	6	56509
81508	WorldNpc03041	story_81508_3	storymenu_81508_3	9607		storyinfo_81508	6	56509
81508	WorldNpc03041	story_81508_4	storymenu_81508_4	9607		storyinfo_81508	6	56509
81513	gb161						6	
81537	WorldNpc03003	story_81537_1	storymenu_81537_1	9607		storyinfo_81537	6	56531
81512	WorldNpc10673	story_81512_1	storymenu_81512_1	9607		storyinfo_81512	4	56512
81512	WorldNpc10673	story_81512_2	storymenu_81512_2	9607		storyinfo_81512	4	56512
81512	WorldNpc10673	story_81512_3	storymenu_81512_3	9607		storyinfo_81512	4	56512
81512	WorldNpc10673	story_81512_4	storymenu_81512_4	9607		storyinfo_81512	4	56512
81501	gb161	story_81501_1	storymenu_81501_1	9607		storyinfo_81501	6	56502
81501	gb161	story_81501_2	storymenu_81501_2	9607		storyinfo_81501	6	56502
81501	gb161	story_81501_3	storymenu_81501_3	9607		storyinfo_81501	6	56502
81502	gb122	story_81502_1	storymenu_81502_1	9607		storyinfo_81502	6	56503
81502	gb122	story_81502_2	storymenu_81502_2	9607		storyinfo_81502	6	56503
81503	WorldNpc03005	story_81503_1	storymenu_81503_1	9607		storyinfo_81503	6	56504
81503	WorldNpc03005	story_81503_2	storymenu_81503_2	9607		storyinfo_81503	6	56504
81503	WorldNpc03005	story_81503_3	storymenu_81503_3	9607			6	56504
81511	gb161	story_81511_1	storymenu_81511_1	9607		storyinfo_81511	6	56511
81511	gb161	story_81511_2	storymenu_81511_2	9607		storyinfo_81511	6	56511
81511	gb161	story_81511_3	storymenu_81511_3	9607		storyinfo_81511	6	56511
81515	gb124					storyinfo_81515	6	
81523	WorldNpc10673	story_81523_1	storymenu_81523_1	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_2	storymenu_81523_2	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_3	storymenu_81523_3	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_4	storymenu_81523_4	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_5	storymenu_81523_5	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_6	storymenu_81523_6	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_7	storymenu_81523_7	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_8	storymenu_81523_8	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_9	storymenu_81523_9	9607		storyinfo_81523	4	56513
81523	WorldNpc10673	story_81523_10	storymenu_81523_10	9607		storyinfo_81523	4	56513
81514	WorldNpc10645	story_81514_1	storymenu_81514_1	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_2	storymenu_81514_2	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_3	storymenu_81514_3	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_4	storymenu_81514_4	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_5	storymenu_81514_5	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_6	storymenu_81514_6	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_7	storymenu_81514_7	9607		storyinfo_81514	4	56514
81514	WorldNpc10645	story_81514_8	storymenu_81514_8	9607		storyinfo_81514	4	56514
81509	gb161	story_81509_1	storymenu_81509_1	9607		storyinfo_81509	6	56510
81509	gb161	story_81509_2	storymenu_81509_2	9607		storyinfo_81509	6	56510
81509	gb161	story_81509_3	storymenu_81509_3	9607		storyinfo_81509	6	56510
81509	gb161	story_81509_4	storymenu_81509_4	9607		storyinfo_81509	6	56510
81509	gb161	story_81509_5	storymenu_81509_5	9607		storyinfo_81509	6	56510
81517	WorldNpc10645						4	
81518	gb161						6	
81539	gb161					storyinfo_81539	6	
81538	NPC_4nei_gb003	story_81538_1	storymenu_81538_1	9607		storyinfo_81538	4	56515
81538	NPC_4nei_gb003	story_81538_2	storymenu_81538_2	9607		storyinfo_81538	4	56515
81538	NPC_4nei_gb003	story_81538_3	storymenu_81538_3	9607		storyinfo_81538	4	56515
