STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
10519	WorldNpc100011	story_10519_1	storymenu_10519_1	9607		storyinfo_10519	17	41512
10520	WorldNpc100012	story_10520_1	storymenu_10520_1	9607		storyinfo_10520	17	41512
10521	WorldNpc100013	story_10521_1	storymenu_10521_1	9607		storyinfo_10521	17	41512
10523	WorldNpc09963	story_10523_1	storymenu_10523_1	9607		storyinfo_10523	17	
10524	WorldNpc09778	story_10524_1	storymenu_10524_1			storyinfo_10524	17	
10528								
10522	WorldNpc09905	story_10522_1	storymenu_10522_1	9607		storyinfo_10522	17	
10527	WorldNpc09928					storyinfo_10527	17	
10742	WorldNpc100057	story_10742_1	storymenu_10742_1	9607		storyinfo_10742	17	41713
10742	WorldNpc100057	story_10742_2	storymenu_10742_2	9607		storyinfo_10742	17	41713
10742	WorldNpc100057	story_10742_3	storymenu_10742_3	9607		storyinfo_10742	17	41713
10743	WorldNpc100057	story_10743_1	storymenu_10743_1	9607		storyinfo_10743	17	41714
10743	WorldNpc100057	story_10743_2	storymenu_10743_2	9607		storyinfo_10743	17	41714
10743	WorldNpc100057	story_10743_3	storymenu_10743_3	9607		storyinfo_10743	17	41714
10743	WorldNpc100057	story_10743_4	storymenu_10743_4	9607		storyinfo_10743	17	41714
10744	WorldNpc100057	story_10744_1	storymenu_10744_1	9607		storyinfo_10744	17	41715
10744	WorldNpc100057	story_10744_2	storymenu_10744_2	9607		storyinfo_10744	17	41715
10745	WorldNpc100057	story_10745_1	storymenu_10745_1	9607		storyinfo_10745	17	41716
10745	WorldNpc100057	story_10745_2	storymenu_10745_2	9607		storyinfo_10745	17	41716
10745	WorldNpc100057	story_10745_3	storymenu_10745_3	9607		storyinfo_10745	17	41716
10529								
10530								
10531	WorldNpc09969							
10532								
10502	WorldNpc09928	story_10502_1	storymenu_10502_1	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_2	storymenu_10502_2	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_3	storymenu_10502_3	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_4	storymenu_10502_4	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_5	storymenu_10502_5	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_6	storymenu_10502_6	9607		storyinfo_10502	17	41637
10502	WorldNpc09928	story_10502_7	storymenu_10502_7	9607		storyinfo_10502	17	41637
10503	WorldNpc09963	story_10503_1	storymenu_10503_1	9607		storyinfo_10503	17	41638
10503	WorldNpc09963	story_10503_2	storymenu_10503_2	9607			17	41638
10504	WorldNpc09905	story_10504_1	storymenu_10504_1	9607		storyinfo_10504	17	41638
10504	WorldNpc09905	story_10504_2	storymenu_10504_2	9607		storyinfo_10504	17	41638
10505	WorldNpc09778	story_10505_1	storymenu_10505_1	9607		storyinfo_10505	17	41638
10505	WorldNpc09778	story_10505_2	storymenu_10505_2	9607		storyinfo_10505	17	41638
10505	WorldNpc09778	story_10505_3	storymenu_10505_3	9607		storyinfo_10505	17	41638
10526	WorldNpc09928	story_10526_1	storymenu_10526_1	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_2	storymenu_10526_2	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_3	storymenu_10526_3	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_4	storymenu_10526_4	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_5	storymenu_10526_5	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_6	storymenu_10526_6	9607		storyinfo_10526	17	41640
10526	WorldNpc09928	story_10526_7	storymenu_10526_7	9607		storyinfo_10526	17	41640
10506	NPC_nmp_sj003	story_10506_1	storymenu_10506_1	9607		storyinfo_10506	17	41639
10506	NPC_nmp_sj003	story_10506_2	storymenu_10506_2	9607		storyinfo_10506	17	41639
10506	NPC_nmp_sj003	story_10506_3	storymenu_10506_3	9607		storyinfo_10506	17	41639
10507	NPC_nmp_sj002	story_10507_1	storymenu_10507_1	9607		storyinfo_10507	17	41637
10606	WorldNpc100050	story_10606_1	storymenu_10606_1	9607		storyinfo_10606	17	41614
10606	WorldNpc100050	story_10606_2	storymenu_10606_2	9607		storyinfo_10606	17	41614
10621	WorldNpc100061	story_10621_1	storymenu_10621_1	9607		storyinfo_10621	17	41618
10621	WorldNpc100061	story_10621_2	storymenu_10621_2	9607		storyinfo_10621	17	41618
10621	WorldNpc100061	story_10621_3	storymenu_10621_3	9607		storyinfo_10621	17	41618
10635	WorldNpc09905	story_10635_1	storymenu_10635_1	9607		storyinfo_10635	17	41621
10635	WorldNpc09905	story_10635_2	storymenu_10635_2	9607		storyinfo_10635	17	41621
10635	WorldNpc09905	story_10635_3	storymenu_10635_3	9607		storyinfo_10635	17	41621
10511								
10604	WorldNpc00013							
10510	WorldNpc09778	story_10510_1	storymenu_10510_1	9607		storyinfo_10510	17	41648
10510	WorldNpc09778	story_10510_2	storymenu_10510_2	9607		storyinfo_10510	17	41648
10510	WorldNpc09778	story_10510_3	storymenu_10510_3	9607		storyinfo_10510	17	41648
10510	WorldNpc09778	story_10510_4	storymenu_10510_4	9607		storyinfo_10510	17	41648
10510	WorldNpc09778	story_10510_5	storymenu_10510_5	9607			17	41648
10509	WorldNpc09778	story_10509_1	storymenu_10509_1	9607		storyinfo_10509	17	41646
10509	WorldNpc09778	story_10509_2	storymenu_10509_2	9607		storyinfo_10509	17	41646
10512	WorldNpc100055	story_10512_1	storymenu_10512_1	9607		storyinfo_10512	17	41649
10512		story_10512_2	storymenu_10512_2	9607		storyinfo_10512		41649
10512		story_10512_3	storymenu_10512_3	9607		storyinfo_10512		41649
10601	WorldNpc09969	story_10601_1	storymenu_10601_1	9607		storyinfo_10601	17	41622
10602	WorldNpc09969	story_10602_1	storymenu_10602_1	9607		storyinfo_10602	17	41624
10602	WorldNpc09969	story_10602_2	storymenu_10602_2	9607		storyinfo_10602	17	41624
10602	WorldNpc09969	story_10602_3	storymenu_10602_3	9607			17	41624
10602	WorldNpc09969	story_10602_4	storymenu_10602_4	9607			17	41624
10508	WorldNpc09778	story_10508_1	storymenu_10508_1	9607		storyinfo_10508	17	41645
10508	WorldNpc09778	story_10508_2	storymenu_10508_2	9607		storyinfo_10508	17	41645
10508	WorldNpc09778	story_10508_3	storymenu_10508_3	9607		storyinfo_10508	17	41645
10508	WorldNpc09778	story_10508_4	storymenu_10508_4	9607		storyinfo_10508	17	41645
10533								
10608	WorldNpc00013	story_10608_1	storymenu_10608_1	9607		storyinfo_10608	1	41625
10608	WorldNpc00013	story_10608_2	storymenu_10608_2	9607		storyinfo_10608	1	41625
10608	WorldNpc00013	story_10608_3	storymenu_10608_3	9607		storyinfo_10608	1	41625
10603	WorldNpc09626	story_10603_1	storymenu_10603_1	9607		storyinfo_10603	17	41625
10603	WorldNpc09626	story_10603_2	storymenu_10603_2	9607		storyinfo_10603	17	41625
10603	WorldNpc09626	story_10603_3	storymenu_10603_3	9607			17	41625
10610	WorldNpc100067	story_10610_1	storymenu_10610_1	9607		storyinfo_10610	17	41626
10610	WorldNpc100067	story_10610_2	storymenu_10610_2	9607		storyinfo_10610	17	41626
10610	WorldNpc100067	story_10610_3	storymenu_10610_3	9607		storyinfo_10610	17	41626
10610	WorldNpc100067	story_10610_4	storymenu_10610_4	9607		storyinfo_10610	17	41626
10610	WorldNpc100067	story_10610_5	storymenu_10610_5	9607		storyinfo_10610	17	41626
10610	WorldNpc100067	story_10610_6	storymenu_10610_6	9607		storyinfo_10610	17	41626
10622	jzsj_036	story_10622_1	storymenu_10622_1	9607		storyinfo_10622	17	
10622	jzsj_036	story_10622_2	storymenu_10622_2	9607		storyinfo_10622	17	
10605	WorldNpc100065	story_10605_1	storymenu_10605_1	9607		storyinfo_10605	17	41602
10605	WorldNpc100065	story_10605_2	storymenu_10605_2	9607		storyinfo_10605	17	41602
10605	WorldNpc100065	story_10605_3	storymenu_10605_3	9607		storyinfo_10605	17	41602
10605		story_10605_4	storymenu_10605_4	9607		storyinfo_10605		41602
10640	WorldNpc09905	story_10640_1	storymenu_10640_1	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_2	storymenu_10640_2	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_3	storymenu_10640_3	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_4	storymenu_10640_4	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_5	storymenu_10640_5	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_6	storymenu_10640_6	9607		storyinfo_10640	17	41616
10640	WorldNpc09905	story_10640_7	storymenu_10640_7	9607		storyinfo_10640	17	41616
10534	WorldNpc09970	story_10534_1	storymenu_10534_1	9607		storyinfo_10534	17	41628
10534	WorldNpc09970	story_10534_2	storymenu_10534_2	9607		storyinfo_10534	17	41628
10534	WorldNpc09970	story_10534_3	storymenu_10534_3	9607		storyinfo_10534	17	41628
10623	WorldNpc100053	story_10623_1	storymenu_10623_1	9607		storyinfo_10623	17	41628
10623	WorldNpc100053	story_10623_2	storymenu_10623_2	9607		storyinfo_10623	17	41628
10623	WorldNpc100053	story_10623_3	storymenu_10623_3	9607		storyinfo_10623	17	41628
10501	WorldNpc100054	story_10501_1	storymenu_10501_1	9607		storyinfo_10501	17	41636
10501	WorldNpc100054	story_10501_2	storymenu_10501_2	9607		storyinfo_10501	17	41636
10501	WorldNpc100054	story_10501_3	storymenu_10501_3	9607		storyinfo_10501	17	41636
10525	WorldNpc09928	story_10525_1	storymenu_10525_1	9607		storyinfo_10525	17	41634
10525	WorldNpc09928	story_10525_2	storymenu_10525_2	9607		storyinfo_10525	17	41634
10525	WorldNpc09928	story_10525_3	storymenu_10525_3	9607		storyinfo_10525	17	41634
10525	WorldNpc09928	story_10525_4	storymenu_10525_4	9607		storyinfo_10525	17	41634
10525		story_10525_5	storymenu_10525_5	9607				41634
10525		story_10525_6	storymenu_10525_6	9607				41634
10525		story_10525_7	storymenu_10525_7	9607				41634
10750	WorldNpc09928						17	
10751	WorldNpc09905						17	
