STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
54004	WorldNpc02711	story_54004_1	storymenu_54004_1	9607		storyinfo_54004	10	18404
54004	WorldNpc02711	story_54004_2	storymenu_54004_2	9607		storyinfo_54004	10	18404
54006	World_qy_em014	story_54006_1	storymenu_54006_1	9607		storyinfo_54006	17	
54005	World_qy_em018	story_54005_1	storymenu_54005_1	9607		storyinfo_54005	17	18462
54005	World_qy_em018	story_54005_2	storymenu_54005_2	9607		storyinfo_54005	17	18462
54005	World_qy_em018	story_54005_3	storymenu_54005_3	9607		storyinfo_54005	17	18462
54005	World_qy_em018	story_54005_4	storymenu_54005_4	9607			17	18462
54009	NPCQYCD010	story_54009_1	storymenu_54009_1	9607	0	storyinfo_54009	17	
54007	World_qy_em039	story_54007_1	storymenu_54007_1	9607	0	storyinfo_54007	10	18470
54008	NPCQYCD011	story_54008_1	storymenu_54008_1	9607	0	storyinfo_54008	17	18471
54011	World_qy_emxsm	story_54011_1	storymenu_54011_1	9607		storyinfo_54011	10	18500
54011	World_qy_emxsm	story_54011_2	storymenu_54011_2	9607		storyinfo_54011	10	18500
54011	World_qy_emxsm	story_54011_3	storymenu_54011_3	9607		storyinfo_54011	10	18500
54010	WorldNpc02765	story_54010_1	storymenu_54010_1	9607		storyinfo_54010	10	18500
54010	WorldNpc02765	story_54010_2	storymenu_54010_2	9607		storyinfo_54010	10	18500
54012	World_qy_embsj	story_54012_1	storymenu_54012_1	9607		storyinfo_54012	10	18502
54012	World_qy_embsj	story_54012_2	storymenu_54012_2	9607		storyinfo_54012	10	18502
54012	World_qy_embsj	story_54012_3	storymenu_54012_3	9607		storyinfo_54012	10	18502
54003	World_qy_em041	story_54003_1	storymenu_54003_1	9607	0	storyinfo_54000	16	18496
54003	World_qy_em041	story_54003_2	storymenu_54003_2	9607	0	storyinfo_54000	16	18496
54000	World_qy_em041	story_54000_1	storymenu_54000_1	9607	0	storyinfo_54000	16	18490
54000	World_qy_em041	story_54000_2	storymenu_54000_2	9607	0	storyinfo_54000	16	18490
54001	World_qy_em041	story_54001_1	storymenu_54001_1	9607	0	storyinfo_54000	16	18492
54001	World_qy_em041	story_54001_2	storymenu_54001_2	9607	0	storyinfo_54000	16	18492
54002	World_qy_em041	story_54002_1	storymenu_54002_1	9607	0	storyinfo_54000	16	18494
54002	World_qy_em041	story_54002_2	storymenu_54002_2	9607	0	storyinfo_54000	16	18494
54013	WorldNpc02634	story_54013_1	storymenu_54013_1	9607		storyinfo_54013	10	
54013	WorldNpc02634	story_54013_2	storymenu_54013_2	9607			10	
54013	WorldNpc02634	story_54013_3	storymenu_54013_3	9607			10	
54013	WorldNpc02634	story_54013_4	storymenu_54013_4	9607			10	
