STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
53600	WorldNpc02361	story_53600_1	storymenu_53600_1	9607		storyinfo_53600	9	84750
53600	WorldNpc02361	story_53600_2	storymenu_53600_2	9607		storyinfo_53600	9	84750
53601	WorldNpc02362	story_53601_1	storymenu_53601_1	9607		storyinfo_53601	9	84751
53601	WorldNpc02362	story_53601_2	storymenu_53601_2	9607		storyinfo_53601	9	84751
53602	WorldNpc02363	story_53602_1	storymenu_53602_1	9607		storyinfo_53602	9	84752
53602	WorldNpc02363	story_53602_2	storymenu_53602_2	9607		storyinfo_53602	9	84752
53602	WorldNpc02363	story_53602_3	storymenu_53602_3	9607		storyinfo_53602	9	84752
53603	WorldNpc02364	story_53603_1	storymenu_53603_1	9607		storyinfo_53603	9	84753
53603	WorldNpc02364	story_53603_2	storymenu_53603_2	9607		storyinfo_53603	9	84753
53603	WorldNpc02364	story_53603_3	storymenu_53603_3	9607		storyinfo_53603	9	84753
53604	WorldNpc02365	story_53604_1	storymenu_53604_1	9607		storyinfo_53604	9	84754
53604	WorldNpc02365	story_53604_2	storymenu_53604_2	9607		storyinfo_53604	9	84754
53605	WorldNpc02366	story_53605_1	storymenu_53605_1	9607		storyinfo_53605	9	84755
53605	WorldNpc02366	story_53605_2	storymenu_53605_2	9607		storyinfo_53605	9	84755
53606	WorldNpc02367	story_53606_1	storymenu_53606_1	9607		storyinfo_53606	9	84756
53606	WorldNpc02367	story_53606_2	storymenu_53606_2	9607		storyinfo_53606	9	84756
53607	WorldNpc02368	story_53607_1	storymenu_53607_1	9607		storyinfo_53607	9	84757
53607	WorldNpc02368	story_53607_2	storymenu_53607_2	9607		storyinfo_53607	9	84757
53609	WorldNpc02370	story_53609_1	storymenu_53609_1	9607		storyinfo_53609	9	84759
53609	WorldNpc02370	story_53609_2	storymenu_53609_2	9607		storyinfo_53609	9	84759
53610	WorldNpc02371	story_53610_1	storymenu_53610_1	9607		storyinfo_53610	9	84760
53610	WorldNpc02371	story_53610_2	storymenu_53610_2	9607		storyinfo_53610	9	84760
53613	WorldNpc02374	story_53613_1	storymenu_53613_1	9607		storyinfo_53613	9	84763
53613	WorldNpc02374	story_53613_2	storymenu_53613_2	9607		storyinfo_53613	9	84763
53614	WorldNpc02375	story_53614_1	storymenu_53614_1	9607		storyinfo_53614	9	84764
53614	WorldNpc02375	story_53614_2	storymenu_53614_2	9607		storyinfo_53614	9	84764
53616	WorldNpc02377	story_53616_1	storymenu_53616_1	9607		storyinfo_53616	9	84766
53616	WorldNpc02377	story_53616_2	storymenu_53616_2	9607		storyinfo_53616	9	84766
53617	WorldNpc02378	story_53617_1	storymenu_53617_1	9607		storyinfo_53617	9	84767
53617	WorldNpc02378	story_53617_2	storymenu_53617_2	9607		storyinfo_53617	9	84767
53618	WorldNpc02379	story_53618_1	storymenu_53618_1	9607		storyinfo_53618	9	84768
53618	WorldNpc02379	story_53618_2	storymenu_53618_2	9607		storyinfo_53618	9	84768
53619	WorldNpc02380	story_53619_1	storymenu_53619_1	9607		storyinfo_53619	9	84769
53619	WorldNpc02380	story_53619_2	storymenu_53619_2	9607		storyinfo_53619	9	84769
53615	WorldNpc02376	story_53615_1	storymenu_53615_1	9607		storyinfo_53615	9	84765
53615	WorldNpc02376	story_53615_2	storymenu_53615_2	9607		storyinfo_53615	9	84765
53612	WorldNpc02373	story_53612_1	storymenu_53612_1	9607		storyinfo_53612	9	84762
53612	WorldNpc02373	story_53612_2	storymenu_53612_2	9607		storyinfo_53612	9	84762
53608	WorldNpc02369	story_53608_1	storymenu_53608_1	9607		storyinfo_53608	9	84758
53608	WorldNpc02369	story_53608_2	storymenu_53608_2	9607		storyinfo_53608	9	84758
53611	WorldNpc02372	story_53611_1	storymenu_53611_1	9607		storyinfo_53611	9	84761
53611	WorldNpc02372	story_53611_2	storymenu_53611_2	9607		storyinfo_53611	9	84761
53620	WorldNpc02597	story_53620_1	storymenu_53620_1	9607		storyinfo_53620	9	84851
53620	WorldNpc02597	story_53620_2	storymenu_53620_2	9607		storyinfo_53620	9	84851
53621	WorldNpc02252	story_53621_1	storymenu_53621_1	9607		storyinfo_53621	9	84853
53621	WorldNpc02252	story_53621_2	storymenu_53621_2	9607			9	84853
53622	WorldNpc02365	story_53622_1	storymenu_53622_1	9607		storyinfo_53622	9	84854
53623	WorldNpc02591	story_53623_1	storymenu_53623_1	9607		storyinfo_53623	9	84855
53624	WorldNpc02280	story_53624_1	storymenu_53624_1	9607		storyinfo_53624	9	84856
53626	WorldNpc02395	story_53626_1	storymenu_53626_1	9607		storyinfo_53626	9	84861
53626	WorldNpc02395	story_53626_2	storymenu_53626_2	9607		storyinfo_53626	9	84861
53625	WorldNpc02281	story_53625_1	storymenu_53625_1	9607		storyinfo_53625	9	84859
53625	WorldNpc02281	story_53625_2	storymenu_53625_2	9607		storyinfo_53625	9	84859
53627	WorldNpc02282	story_53627_1	storymenu_53627_1	9607		storyinfo_53627	9	84864
53627	WorldNpc02282	story_53627_2	storymenu_53627_2	9607		storyinfo_53627	9	84864
53627	WorldNpc02282	story_53627_3	storymenu_53627_3	9607		storyinfo_53627	9	84864
53628	WorldNpc02595	story_53628_1	storymenu_53628_1	9607		storyinfo_53628	9	84868
53629	WorldNpc02593	story_53629_1	storymenu_53629_1	9607		storyinfo_53629	9	84870
53629		story_53629_2	storymenu_53629_2	9607		storyinfo_53629		
53629		story_53629_3	storymenu_53629_3	9607		storyinfo_53629		
