STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
35600	WorldNpc08965	story_35600_1	storymenu_35600_1	9607	0	storyinfo_35600	13	81050
35600	WorldNpc08965	story_35600_2	storymenu_35600_2	9607	0	storyinfo_35600	13	81050
35600	WorldNpc08965	story_35600_3	storymenu_35600_3	9607	0	storyinfo_35600	13	81050
35600	WorldNpc08965	story_35600_4	storymenu_35600_4	9607	0	storyinfo_35600	13	81050
35601	WorldNpc08966	story_35601_1	storymenu_35601_1	9607	0	storyinfo_35601	13	81051
35601	WorldNpc08966	story_35601_2	storymenu_35601_2	9607	0	storyinfo_35601	13	81051
35601	WorldNpc08966	story_35601_3	storymenu_35601_3	9607	0	storyinfo_35601	13	81051
35601	WorldNpc08966	story_35601_4	storymenu_35601_4	9607	0	storyinfo_35601	13	81051
35604	WorldNpc08969	story_35604_1	storymenu_35604_1	9607	0	storyinfo_35604	13	81054
35604	WorldNpc08969	story_35604_2	storymenu_35604_2	9607	0	storyinfo_35604	13	81054
35604	WorldNpc08969	story_35604_3	storymenu_35604_3	9607	0	storyinfo_35604	13	81054
35604	WorldNpc08969	story_35604_4	storymenu_35604_4	9607	0	storyinfo_35604	13	81054
35605	WorldNpc08970	story_35605_1	storymenu_35605_1	9607	0	storyinfo_35605	13	81055
35605	WorldNpc08970	story_35605_2	storymenu_35605_2	9607	0	storyinfo_35605	13	81055
35605	WorldNpc08970	story_35605_3	storymenu_35605_3	9607	0	storyinfo_35605	13	81055
35605	WorldNpc08970	story_35605_4	storymenu_35605_4	9607	0	storyinfo_35605	13	81055
35606	WorldNpc08971	story_35606_1	storymenu_35606_1	9607	0	storyinfo_35606	13	81056
35606	WorldNpc08971	story_35606_2	storymenu_35606_2	9607	0	storyinfo_35606	13	81056
35606	WorldNpc08971	story_35606_3	storymenu_35606_3	9607	0	storyinfo_35606	13	81056
35606	WorldNpc08971	story_35606_4	storymenu_35606_4	9607	0	storyinfo_35606	13	81056
35603	WorldNpc08968	story_35603_1	storymenu_35603_1	9607	0	storyinfo_35603	13	81053
35603	WorldNpc08968	story_35603_2	storymenu_35603_2	9607	0	storyinfo_35603	13	81053
35603	WorldNpc08968	story_35603_3	storymenu_35603_3	9607	0	storyinfo_35603	13	81053
35607	WorldNpc08988	story_35607_1	storymenu_35607_1	9607	0	storyinfo_35607	13	81057
35607	WorldNpc08988	story_35607_2	storymenu_35607_2	9607	0	storyinfo_35607	13	81057
35607	WorldNpc08988	story_35607_3	storymenu_35607_3	9607	0	storyinfo_35607	13	81057
35607	WorldNpc08988	story_35607_4	storymenu_35607_4	9607	0	storyinfo_35607	13	81057
35608	WorldNpc08989	story_35608_1	storymenu_35608_1	9607	0	storyinfo_35608	13	81058
35608	WorldNpc08989	story_35608_2	storymenu_35608_2	9607	0	storyinfo_35608	13	81058
35608	WorldNpc08989	story_35608_3	storymenu_35608_3	9607	0	storyinfo_35608	13	81058
35608	WorldNpc08989	story_35608_4	storymenu_35608_4	9607	0	storyinfo_35608	13	81058
35609	WorldNpc08990	story_35609_1	storymenu_35609_1	9607	0	storyinfo_35609	13	81059
35609	WorldNpc08990	story_35609_2	storymenu_35609_2	9607	0	storyinfo_35609	13	81059
35609	WorldNpc08990	story_35609_3	storymenu_35609_3	9607	0	storyinfo_35609	13	81059
35609	WorldNpc08990	story_35609_4	storymenu_35609_4	9607	0	storyinfo_35609	13	81059
35610	WorldNpc08991	story_35610_1	storymenu_35610_1	9607	0	storyinfo_35610	13	81060
35610	WorldNpc08991	story_35610_2	storymenu_35610_2	9607	0	storyinfo_35610	13	81060
35610	WorldNpc08991	story_35610_3	storymenu_35610_3	9607	0	storyinfo_35610	13	81060
35610	WorldNpc08991	story_35610_4	storymenu_35610_4	9607	0	storyinfo_35610	13	81060
35611	WorldNpc08992	story_35611_1	storymenu_35611_1	9607	0	storyinfo_35611	13	81061
35611	WorldNpc08992	story_35611_2	storymenu_35611_2	9607	0	storyinfo_35611	13	81061
35611	WorldNpc08992	story_35611_3	storymenu_35611_3	9607	0	storyinfo_35611	13	81061
35613	WorldNpc08972	story_35613_1	storymenu_35613_1	9607	0	storyinfo_35613	13	81063
35613	WorldNpc08972	story_35613_2	storymenu_35613_2	9607	0	storyinfo_35613	13	81063
35614	WorldNpc08973	story_35614_1	storymenu_35614_1	9607	0	storyinfo_35614	13	81064
35614	WorldNpc08973	story_35614_2	storymenu_35614_2	9607	0	storyinfo_35614	13	81064
35615	WorldNpc08974	story_35615_1	storymenu_35615_1	9607	£°	storyinfo_35615	13	81065
35615	WorldNpc08974	story_35615_2	storymenu_35615_2	9607	0	storyinfo_35615	13	81065
35615	WorldNpc08974	story_35615_3	storymenu_35615_3	9607	0	storyinfo_35615	13	81065
35616	WorldNpc08975	story_35616_1	storymenu_35616_1	9607	0	storyinfo_35616	13	81066
35616	WorldNpc08975	story_35616_2	storymenu_35616_2	9607	0	storyinfo_35616	13	81066
35616	WorldNpc08975	story_35616_3	storymenu_35616_3	9607	0	storyinfo_35616	13	81066
35617	WorldNpc08976	story_35617_1	storymenu_35617_1	9607	0	storyinfo_35617	13	81067
35617	WorldNpc08976	story_35617_2	storymenu_35617_2	9607	0	storyinfo_35617	13	81067
35617	WorldNpc08976	story_35617_3	storymenu_35617_3	9607	0	storyinfo_35617	13	81067
35602	WorldNpc08967	story_35602_1	storymenu_35602_1	9607	0	storyinfo_35602	13	81052
35602	WorldNpc08967	story_35602_2	storymenu_35602_2	9607	0	storyinfo_35602	13	81052
35602	WorldNpc08967	story_35602_3	storymenu_35602_3	9607	0	storyinfo_35602	13	81052
35602	WorldNpc08967	story_35602_4	storymenu_35602_4	9607	0	storyinfo_35602	13	81052
35618	WorldNpc08977	story_35618_1	storymenu_35618_1	9607	0	storyinfo_35618	13	81068
35618	WorldNpc08977	story_35618_2	storymenu_35618_2	9607	0		13	81068
35619	WorldNpc08978	story_35619_1	storymenu_35619_1	9607	0	storyinfo_35619	13	81069
35619	WorldNpc08978	story_35619_2	storymenu_35619_2	9607	0		13	81069
35619	WorldNpc08978	story_35619_3	storymenu_35619_3	9607	0		13	81069
35621	WorldNpc09029	story_35621_1	storymenu_35621_1	9607	0	storyinfo_35621	13	81170
35621	WorldNpc09029	story_35621_2	storymenu_35621_2	9607	0	storyinfo_35621	13	81170
35623	WorldNpc09020	story_35623_1	storymenu_35623_1	9607	0	storyinfo_35623	13	81177
35623	WorldNpc09020	story_35623_2	storymenu_35623_2	9607	0	storyinfo_35623	13	81177
35625	WorldNpc08753	story_35625_1	storymenu_35625_1	9607	0	storyinfo_35625	13	81184
35612	WorldNpc08993	story_35612_1	storymenu_35612_1	9607	0	storyinfo_35612	13	81062
35612	WorldNpc08993	story_35612_2	storymenu_35612_2	9607	0	storyinfo_35612	13	81062
35612	WorldNpc08993	story_35612_3	storymenu_35612_3	9607	0	storyinfo_35612	13	81062
35620	WorldNpc09060	story_35620_1	storymenu_35620_1	9607	0	storyinfo_35620	13	81168
35620	WorldNpc09060	story_35620_2	storymenu_35620_2	9607	0	storyinfo_35620	13	81168
35626	WorldNpc08760	story_35626_1	storymenu_35626_1	9607	0	storyinfo_35626	13	81187
35624	WorldNpc08744	story_35624_1	storymenu_35624_1	9607	0	storyinfo_35624	13	81183
