STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
58301								
58302	smtzjy001	story_58302_1	storymenu_58302_1	9607		storyinfo_58302	17	86821
58302	smtzjy001	story_58302_2	storymenu_58302_2	9607			17	
58303	sz458	story_58303_1	storymenu_58303_1	9607		storyinfo_58303	14	86822
58303	sz458	story_58303_2	storymenu_58303_2	9607			14	
58304	smtzjy002	story_58304_1	storymenu_58304_1	9607		storyinfo_58304	16	86823
58304	smtzjy002	story_58304_2	storymenu_58304_2	9607			16	
58305	FunnpcClone021003	story_58305_1	storymenu_58305_1	9607		storyinfo_58305	16	86823
58305	FunnpcClone021003	story_58305_2	storymenu_58305_2	9607			16	
58306	FunnpcClone021003	story_58306_1	storymenu_58306_1	9607		storyinfo_58306	16	86823
58306		story_58306_2	storymenu_58306_2	9607				
58307	wd173	story_58307_1	storymenu_58307_1	9607		storyinfo_58307	5	
