STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID
58601	WorldNpc04401	story_58601_1	storymenu_58601_1	9607		storyinfo_58601	11	87121
58602	WorldNpc04401	story_58602_1	storymenu_58602_1	9607		storyinfo_58602	11	87122
58604	WorldNpc04401	story_58604_1	storymenu_58604_1	9607		storyinfo_58604	11	87122
58603	WorldNpc01054	story_58603_1	storymenu_58603_1	9607		storyinfo_58603	14	87122
58603	WorldNpc01054	story_58603_2	storymenu_58603_2	9607		storyinfo_58603	14	
58605	WorldNpc04401	story_58605_1	storymenu_58605_1	9607		storyinfo_58605	11	
58605		story_58605_2	storymenu_58605_2	9607		storyinfo_58605		
58606	WorldNpc04401	story_58606_1	storymenu_58606_1	9607		storyinfo_58606	11	
58607	wd173	story_58607_1	storymenu_58607_1	9607		storyinfo_58607	11	
58608	newmp_mj_001	story_58608_1	storymenu_58608_1	9607		storyinfo_58608	769	87128
58609	newmp_mj_001	story_58609_1	storymenu_58609_1	9607		storyinfo_58609	769	87129
58611	newmp_mj_001	story_58611_1	storymenu_58611_1	9607		storyinfo_58611	769	87129
58610	WorldNpc01054	story_58610_1	storymenu_58610_1	9607		storyinfo_58610	14	87129
58610	WorldNpc01054	story_58610_2	storymenu_58610_2	9607		storyinfo_58610	14	
58613	newmp_mj_001	story_58613_1	storymenu_58613_1	9607		storyinfo_58613	769	
58612	newmp_mj_001	story_58612_1	storymenu_58612_1	9607		storyinfo_58612	769	
58612	newmp_mj_001	story_58612_2	storymenu_58612_2	9607		storyinfo_58612	769	
