STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID	BufferID
17005	WorldNpc09841	story_17005_1	storymenu_17005_1	9607	0	storyinfo_17005	17	34032	
17005	WorldNpc09841	story_17005_2	storymenu_17005_2	9607	0	storyinfo_17005	17	34032	
17010	WorldNpc04236	story_17010_1	storymenu_17010_1	9607	0	storyinfo_17010	5	34075	
17010	WorldNpc04236	story_17010_2	storymenu_17010_2	9607	0	storyinfo_17010	5	34075	
17011	WorldNpc05862	story_17011_1	storymenu_17011_1	9607	0	storyinfo_17011	21	34080	
17011	WorldNpc05862	story_17011_2	storymenu_17011_2	9607	0	storyinfo_17011	21	34080	
17012	WorldNpc05862	story_17012_1	storymenu_17012_1	9607	0	storyinfo_17012	21	34088	
17013	WorldNpc05862	story_17013_1	storymenu_17013_1	9607	0	storyinfo_17013	21	34096	
17013	WorldNpc05862	story_17013_2	storymenu_17013_2	9607	0	storyinfo_17013	21	34096	
17014	WorldNpc09852	story_17014_1	storymenu_17014_1	9607	0	storyinfo_17014	17	34102	
17014	WorldNpc09852	story_17014_2	storymenu_17014_2	9607	0	storyinfo_17014	17	34102	
17015	WorldNpc08757	story_17015_1	storymenu_17015_1	9607	0	storyinfo_17015	13	34113	
17015	WorldNpc08757	story_17015_2	storymenu_17015_2	9607	0	storyinfo_17015	13	34113	
17016	WorldNpc08758	story_17016_1	storymenu_17016_1	9607	0	storyinfo_17016	13	34116	
17019	WorldNpc08758	story_17019_1	storymenu_17019_1	9607	0	storyinfo_17019	13	34117	
17019	WorldNpc08758	story_17019_2	storymenu_17019_2	9607	0	storyinfo_17019	13	34117	
17020	WorldNpc08760	story_17020_1	storymenu_17020_1	9607	0	storyinfo_17020	13	34123	
17021	WorldNpc08761	story_17021_1	storymenu_17021_1	9607	0	storyinfo_17021	13	34127	
17022	WorldNpc08762	story_17022_1	storymenu_17022_1	9607	0	storyinfo_17022	13	34193	
17025	WorldNpc09835	story_17025_1	storymenu_17025_1	9607		storyinfo_17025	17	34007	
17025	WorldNpc09835	story_17025_2	storymenu_17025_2	9607		storyinfo_17025	17	34007	
17025	WorldNpc09835	story_17025_3	storymenu_17025_3	9607		storyinfo_17025	17	34007	
17028	WorldNpc09963	story_17028_1	storymenu_17028_1	9607		storyinfo_17028	17	34018	
17028	WorldNpc09963	story_17028_2	storymenu_17028_2	9607		storyinfo_17028	17	34018	
17029	WorldNpc09905	story_17029_1	storymenu_17029_1	9607		storyinfo_17029	17	34020	
17029	WorldNpc09905	story_17029_2	storymenu_17029_2	9607		storyinfo_17029	17	34020	
17029	WorldNpc09905	story_17029_3	storymenu_17029_3	9607		storyinfo_17029	17	34020	
17030	WorldNpc09778	story_17030_1	storymenu_17030_1	9607		storyinfo_17030	17	34021	
17030	WorldNpc09778	story_17030_2	storymenu_17030_2	9607		storyinfo_17030	17	34021	
17030	WorldNpc09778	story_17030_3	storymenu_17030_3	9607		storyinfo_17030	17	34021	
17027	cd469	story_17027_1	storymenu_17027_1	9607		storyinfo_17027	17	34009	
17027	cd469	story_17027_2	storymenu_17027_2	9607		storyinfo_17027	17	34009	
17027	cd469	story_17027_3	storymenu_17027_3	9607		storyinfo_17027	17	34009	
17004	cd469	story_17004_1	storymenu_17004_1	9607	0	storyinfo_17004	17	34027	
17004	cd469	story_17004_2	storymenu_17004_2	9607	0	storyinfo_17004	17	34027	
17026	WorldNpc09835	story_17026_1	storymenu_17026_1	9607		storyinfo_17026	17	34008	
17026	WorldNpc09835	story_17026_2	storymenu_17026_2	9607		storyinfo_17026	17	34008	
