STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID	BufferID
74202	newmp_tsp_001	story_74202_1	storymenu_74202_1	9607		storyinfo_74202	832	74203	
74202	newmp_tsp_001	story_74202_2	storymenu_74202_2	9607		storyinfo_74202	832	74203	
74295	newmp_tsp_001	story_74295_1	storymenu_74295_1	9607		storyinfo_74295	832	74293	
74295	newmp_tsp_001	story_74295_2	storymenu_74295_2	9607		storyinfo_74295	832	74293	
74296	newmp_tsp_001	story_74296_1	storymenu_74296_1	9607		storyinfo_74296	832	74293	
74296	newmp_tsp_001	story_74296_2	storymenu_74296_2	9607		storyinfo_74296	832	74293	
74292	newmp_tsp_001	story_74292_1	storymenu_74292_1	9607		storyinfo_74292	832	74292	
74292	newmp_tsp_001	story_74292_2	storymenu_74292_2	9607		storyinfo_74292	832	74292	
74291	newmp_tsp_001	story_74291_1	storymenu_74291_1	9607		storyinfo_74291	832	74291	
74291	newmp_tsp_001	story_74291_2	storymenu_74291_2	9607		storyinfo_74291	832	74291	
74293	WorldNpc01054	story_74293_1	storymenu_74293_1	9607		storyinfo_74293	14	74292	
74293	WorldNpc01054	story_74293_2	storymenu_74293_2	9607		storyinfo_74293	14	74292	
74294	newmp_tsp_001	story_74294_1	storymenu_74294_1	9607		storyinfo_74294	832	74292	
74294	newmp_tsp_001	story_74294_2	storymenu_74294_2	9607		storyinfo_74294	832	74292	
74201	newmp_tsp_001	story_74201_1	storymenu_74201_1	9607		storyinfo_74201	832	74202	
74206	newmp_tspzyb_002	story_74206_1	storymenu_74206_1	9607		storyinfo_74206	832	74205	
74209	newmp_tspzyb_004	story_74209_1	storymenu_74209_1	9607		storyinfo_74209	832	74208	
74209	newmp_tspzyb_004	story_74209_2	storymenu_74209_2	9607		storyinfo_74209	832	74208	
74210	newmp_tsp_002	story_74210_1	storymenu_74210_1	9607		storyinfo_74210	832	74208	
74212	newmp_tspzyb_006	story_74212_1	storymenu_74212_1	9607		storyinfo_74212	832	74209	
74213	newmp_tspzyb_007	story_74213_1	storymenu_74213_1	9607		storyinfo_74213	832	74210	
74214	newmp_tsp_009	story_74214_1	storymenu_74214_1	9607		storyinfo_74214	832	74210	
74216	newmp_tspzyb_009	story_74216_1	storymenu_74216_1	9607		storyinfo_74216	832	74212	
74217	newmp_tsp_006	story_74217_1	storymenu_74217_1	9607		storyinfo_74217	832	74212	
74218	newmp_tspzyb_009	story_74218_1	storymenu_74218_1	9607		storyinfo_74218	832	74212	
74219	newmp_tspzyb_009	story_74219_1	storymenu_74219_1	9607		storyinfo_74219	832	74212	
74222	newmp_tspzyb_009	story_74222_1	storymenu_74222_1	9607		storyinfo_74222	832	74214	
74223	newmp_tspzyb_010	story_74223_1	storymenu_74223_1	9607		storyinfo_74223	832	74215	
74224	newmp_tsp_007	story_74224_1	storymenu_74224_1	9607		storyinfo_74224	832	74216	
74225	newmp_tsp_007	story_74225_1	storymenu_74225_1	9607		storyinfo_74225	832	74216	
74226	newmp_tsp_001	story_74226_1	storymenu_74226_1	9607		storyinfo_74226	832	74216	
74227	newmp_tsp_006	story_74227_1	storymenu_74227_1	9607		storyinfo_74227	832	74216	
74204	newmp_tspzyb_014	story_74204_1	storymenu_74204_1	9607		storyinfo_74204	832	74204	
74205	newmp_tspzyb_014	story_74205_1	storymenu_74205_1	9607		storyinfo_74205	832	74205	
74207	newmp_tsp_007	story_74207_1	storymenu_74207_1	9607		storyinfo_74207	832	74206	
