STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	NpcID	contextId	titleId	LeaveTextID	LeaveResult	TrackInfoID	SceneID	TaskID	BufferID
9501	SchoolNpc000003	story_9501_1	storymenu_9501_1	9607		storyinfo_9501	72	51004	
9501	SchoolNpc000003	story_9501_2	storymenu_9501_2	9607		storyinfo_9501	72	51004	
9501	SchoolNpc000003	story_9501_3	storymenu_9501_3	9607		storyinfo_9501	72	51004	
9502	SchoolNpc000009	story_9502_1	storymenu_9502_1	9607		storyinfo_9502	72	51005	
9502	SchoolNpc000009	story_9502_2	storymenu_9502_2	9607		storyinfo_9502	72	51005	
9503	SchoolNpc000010	story_9503_1	storymenu_9503_1	9607		storyinfo_9503	72	51006	
9503	SchoolNpc000010	story_9503_2	storymenu_9503_2	9607		storyinfo_9503	72	51006	
9503	SchoolNpc000010	story_9503_3	storymenu_9503_3	9607		storyinfo_9503	72	51006	
9504	SchoolNpc000013	story_9504_1	storymenu_9504_1	9607		storyinfo_9504	72	51006	
9504	SchoolNpc000013	story_9504_2	storymenu_9504_2	9607		storyinfo_9504	72	51006	
9505	SchoolNpc000014	story_9505_1	storymenu_9505_1	9607		storyinfo_9505	72	51007	
9505	SchoolNpc000014	story_9505_2	storymenu_9505_2	9607		storyinfo_9505	72	51007	
9505	SchoolNpc000014	story_9505_3	storymenu_9505_3	9607		storyinfo_9505	72	51007	
9506	SchoolNpc000015	story_9506_1	storymenu_9506_1	9607		storyinfo_9506	72	51007	
9506	SchoolNpc000015	story_9506_2	storymenu_9506_2	9607		storyinfo_9506	72	51007	
9506	SchoolNpc000015	story_9506_3	storymenu_9506_3	9607		storyinfo_9506	72	51007	
9507	SchoolNpc000017	story_9507_1	storymenu_9507_1	9607		storyinfo_9507	72	51008	
9507	SchoolNpc000017	story_9507_2	storymenu_9507_2	9607		storyinfo_9507	72	51008	
9507	SchoolNpc000017	story_9507_3	storymenu_9507_3	9607		storyinfo_9507	72	51008	
9508	SchoolNpc000019	story_9508_1	storymenu_9508_1	9607		storyinfo_9508	72	51009	
9508	SchoolNpc000019	story_9508_2	storymenu_9508_2	9607		storyinfo_9508	72	51009	
9508	SchoolNpc000019	story_9508_3	storymenu_9508_3	9607		storyinfo_9508	72	51009	
9508	SchoolNpc000019	story_9508_4	storymenu_9508_4	9607		storyinfo_9508	72	51009	
9508	SchoolNpc000019	story_9508_5	storymenu_9508_5	9607		storyinfo_9508	72	51009	
9508	SchoolNpc000019	story_9508_6	storymenu_9508_6	9607		storyinfo_9508	72	51009	
9509	SchoolNpc000035	story_9509_1	storymenu_9509_1	9607		storyinfo_9509	72	51010	
9509	SchoolNpc000035	story_9509_2	storymenu_9509_2	9607		storyinfo_9509	72	51010	
9509	SchoolNpc000035	story_9509_3	storymenu_9509_3	9607		storyinfo_9509	72	51010	
9509	SchoolNpc000035	story_9509_4	storymenu_9509_4	9607		storyinfo_9509	72	51010	
9509	SchoolNpc000035	story_9509_5	storymenu_9509_5	9607		storyinfo_9509	72	51010	
9510	SchoolNpc000031	story_9510_1	storymenu_9510_1	9607		storyinfo_9510	72	51010	
9510	SchoolNpc000031	story_9510_2	storymenu_9510_2	9607		storyinfo_9510	72	51010	
9510	SchoolNpc000031	story_9510_3	storymenu_9510_3	9607		storyinfo_9510	72	51010	
9511	SchoolNpc000035	story_9511_1	storymenu_9511_1	9607		storyinfo_9511	72	51012	
9511	SchoolNpc000035	story_9511_2	storymenu_9511_2	9607		storyinfo_9511	72	51012	
9513	SchoolNpc000037	story_9513_1	storymenu_9513_1	9607		storyinfo_9513	2	51018	
9514	SchoolNpc000004	story_9514_1	storymenu_9514_1	9607		storyinfo_9514	2	51030	
9514	SchoolNpc000004	story_9514_2	storymenu_9514_2	9607		storyinfo_9514	2	51030	
9514	SchoolNpc000004	story_9514_3	storymenu_9514_3	9607		storyinfo_9514	2	51030	
9515	SchoolNpc000005	story_9515_1	storymenu_9515_1	9607		storyinfo_9515	2	51032	
9515	SchoolNpc000005	story_9515_2	storymenu_9515_2	9607		storyinfo_9515	2	51032	
9515	SchoolNpc000005	story_9515_3	storymenu_9515_3	9607		storyinfo_9515	2	51032	
9515	SchoolNpc000005	story_9515_4	storymenu_9515_4	9607		storyinfo_9515	2	51032	
9542	hbyd005	story_9542_1	storymenu_9542_1	9607		storyinfo_9542	17	51105	
9542		story_9542_2	storymenu_9542_2	9607		storyinfo_9542		51105	
9543	hbyd005	story_9543_1	storymenu_9543_1	9607		storyinfo_9543	17	51106	
9544	FuncNpc00604	story_9544_1	storymenu_9544_1	9607		storyinfo_9544	17	51106	
9544	FuncNpc00604	story_9544_2	storymenu_9544_2	9607		storyinfo_9544	17	51106	
9544	FuncNpc00604	story_9544_3	storymenu_9544_3	9607		storyinfo_9544	17	51106	
9555									
9545	NpcCloneshop_lhq	story_9545_1	storymenu_9545_1	9607		storyinfo_9545	17	51136	
9621	NPC_wmp_2ndy_xex	story_9621_1	storymenu_9621_1	9607		storyinfo_9621	15	51262	
9560	WorldNpc09606	story_9560_1	storymenu_9560_1	9607		storyinfo_9560	17	51240	
9561	NPC_wmp_2n_glm_003	story_9561_1	storymenu_9561_1	9607		storyinfo_9561	17	51241	
9600	Transcity05A	story_9600_1	storymenu_9600_1	9607		storyinfo_9600	17	51200	
9601	Npc_wmp_2n_qkw_l01	story_9601_1	storymenu_9601_1	9607		storyinfo_9601	17	51201	
9601	Npc_wmp_2n_qkw_l01	story_9601_2	storymenu_9601_2	9607		storyinfo_9601	17	51201	
9601	Npc_wmp_2n_qkw_l01	story_9601_3	storymenu_9601_3	9607		storyinfo_9601	17	51201	
9601	Npc_wmp_2n_qkw_l01	story_9601_4	storymenu_9601_4	9607		storyinfo_9601	17	51201	
9558	Npc_wmp_1n_cc_ylk	story_9558_1	storymenu_9558_1	9607		storyinfo_9558	17	51225	
9570	npc_wmp_2nzy_bjh	story_9570_1	storymenu_9570_1	9607		storyinfo_9570	15	51280	
9570	npc_wmp_2nzy_bjh	story_9570_2	storymenu_9570_2	9607		storyinfo_9570	15	51280	
9574	jl189	story_9574_1	storymenu_9574_1	9607		storyinfo_9574	15	51281	
9574	jl189	story_9574_2	storymenu_9574_2	9607		storyinfo_9574	15	51281	buf_wmp_2nzy_fan1
9572	jl190	story_9572_1	storymenu_9572_1	9607		storyinfo_9572	15	51281	
9572	jl190	story_9572_2	storymenu_9572_2	9607		storyinfo_9572	15	51281	
9571	npc_wmp_2nzy_xex1	story_9571_1	storymenu_9571_1	9607		storyinfo_9571	15	51281	
9573	jl189	story_9573_1	storymenu_9573_1	9607		storyinfo_9573	15	51281	
9573	jl189	story_9573_2	storymenu_9573_2	9607		storyinfo_9573	15	51281	buf_wmp_2nzy_bu
9575	npc_wmp_2nzy_xex2	story_9575_1	storymenu_9575_1	9607		storyinfo_9575	15	51282	
9575	npc_wmp_2nzy_xex2	story_9575_2	storymenu_9575_2	9607		storyinfo_9575	15	51282	
9576	npc_wmp_2nzy_lphs	story_9576_1	storymenu_9576_1	9607		storyinfo_9576	15	51283	
