STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
71151	hunter	71151	1
71151	interact	71151	2
71152	hunter	71152	1
71152	story	71151	2
71154	interact	71152	1
71154	interact	71153	2
71154	interact	71154	2
71154	interact	71155	2
71154	interact	71156	2
71154	interact	71157	3
71154	interact	71158	4
71155	interact	71159	1
71155	interact	71160	2
71155	interact	71161	3
71155	interact	71162	3
71159	interact	71171	1
71159	interact	71172	2
71159	interact	71173	3
71159	interact	71174	3
71159	interact	71175	3
71159	story	71152	4
71160	interact	71176	1
71160	interact	71177	2
71160	interact	71178	2
71160	interact	71179	2
71160	interact	71180	3
71160	interact	71181	4
71160	interact	71182	5
71160	interact	71183	6
71161	story	71153	1
71161	interact	71184	2
71161	interact	71185	3
71161	interact	71186	4
71162	story	71154	1
71163	collect	71151	1
71163	collect	71152	2
71163	hunter	71154	3
71167	hunter	71155	1
71167	interact	71196	2
71167	hunter	71156	3
71167	story	71156	4
71168	interact	71197	1
71168	hunter	71157	2
71168	interact	71198	3
71168	interact	71199	4
71169	story	71157	1
71169	interact	71200	2
71169	interact	71201	3
71170	story	71158	
71171	interact	71202	1
71171	story	71159	2
71171	interact	71203	3
71171	interact	71204	4
71200	hunter	71200	1
71201	hunter	71201	1
71300	hunter	71300	1
71301	hunter	71301	1
71302	hunter	71302	1
71401	interact	71218	
71402	interact	71219	
71403	interact	71220	
71404	interact	71221	
71350	interact	71222	1
71350	interact	71223	2
71350	interact	71224	3
71350	convoy	71152	4
71350	interact	71225	5
71352	interact	71228	1
71352	useitem	71513	2
71353	interact	71229	1
71353	interact	71230	2
71353	interact	71231	3
71353	hunter	71514	4
71353	interact	71232	5
71354	interact	71233	1
71354	collect	71164	2
71354	useitem	71514	3
71354	interact	71234	4
71354	convoy	71154	5
71355	story	71161	1
71356	interact	71235	1
71356	useitem	71515	2
71356	interact	71236	3
71357	interact	71237	1
71357	interact	71238	2
71357	interact	71239	3
71357	interact	71240	4
71357	convoy	71155	5
71357	interact	71241	6
71357	hunter	71515	7
71359	interact	71245	1
71359	interact	71246	2
71359	useitem	71516	3
71359	interact	71247	4
71359	story	71162	5
71363	interact	71259	1
71363	collect	71168	2
71363	interact	71260	3
71363	interact	71261	4
71363	collect	71169	5
71363	interact	71262	6
71364	interact	71263	1
71364	hunter	71519	2
71364	interact	71264	3
71364	collect	71170	4
71367	interact	71271	1
71358	interact	71242	1
71358	collect	71165	2
71358	interact	71243	3
71358	convoy	71156	4
71361	interact	71251	1
71361	hunter	71516	2
71361	interact	71252	3
71361	interact	71253	4
71361	hunter	71517	5
71361	collect	71167	6
71361	interact	71254	7
71361	convoy	71157	8
71362	hunter	71518	1
71362	interact	71256	2
71362	interact	71257	3
71366	interact	71268	1
71366	interact	71269	2
71158	interact	71169	1
71158	interact	71170	2
71158	interact	71276	3
71164	collect	71153	1
71164	useitem	71154	2
71164	interact	71189	3
71172	special	1165	1
71177	hunter	71522	1
71178	hunter	71523	1
71175	interact	71209	1
71175	collect	71159	2
71175	collect	71160	2
