STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
5801	interact	39300	1
5801	hunter	39301	2
5802	interact	39302	1
5802	interact	39303	2
5802	interact	39304	2
5802	interact	39305	2
5805	interact	39312	1
5805	interact	39313	2
5803	interact	39306	1
5803	interact	39307	2
5803	interact	39314	3
5804	interact	39308	1
5804	useitem	39310	2
5804	useitem	39311	2
5804	useitem	39312	2
5807	interact	39317	1
5807	story	39318	2
5807	convoy	39319	3
5808	story	39320	1
5808	hunter	39321	2
5808	interact	39322	3
5809	interact	39323	1
5809	story	39324	3
5809	interact	39325	2
5812	interact	39332	1
5806	story	39315	1
5814	hunter	39302	1
5811	interact	39328	2
5811	interact	39329	3
5811	interact	39330	4
5811	story	39327	1
5810	interact	39326	3
5810	hunter	39300	4
5810	story	39313	1
5810	interact	39301	2
5813	story	39300	1
5813	interact	39334	2
