STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
47001	hunter	7500	1
47010	interact	7501	1
47011	interact	7502	1
47012	interact	7503	1
47013	useitem	7500	1
47014	interact	7504	1
47014	interact	7505	1
47014	interact	7506	1
47016	interact	7507	1
47016	interact	7505	1
47016	interact	7504	1
47023	interact	7500	1
47019	hunter	7501	1
47020	hunter	7502	1
47021	hunter	7503	1
47002	hunter	7500	1
47003	hunter	7500	1
47004	hunter	7500	1
47005	hunter	7500	1
47006	hunter	7500	1
47007	hunter	7500	1
47008	hunter	7500	1
47018	hunter	7504	1
47015	interact	7507	1
47015	interact	7506	1
47015	interact	7505	1
47017	interact	7504	1
47017	interact	7506	1
47017	interact	7507	1
47024	special	900	1
47024	special	901	1
47024	special	902	1
47024	special	903	1
47024	special	904	1
47024	special	905	1
47024	special	906	1
47024	special	907	1
47022	story	7500	1
47025	hunter	7505	1
47026	hunter	7506	1
47027	special	1000	1
47032	special	999	1
47033	special	998	1
47035	collect	7501	1
47040	hunter	7506	1
47041	hunter	7507	1
47042	hunter	7508	1
47043	collect	7502	1
47044	interact	7509	1
47045	story	7502	1
47048	hunter	7511	1
47046	hunter	7510	4
47046	interact	7511	1
47046	story	7503	2
47046	interact	7512	5
47046	useitem	7501	6
47046	interact	7513	3
