STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
52001	special	579	-1	5
52001	special	580	-1	5
52001	special	581	-1	5
52001	special	582	-1	5
52001	special	583	-1	5
52001	special	584	-1	5
52001	special	585	-1	5
52002	special	578	-1	5
52002	special	580	-1	5
52002	special	581	-1	5
52002	special	582	-1	5
52002	special	583	-1	5
52002	special	584	-1	5
52002	special	585	-1	5
52003	special	578	-1	5
52003	special	579	-1	5
52003	special	581	-1	5
52003	special	582	-1	5
52003	special	583	-1	5
52003	special	584	-1	5
52003	special	585	-1	5
52004	special	578	-1	5
52004	special	579	-1	5
52004	special	580	-1	5
52004	special	582	-1	5
52004	special	583	-1	5
52004	special	584	-1	5
52004	special	585	-1	5
52005	special	578	-1	5
52005	special	579	-1	5
52005	special	580	-1	5
52005	special	581	-1	5
52005	special	583	-1	5
52005	special	584	-1	5
52005	special	585	-1	5
52006	special	578	-1	5
52006	special	579	-1	5
52006	special	580	-1	5
52006	special	581	-1	5
52006	special	582	-1	5
52006	special	584	-1	5
52006	special	585	-1	5
52007	special	578	-1	5
52007	special	579	-1	5
52007	special	580	-1	5
52007	special	581	-1	5
52007	special	582	-1	5
52007	special	583	-1	5
52007	special	585	-1	5
52008	special	578	-1	5
52008	special	579	-1	5
52008	special	580	-1	5
52008	special	581	-1	5
52008	special	582	-1	5
52008	special	583	-1	5
52008	special	584	-1	5
52009	special	578	-1	5
52009	special	579	-1	5
52009	special	580	-1	5
52009	special	581	-1	5
52009	special	582	-1	5
52009	special	583	-1	5
52009	special	584	-1	5
52009	special	585	-1	5
52013	special	703	1	
52014	special	704	1	
52015	special	705	1	
52016	special	706	1	
52017	special	707	1	
52018	special	708	1	
52011	special	701	1	
52012	special	702	1	
52021	hunter	57002	-1	2
52021	hunter	57003	-1	2
52021	hunter	57004	-1	2
52021	hunter	57005	-1	2
52021	hunter	57006	-1	2
52021	hunter	57007	-1	2
52021	hunter	57008	-1	2
52022	hunter	57001	-1	2
52022	hunter	57003	-1	2
52022	hunter	57004	-1	2
52022	hunter	57005	-1	2
52022	hunter	57006	-1	2
52022	hunter	57007	-1	2
52022	hunter	57008	-1	2
52023	hunter	57001	-1	2
52023	hunter	57002	-1	2
52023	hunter	57004	-1	2
52023	hunter	57005	-1	2
52023	hunter	57006	-1	2
52023	hunter	57007	-1	2
52023	hunter	57008	-1	2
52024	hunter	57001	-1	2
52024	hunter	57002	-1	2
52024	hunter	57003	-1	2
52024	hunter	57005	-1	2
52024	hunter	57006	-1	2
52024	hunter	57007	-1	2
52024	hunter	57008	-1	2
52025	hunter	57001	-1	2
52025	hunter	57002	-1	2
52025	hunter	57003	-1	2
52025	hunter	57004	-1	2
52025	hunter	57006	-1	2
52025	hunter	57007	-1	2
52025	hunter	57008	-1	2
52026	hunter	57001	-1	2
52026	hunter	57002	-1	2
52026	hunter	57003	-1	2
52026	hunter	57004	-1	2
52026	hunter	57005	-1	2
52026	hunter	57007	-1	2
52026	hunter	57008	-1	2
52027	hunter	57001	-1	2
52027	hunter	57002	-1	2
52027	hunter	57003	-1	2
52027	hunter	57004	-1	2
52027	hunter	57005	-1	2
52027	hunter	57006	-1	2
52027	hunter	57008	-1	2
52028	hunter	57001	-1	2
52028	hunter	57002	-1	2
52028	hunter	57003	-1	2
52028	hunter	57004	-1	2
52028	hunter	57005	-1	2
52028	hunter	57006	-1	2
52028	hunter	57007	-1	2
52030	special	578	-1	5
52030	special	579	-1	5
52030	special	580	-1	5
52030	special	581	-1	5
52030	special	582	-1	5
52030	special	583	-1	5
52030	special	584	-1	5
52030	special	585	-1	5
52031	special	578	-1	5
52031	special	579	-1	5
52031	special	580	-1	5
52031	special	581	-1	5
52031	special	582	-1	5
52031	special	583	-1	5
52031	special	584	-1	5
52031	special	585	-1	5
52032	special	578	-1	5
52032	special	579	-1	5
52032	special	580	-1	5
52032	special	581	-1	5
52032	special	582	-1	5
52032	special	583	-1	5
52032	special	584	-1	5
52032	special	585	-1	5
52033	special	578	-1	5
52033	special	579	-1	5
52033	special	580	-1	5
52033	special	581	-1	5
52033	special	582	-1	5
52033	special	583	-1	5
52033	special	584	-1	5
52033	special	585	-1	5
52034	special	578	-1	5
52034	special	579	-1	5
52034	special	580	-1	5
52034	special	581	-1	5
52034	special	582	-1	5
52034	special	583	-1	5
52034	special	584	-1	5
52034	special	585	-1	5
52035	special	578	-1	5
52035	special	579	-1	5
52035	special	580	-1	5
52035	special	581	-1	5
52035	special	582	-1	5
52035	special	583	-1	5
52035	special	584	-1	5
52035	special	585	-1	5
52040	special	1069	1	
52040	special	1070	1	
52040	special	1071	1	
52040	special	1072	1	
52040	special	1073	1	
52040	special	1074	1	
52040	special	1075	1	
52040	special	1076	1	
52041	special	1069	1	
52041	special	1070	1	
52041	special	1071	1	
52041	special	1072	1	
52041	special	1073	1	
52041	special	1074	1	
52041	special	1075	1	
52041	special	1076	1	
52044	interact	57001	1	
52045	interact	57002	1	
52046	interact	57003	1	
52047	interact	57004	1	
52048	interact	57005	1	
52051	special	579	-1	5
52051	special	580	-1	5
52051	special	581	-1	5
52051	special	582	-1	5
52051	special	583	-1	5
52051	special	584	-1	5
52051	special	585	-1	5
52057	special	578	-1	5
52057	special	579	-1	5
52057	special	580	-1	5
52057	special	581	-1	5
52057	special	582	-1	5
52057	special	583	-1	5
52057	special	585	-1	5
52061	special	701	1	
52067	special	707	1	
52071	hunter	57002	-1	2
52071	hunter	57003	-1	2
52071	hunter	57004	-1	2
52071	hunter	57005	-1	2
52071	hunter	57006	-1	2
52071	hunter	57007	-1	2
52071	hunter	57008	-1	2
52077	hunter	57001	-1	2
52077	hunter	57002	-1	2
52077	hunter	57003	-1	2
52077	hunter	57004	-1	2
52077	hunter	57005	-1	2
52077	hunter	57006	-1	2
52077	hunter	57008	-1	2
52052	special	578	-1	5
52052	special	580	-1	5
52052	special	581	-1	5
52052	special	582	-1	5
52052	special	583	-1	5
52052	special	584	-1	5
52052	special	585	-1	5
52055	special	578	-1	5
52055	special	579	-1	5
52055	special	580	-1	5
52055	special	581	-1	5
52055	special	583	-1	5
52055	special	584	-1	5
52055	special	585	-1	5
52062	special	702	1	
52065	special	705	1	
52072	hunter	57001	-1	2
52072	hunter	57003	-1	2
