STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
40050	collect	10008	1
40055	hunter	10018	1
40063	collect	10011	1
40063	hunter	10019	2
40074	hunter	10020	1
40078	interact	10074	1
40078	interact	10075	2
40078	interact	10076	3
40087	interact	10077	1
40087	interact	10078	2
40097	interact	10023	1
40097	interact	10024	2
40097	interact	10025	3
40098	interact	10026	1
40098	hunter	10004	2
40098	interact	10027	3
40098	collect	10004	4
40099	hunter	10005	1
40099	story	10015	2
40100	interact	10028	1
40100	convoy	10007	2
40100	convoy	10008	3
40109	story	10016	1
40109	interact	10029	2
40109	hunter	10017	3
40109	interact	10043	4
40111	story	10017	1
40111	interact	10030	2
40111	hunter	10006	3
40112	story	10018	1
40112	convoy	10009	2
40112	interact	10031	3
40121	interact	10034	1
40121	useitem	10009	2
40121	interact	10035	3
40121	convoy	10010	4
40122	interact	10036	1
40122	hunter	10007	2
40122	interact	10037	3
40122	hunter	10008	4
40124	hunter	10009	1
40124	interact	10044	2
40124	convoy	10011	3
40133	hunter	10010	1
40133	interact	10038	2
40133	story	10020	3
40134	interact	10039	1
40134	convoy	10013	2
40135	interact	10040	1
40135	hunter	10011	2
40135	interact	10041	3
40135	convoy	10014	4
40136	interact	10042	1
40136	collect	10006	2
40182	interact	10087	1
40182	interact	10088	2
40182	interact	10089	3
40242	hunter	10185	2
40242	interact	10220	1
40243	collect	10190	1
40244	convoy	10190	2
40244	story	10190	1
40245	story	10191	1
40246	hunter	10186	2
40246	interact	10221	1
40253	interact	10222	1
40253	convoy	10191	2
40255	hunter	10187	2
40255	interact	10223	1
40256	convoy	10192	1
40257	collect	10191	2
40257	story	10192	1
40258	hunter	10188	1
40258	interact	10234	2
40258	interact	10224	3
40265	collect	10192	1
40265	interact	10225	2
40265	collect	10195	3
40266	hunter	10189	2
40266	interact	10226	3
40266	story	10193	1
40267	hunter	10190	1
40269	interact	10227	1
40269	interact	10228	2
40277	interact	10229	1
40277	interact	10230	2
40278	hunter	10191	2
