STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
48006	collect	8001	1
48036	hunter	8014	1
48040	collect	8007	1
48040	hunter	8015	2
48043	interact	8012	1
48043	interact	8013	2
48044	hunter	8016	1
48045	useitem	8004	1
48046	convoy	8004	1
48052	hunter	8018	1
48053	convoy	8005	1
48054	hunter	8019	1
48056	collect	8009	1
48058	useitem	8006	1
48059	interact	8017	1
48059	interact	8018	2
48059	hunter	8020	3
48061	story	8008	1
48066	story	8009	1
48067	useitem	8008	1
48067	collect	8010	2
48067	hunter	8022	3
48071	story	8010	1
48075	hunter	8024	1
48076	story	8011	1
48076	interact	8021	2
48076	convoy	8006	3
48079	hunter	8025	1
48084	story	8017	1
48086	convoy	8011	1
48088	collect	8018	1
48089	interact	8027	1
48089	interact	8028	2
48090	hunter	8041	1
48091	interact	8029	1
48091	interact	8030	2
48096	useitem	8014	1
48097	interact	8031	1
48097	collect	8020	2
48099	interact	8032	3
48099	interact	8034	4
48100	story	8018	1
48101	hunter	8045	1
48103	hunter	8046	1
48104	convoy	8012	1
48105	collect	8021	1
48105	hunter	8047	2
48108	interact	8034	1
48108	interact	8035	2
48109	story	8019	1
48109	hunter	8048	2
48111	collect	8022	1
48112	useitem	8015	1
48115	story	8020	1
48116	collect	8023	1
48117	interact	8037	1
48117	interact	8038	2
48118	convoy	8013	1
48120	interact	8039	1
48120	hunter	8050	2
48123	convoy	8014	1
48124	hunter	8052	1
48126	convoy	8015	1
48127	hunter	8053	1
48128	story	8021	2
48130	hunter	8054	1
48131	convoy	8016	1
48137	convoy	8008	1
48138	useitem	8009	1
48139	hunter	8027	1
48143	hunter	8028	1
48143	story	8013	2
48145	hunter	8029	1
48147	collect	8013	1
48148	useitem	8010	1
48150	hunter	8030	1
48150	story	8014	2
48153	hunter	8031	1
48155	hunter	8032	0
48155	hunter	8033	0
48156	collect	8014	1
48158	hunter	8034	1
48159	convoy	8009	1
48160	hunter	8035	1
48167	story	8015	1
48169	hunter	8038	1
48172	useitem	8012	1
48173	convoy	8010	1
48174	hunter	8039	1
48174	story	8016	2
48177	hunter	8040	1
48179	collect	8016	0
48179	collect	8017	0
48180	useitem	8013	1
48183	interact	8040	1
48183	hunter	8055	2
48188	collect	8024	1
48189	interact	8042	1
48189	hunter	8057	2
48192	interact	8043	1
48192	story	8022	2
48192	interact	8044	3
48195	collect	8025	1
48196	convoy	8017	1
48197	hunter	8058	1
48198	interact	8045	1
48198	collect	8026	2
48201	interact	8046	1
48201	interact	8047	2
48201	hunter	8059	3
48205	collect	8027	1
48206	useitem	8016	1
48207	interact	8048	1
48207	hunter	8060	2
48210	useitem	8017	1
48210	interact	8049	2
48212	story	8023	1
