STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
57501	interact	82501	1
57501	interact	82502	2
57502	collect	82501	1
57502	interact	82503	2
57503	interact	82504	1
57505	interact	82505	1
57506	interact	82506	1
57508	story	82501	1
57509	interact	82507	
57509	interact	82508	
57511	interact	82511	1
57511	interact	82512	2
57511	collect	82502	3
57511	story	82502	4
57512	interact	82513	1
57513	story	82503	1
57513	convoy	82501	2
57514	hunter	82501	1
57514	interact	82515	2
57515	interact	82516	1
57515	hunter	82502	2
57516	interact	82517	1
57516	collect	82503	2
57517	interact	82518	1
57510	interact	82509	1
57510	story	82504	2
57507	interact	82519	1
57507	convoy	82502	2
57519	story	82505	1
57521	story	82507	1
57522	collect	82505	1
57522	interact	82521	2
57523	interact	82522	1
57524	interact	82523	1
57524	hunter	82503	2
57525	hunter	82504	1
57504	story	82509	1
57504	interact	82524	2
57526	interact	82520	-1
57526	interact	82525	-1
57526	interact	82526	-1
57520	story	82506	1
57527	collect	82504	1
57528	interact	82527	1
57530	story	82510	1
57532	interact	82528	1
57532	convoy	82503	2
57533	story	82511	1
57534	hunter	82506	1
57537	hunter	82508	1
57531	story	82512	1
57531	interact	82529	2
57535	story	82513	1
57535	convoy	82504	2
57535	hunter	82507	3
57536	interact	82530	1
57536	interact	82531	2
57536	interact	82532	3
57536	interact	82533	4
57538	story	82514	1
57550	story	82525	1
57550	story	82526	2
57550	convoy	82505	3
57553	interact	82537	1
57553	interact	82538	2
57553	hunter	82510	3
57559	story	82538	1
57559	story	82539	2
57559	story	82541	3
57559	interact	82542	4
57559	hunter	82514	5
57554	story	82530	1
57557	interact	82539	1
57557	hunter	82512	2
57557	hunter	82513	2
57563	convoy	82507	1
57564	story	82543	1
57564	interact	82544	2
57564	story	82544	3
57565	story	82545	1
57567	story	82548	1
57567	convoy	82508	2
57567	hunter	82517	3
57567	interact	82545	4
57561	interact	82540	1
57561	hunter	82515	2
57561	hunter	82516	3
57561	hunter	82518	4
57562	interact	82543	1
57562	story	82542	2
57562	story	82550	3
57566	collect	82513	1
57566	story	82547	2
57566	story	82546	3
57568	story	82549	1
57568	story	82551	2
57551	interact	82536	1
57551	story	82527	2
57551	story	82552	3
57552	story	82529	1
57552	interact	82535	2
57560	story	82540	1
57560	interact	82546	2
57555	story	82532	1
57555	convoy	82506	2
57556	hunter	82511	1
57556	collect	82512	2
57556	story	82533	3
57556	story	82534	4
57556	story	82535	5
57570	story	82520	1
57570	collect	82510	2
57570	interact	82547	3
57571	story	82521	1
57571	collect	82511	2
57571	interact	82548	3
57558	story	82536	1
57558	story	82537	2
57558	interact	82541	3
57558	interact	82549	4
