STRING	STRING	STRING	STRING	STRING			
ID	Type	TypeID	Order	RandCount			
21704	interact	16254	1				
21704	interact	16255	2				
21705	hunter	16250	1				
21705	hunter	16251	2				
21705	hunter	16252	3				
21706	interact	16256	1				
21706	hunter	16253	2				
21710	interact	16260	1				
21710	interact	16261	2				
21710	interact	16262	3				
21710	interact	16263	4				
21711	interact	16264	1				
21711	interact	16265	2				
21711	story	16251	3				
21801	interact	16300	1				
21801	interact	16301	2				
21801	interact	16303	3				
21802	interact	16304	1				
21803	interact	16305	1				
21804	interact	16306	1				
21742	interact	16322	1				
21742	hunter	16323	2				
21742	interact	16324	3				
21744	interact	16326	1				
21745	interact	16327	1				
21745	hunter	16328	2				
21745	interact	16329	3				
21745	interact	16330	4				
21746	interact	16331	1				
21746	useitem	16332	2				
21746	interact	16333	3				
21747	interact	16334	1				
21748	hunter	16335	1				
21743	interact	16325	1				
21743	interact	16339	2				
21901	interact	16340	1				
21902	interact	16341	1	21901	hunter	16337	2
21903	interact	16342	1				
21905	interact	16343	1				
21906	interact	16344	1				
21907	interact	16345	1				
21909	interact	16346	1				
21910	interact	16347	1				
21911	interact	16348	1				
21913	interact	16349	1				
21914	interact	16350	1				
21915	interact	16351	1				
21917	interact	16352	1				
21918	interact	16353	1				
21919	interact	16354	1				
21921	interact	16355	1				
21922	interact	16356	1				
21923	interact	16357	1				
21925	interact	16358	1				
21926	interact	16359	1				
21927	interact	16360	1				
21929	interact	16361	1				
21930	interact	16362	1				
21931	interact	16363	1				
21933	interact	16364	1				
21934	interact	16365	1				
21935	interact	16366	1				
21901	hunter	16337	2				
21902	hunter	16338	2				
21903	hunter	16339	2				
21905	hunter	16340	2				
21906	hunter	16341	2				
21907	hunter	16342	2				
21909	hunter	16343	2				
21910	hunter	16344	2				
21911	hunter	16345	2				
21913	hunter	16346	2				
21914	hunter	16347	2				
21915	hunter	16348	2				
21917	hunter	16349	2				
21918	hunter	16350	2				
21919	hunter	16351	2				
21921	hunter	16352	2				
21922	hunter	16353	2				
21923	hunter	16354	2				
21925	hunter	16355	2				
21926	hunter	16356	2				
21927	hunter	16357	2				
21929	hunter	16358	2				
21930	hunter	16359	2				
21931	hunter	16360	2				
21933	hunter	16361	2				
21934	hunter	16362	2				
21935	hunter	16363	2				
21712	story	16252	1				
21712	story	16253	2				
21712	interact	16266	3				
21712	interact	16275	4				
21712	collect	16257	5				
21717	interact	16271	1				
21717	interact	16272	2				
21717	interact	16273	3				
21717	story	16257	4				
21717	interact	16274	5				
21717	collect	16258	6				
21749	hunter	16336	1				
21749	useitem	16337	1				
21791	useitem	16255	-1				
21791	useitem	16258	-1				
21791	useitem	16259	-1				
21792	useitem	16260	-1				
21792	useitem	16261	-1				
21792	useitem	16262	-1				
21793	useitem	16263	-1				
21793	useitem	16264	-1				
21793	useitem	16265	-1				
21810	story	16258	1				
21810	interact	16371	2				
21810	hunter	16365	3				
21741	interact	16320	1				
21741	interact	16321	2				
21741	interact	16338	3				
21740	interact	16440	1				
21819	interact	16444	1				
21819	interact	16445	2				
21819	interact	16446	3				
21715	interact	16267	1				
21715	story	16254	2				
21715	convoy	16250	3				
21716	hunter	16254	1				
21716	story	16255	2				
21716	interact	16268	3				
21716	story	16256	4				
21716	interact	16269	5				
21716	interact	16270	6				
21794	useitem	16266	-1				
21794	useitem	16267	-1				
21794	useitem	16268	-1				
21795	useitem	16269	-1				
21795	useitem	16270	-1				
21795	useitem	16271	-1				
21750	interact	16456	1				
21821	interact	16448	1				
21821	interact	16449	2				
21821	interact	16457	3				
21718	collect	16259	1				
21718	collect	16260	2				
21814	useitem	16256	1				
21814	interact	16370	3				
21820	hunter	16370	1				
21820	interact	16447	2				
21820	story	16264	3				
21820	hunter	16371	5				
21820	story	16265	4				
21790	special	1125	1				
21751	special	1126	1				
21811	interact	16367	1				
21811	story	16259	2				
21811	interact	16369	3				
21812	interact	16458	1				
21812	hunter	16364	2				
21813	story	16260	1				
21813	story	16261	2				
21813	collect	16255	3				
21813	collect	16256	3				
21813	collect	16254	3				
21816	hunter	16366	1				
21816	hunter	16367	1				
21816	hunter	16368	1				
21816	interact	16442	2				
21815	story	16262	1				
21815	interact	16441	2				
21817	hunter	16369	1				
21817	collect	16366	2				
21817	interact	16443	3				
21818	story	16263	1				
21700	interact	16250	1				
21700	interact	16451	2				
21700	interact	16452	2				
21700	useitem	16250	3				
21700	useitem	16251	4				
21700	interact	16251	5				
21702	interact	16454	1				
21702	story	16250	2				
21702	interact	16453	3				
21702	interact	16455	4				
21702	interact	16252	5				
21702	interact	16253	6				
