STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
20101	useitem	15000	-1	
20101	useitem	15001	-1	
20101	useitem	15002	-1	
20101	useitem	15003	-1	
20103	interact	15001	1	
20103	useitem	15005	2	
20103	useitem	15006	2	
20105	interact	15003	1	
20105	useitem	15008	2	
20106	interact	15004	1	
20106	useitem	15009	2	
20106	useitem	15010	2	
20107	interact	15005	1	
20107	collect	15006	2	
20107	collect	15007	2	
20107	collect	15008	2	
20001	collect	15000	1	
20201	convoy	15000	1	
20202	convoy	15001	1	
20006	interact	15037	1	
20016	interact	15038	1	
20002	interact	15024	1	
20002	interact	15025	2	
20003	interact	15026	1	
20003	interact	15027	2	
20004	interact	15032	1	
20004	interact	15033	2	
20005	interact	15035	1	
20005	interact	15036	2	
20400	collect	15020	1	
20401	collect	15021	1	
20402	collect	15022	1	
20403	collect	15023	1	
20404	collect	15024	1	
20405	collect	15025	1	
20406	collect	15026	1	
20407	collect	15027	1	
20408	collect	15028	1	
20409	collect	15029	1	
20410	collect	15030	1	
20411	collect	15031	1	
20412	collect	15032	1	
20413	collect	15033	1	
20414	collect	15034	1	
20415	collect	15035	1	
20416	collect	15036	1	
20417	collect	15037	1	
20418	collect	15038	1	
20419	collect	15039	1	
20420	collect	15040	1	
20421	collect	15041	1	
20422	collect	15042	1	
20423	collect	15043	1	
20424	collect	15044	1	
20425	collect	15045	1	
20426	collect	15046	1	
20427	collect	15047	1	
20428	collect	15048	1	
20429	collect	15049	1	
20430	collect	15050	1	
20431	collect	15051	1	
20432	collect	15052	1	
20433	collect	15053	1	
20434	collect	15054	1	
20435	collect	15055	1	
20436	collect	15056	1	
20437	collect	15057	1	
20438	collect	15058	1	
20439	collect	15059	1	
20440	collect	15060	1	
20441	collect	15061	1	
20442	collect	15062	1	
20443	collect	15063	1	
20444	collect	15064	1	
20445	collect	15065	1	
20446	collect	15066	1	
20447	collect	15067	1	
20448	collect	15068	1	
20449	collect	15069	1	
20020	collect	15111	1	
20020	collect	15112	2	
20300	story	15000	1	
20300	interact	15039	2	
20452	interact	15100	1	
20452	convoy	15100	2	
20452	interact	15101	3	
20454	interact	15102	1	
20454	interact	15105	2	
20454	interact	15106	3	
20454	interact	15107	4	
20455	interact	15108	1	
20455	special	1088	2	
20456	interact	15109	1	
20456	interact	15110	2	
20456	convoy	15101	3	
20301	hunter	15004	1	
20093	hunter	15005	1	
20096	interact	15120	1	
20096	collect	15114	3	
20096	interact	15121	2	
20097	interact	15122	1	
20097	collect	15115	2	
20098	interact	15123	1	
20098	collect	15116	2	
20079	interact	15124	1	
20079	useitem	15018	2	
20303	useitem	15016	1	
20303	interact	15114	2	
20303	interact	15115	2	
20303	interact	15116	2	
20304	interact	15117	1	
20305	interact	15118	1	
20305	story	15001	2	
20361	interact	15126	1	
20361	hunter	15008	2	
20362	interact	15127	1	
20362	hunter	15009	2	
20363	interact	15128	1	
20363	hunter	15010	2	
20365	interact	15129	1	
20366	interact	15130	1	
20367	interact	15131	1	
20369	interact	15132	1	
20370	interact	15133	1	
20371	interact	15134	1	
20373	interact	15135	1	
20374	interact	15136	1	
20375	interact	15137	1	
20377	interact	15138	1	
20378	interact	15139	1	
20379	interact	15140	1	
20381	interact	15141	1	
20382	interact	15142	1	
20383	interact	15143	1	
20385	interact	15144	1	
20386	interact	15145	1	
20387	interact	15146	1	
20389	interact	15147	1	
20390	interact	15148	1	
20391	interact	15149	1	
20393	interact	15150	1	
20394	interact	15151	1	
20395	interact	15152	1	
20365	hunter	15011	2	
20366	hunter	15012	2	
20367	hunter	15013	2	
20369	hunter	15014	2	
20370	hunter	15015	2	
20371	hunter	15016	2	
20373	hunter	15017	2	
20374	hunter	15018	2	
20375	hunter	15019	2	
20377	hunter	15020	2	
20378	hunter	15021	2	
20379	hunter	15022	2	
20381	hunter	15023	2	
20382	hunter	15024	2	
20383	hunter	15025	2	
20385	hunter	15026	2	
20386	hunter	15027	2	
20387	hunter	15028	2	
20389	hunter	15029	2	
20390	hunter	15030	2	
20391	hunter	15031	2	
20393	hunter	15032	2	
20394	hunter	15033	2	
20395	hunter	15034	2	
20307	story	15002	1	
20050	hunter	15007	1	
20050	interact	15050	2	
20050	interact	15051	3	
20050	convoy	15002	4	
20308	interact	15040	1	
20308	interact	15041	2	
20308	interact	15043	3	
20308	interact	15044	4	
20309	interact	15045	1	
20309	interact	15046	2	
20310	interact	15047	1	
20311	collect	15072	1	
20311	interact	15048	2	
20311	convoy	15003	4	
20311	interact	15049	3	
20313	interact	15054	1	
20313	interact	15055	2	
20313	interact	15056	3	
20313	convoy	15004	4	
20354	useitem	15020	1	
20354	useitem	15021	2	
20092	interact	15154	1	
20092	useitem	15017	2	
20092	interact	15119	3	
20318	interact	15059	1	
20319	interact	15060	1	
20319	interact	15061	2	
20319	interact	15062	3	
20319	interact	15063	4	
20319	interact	15064	5	
20355	interact	15156	1	
20102	collect	15001	1	
20102	useitem	15004	2	
20102	collect	15002	1	
20104	interact	15002	1	
20104	collect	15003	2	
20104	useitem	15007	3	
20474	special	1093	-1	
