STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
49501	story	8750	1
49800	interact	8750	1
49802	interact	8751	1
49804	special	755	-1
49804	special	756	-1
49804	special	757	-1
49804	special	758	-1
49804	special	759	-1
49804	special	760	-1
49804	special	761	-1
49804	special	762	-1
49804	special	763	-1
49804	special	764	-1
49502	interact	8764	1
49502	interact	8765	2
49503	story	8751	1
49805	interact	8763	1
49805	interact	8771	2
49807	interact	8772	1
49807	interact	8773	2
49809	interact	8774	1
49809	interact	8775	2
49811	interact	8776	1
49811	interact	8777	2
49813	interact	8778	1
49813	interact	8779	2
49815	interact	8780	1
49815	interact	8781	1
49817	interact	8782	1
49817	interact	8783	1
49806	convoy	8750	-1
49806	collect	8785	-1
49806	collect	8786	-1
49806	collect	8787	-1
49806	collect	8788	-1
49806	collect	8789	-1
49806	collect	8790	-1
49806	collect	8791	-1
49806	collect	8792	-1
49806	collect	8793	-1
49808	convoy	8751	-1
49808	collect	8785	-1
49808	collect	8786	-1
49808	collect	8787	-1
49808	collect	8788	-1
49808	collect	8789	-1
49808	collect	8790	-1
49808	collect	8791	-1
49808	collect	8792	-1
49808	collect	8793	-1
49810	convoy	8752	-1
49810	collect	8785	-1
49810	collect	8786	-1
49810	collect	8787	-1
49810	collect	8788	-1
49810	collect	8789	-1
49810	collect	8790	-1
49810	collect	8791	-1
49810	collect	8792	-1
49810	collect	8793	-1
49812	convoy	8753	-1
49812	collect	8785	-1
49812	collect	8786	-1
49812	collect	8787	-1
49812	collect	8788	-1
49812	collect	8789	-1
49812	collect	8790	-1
49812	collect	8791	-1
49812	collect	8792	-1
49812	collect	8793	-1
49814	convoy	8754	-1
49814	collect	8785	-1
49814	collect	8786	-1
49814	collect	8787	-1
49814	collect	8788	-1
49814	collect	8789	-1
49814	collect	8790	-1
49814	collect	8791	-1
49814	collect	8792	-1
49814	collect	8793	-1
49816	convoy	8755	-1
49816	collect	8785	-1
49816	collect	8786	-1
49816	collect	8787	-1
49816	collect	8788	-1
49816	collect	8789	-1
49816	collect	8790	-1
49816	collect	8791	-1
49816	collect	8792	-1
49816	collect	8793	-1
49818	convoy	8756	-1
49818	collect	8785	-1
49818	collect	8786	-1
49818	collect	8787	-1
49818	collect	8788	-1
49818	collect	8789	-1
49818	collect	8790	-1
49818	collect	8791	-1
49818	collect	8792	-1
49818	collect	8793	-1
49504	interact	8767	1
49504	hunter	8750	2
49505	interact	8768	1
49505	interact	8769	2
49505	interact	8770	3
49506	interact	8784	1
49506	interact	8785	2
49507	interact	8786	1
49507	collect	8941	2
49507	collect	8942	2
49507	collect	8943	2
49508	interact	8788	1
49508	hunter	8751	2
49508	hunter	8752	2
49509	interact	8789	1
49510	interact	8790	1
49510	convoy	8761	2
49510	interact	8791	3
49511	interact	8792	1
49511	collect	8944	2
49511	interact	8793	3
49512	interact	8794	1
49512	interact	8795	2
49513	story	8752	1
49513	interact	8796	2
49514	story	8753	1
49514	interact	8797	2
49515	interact	8798	1
49515	hunter	8753	2
49515	interact	8799	3
49515	hunter	8754	4
49516	collect	8945	1
49516	interact	8800	2
49518	interact	8803	1
49518	story	8755	2
49517	interact	8801	1
49517	interact	8802	2
49526	interact	8812	1
49526	story	8757	2
49803	interact	8752	-1
49803	interact	8753	-1
49803	interact	8754	-1
49803	interact	8755	-1
49803	interact	8757	-1
49803	interact	8758	-1
49803	interact	8759	-1
49803	interact	8761	-1
49803	interact	8762	-1
49819	interact	8815	1
49820	useitem	8753	-1
49820	useitem	8754	-1
49820	useitem	8755	-1
49820	useitem	8756	-1
49820	useitem	8757	-1
49820	useitem	8758	-1
49820	useitem	8759	-1
49820	useitem	8760	-1
49820	useitem	8761	-1
49820	useitem	8762	-1
49820	useitem	8763	-1
49820	useitem	8764	-1
49820	useitem	8765	-1
49820	useitem	8766	-1
49820	useitem	8767	-1
49820	useitem	8768	-1
49820	useitem	8769	-1
49820	useitem	8770	-1
49820	useitem	8771	-1
49820	useitem	8772	-1
49820	useitem	8773	-1
49820	useitem	8774	-1
49820	useitem	8775	-1
49820	useitem	8776	-1
49820	useitem	8777	-1
49821	interact	8816	1
49822	interact	8817	1
49823	useitem	8778	-1
49823	useitem	8779	-1
49823	useitem	8780	-1
49530	interact	8819	1
49530	story	8758	2
49534	story	8763	1
49534	story	8764	2
49534	hunter	8766	3
49534	collect	8949	3
49535	interact	8823	1
49535	story	8765	2
49798	interact	8824	1
49797	interact	8825	1
49796	interact	8826	1
49794	interact	8829	1
49795	hunter	8767	1
49795	hunter	8768	1
49795	hunter	8769	1
49570	interact	8950	1
49570	interact	8951	2
49570	interact	8952	3
49574	interact	8960	1
49574	interact	8961	2
49574	interact	8962	3
49574	interact	8963	4
49799	interact	8940	1
49550	story	8800	1
49550	interact	8880	2
49550	useitem	8800	3
49551	story	8801	1
49551	hunter	8800	2
49555	hunter	8803	1
49555	hunter	8804	1
49555	hunter	8805	1
49555	hunter	8806	1
49555	hunter	8807	1
49556	story	8805	1
49552	story	8802	1
49523	story	8996	1
49542	useitem	8922	1
49542	interact	8926	2
49542	collect	8961	3
49542	useitem	8923	4
49542	useitem	8924	5
49542	interact	8927	6
49543	hunter	8922	1
49543	story	8923	2
49543	interact	8928	3
49543	hunter	8923	4
49543	hunter	8924	4
49543	hunter	8925	4
49543	useitem	8925	5
49543	useitem	8931	6
49528	collect	8948	1
49528	interact	8814	3
49528	interact	8998	2
49529	interact	8818	2
49529	hunter	8762	3
49529	hunter	8763	3
49529	interact	8997	1
49531	interact	8820	1
49531	story	8759	2
49531	interact	8821	3
49531	hunter	8764	4
49531	story	8760	5
49533	story	8761	1
49533	interact	8822	2
49533	useitem	8782	3
49533	story	8762	4
49533	interact	8827	6
49533	interact	8996	5
49532	interact	8828	1
49532	useitem	8781	3
49545	story	8926	1
49560	story	8806	1
49561	story	8807	1
49561	interact	8884	2
49561	interact	8885	3
49563	story	8812	1
49563	interact	8886	2
49563	hunter	8808	3
49563	interact	8887	4
49564	story	8810	1
49564	story	8811	2
49573	interact	8958	1
49573	interact	8966	2
49573	useitem	8926	3
49573	interact	8959	4
49575	interact	8964	1
49575	interact	8965	2
49575	hunter	8811	3
49575	story	8930	4
49541	story	8921	1
49541	interact	8923	2
49541	story	8922	3
49541	useitem	8932	4
49541	interact	8925	5
49546	hunter	8921	4
49546	story	8927	1
49546	interact	8934	2
49546	useitem	8933	3
49525	interact	8811	1
49525	hunter	8756	2
49525	hunter	8999	3
49525	hunter	8997	4
49524	story	8756	1
49524	interact	8809	2
49524	interact	8888	3
49547	interact	8920	1
49547	interact	8921	2
49540	story	8920	1
49540	interact	8922	2
49540	useitem	8920	3
49540	useitem	8921	4
49571	interact	8955	1
