STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
38806	special	751	1	
38805	collect	12400	1	
38813	special	767	1	
38913	hunter	12401	1	
38902	hunter	12400	1	
38816	collect	12467	1	
38817	collect	12468	1	
38909	collect	12401	1	
38909	collect	12402	1	
38909	collect	12403	1	
38909	collect	12404	1	
38804	interact	12405	1	
38804	special	743	2	
38804	special	744	3	
38804	special	746	4	
38920	interact	12408	1	
38914	interact	12417	1	
38916	question	12401	2	
38916	interact	12456	1	
38911	interact	12418	1	
38911	useitem	12401	2	
38911	interact	12419	3	
38861	story	12402	1	
38862	interact	12422	1	
38862	story	12403	2	
38863	interact	12423	1	
38863	hunter	12461	2	
38864	interact	12424	1	
38865	interact	12425	1	
38866	interact	12426	1	
38866	interact	12427	1	
38866	interact	12428	1	
38867	hunter	12462	1	
38871	story	12404	1	
38872	story	12405	1	
38873	story	12406	1	
38874	hunter	12463	1	
38874	story	12407	2	
38875	interact	12429	1	
38875	hunter	12464	2	
38875	hunter	12465	3	
38883	story	12411	1	
38882	interact	12450	1	
38882	hunter	12466	2	
38892	interact	12451	1	
38893	hunter	12467	1	
38895	story	12412	1	
38896	story	12413	1	
38918	collect	12469	1	
38922	interact	12414	1	
38917	convoy	12400	1	
38923	story	12401	1	
38923	hunter	12460	2	
38923	interact	12415	3	
38919	interact	12416	1	
38921	interact	12452	1	
38921	special	794	2	
38829	special	795	1	
38915	collect	12470	-1	1
38915	collect	12471	-1	1
38929	useitem	12402	-1	1
38929	useitem	12403	-1	1
38926	collect	12405	1	
38819	special	749	1	
38802	interact	12400	1	
38802	useitem	12400	2	
38820	special	753	1	
38820	interact	12430	2	
38803	useitem	12405	1	
38952	interact	12431	1	
38952	hunter	12431	2	
38953	interact	12432	1	
38953	hunter	12432	2	
38954	interact	12433	1	
38954	hunter	12433	2	
38956	interact	12434	1	
38956	hunter	12434	2	
38957	interact	12435	1	
38957	hunter	12435	2	
38958	interact	12436	1	
38958	hunter	12436	2	
38930	useitem	12406	1	
38930	useitem	12407	1	
38930	useitem	12408	1	
38930	useitem	12409	1	
38818	special	803	1	
38881	story	12408	1	
38881	story	12409	2	
38881	story	12410	3	
38971	special	805	1	
38971	special	806	1	
38918	interact	12454	2	
38901	interact	12455	1	
38815	collect	12460	-1	3
38815	collect	12461	-1	3
38815	collect	12462	-1	3
38815	collect	12463	-1	3
38815	collect	12464	-1	3
38928	interact	12457	1	
38928	collect	12473	2	
38924	interact	12458	1	
38924	collect	12474	2	
38925	interact	12459	1	
38925	collect	12475	2	
38814	special	821	-1	2
38814	special	822	-1	2
38814	special	823	-1	2
38814	special	824	-1	2
38949	special	819	-1	2
38949	hunter	12468	-1	2
38949	hunter	12469	-1	2
38949	hunter	12470	-1	2
38916	collect	12476	3	
38822	story	12414	-1	3
38822	story	12415	-1	3
38822	story	12416	-1	3
38822	story	12417	-1	3
38822	story	12418	-1	3
38822	story	12419	-1	3
38822	story	12420	-1	3
38822	story	12421	-1	3
38822	story	12422	-1	3
38822	story	12423	-1	3
38950	hunter	12471	-1	2
38950	hunter	12472	-1	2
38950	hunter	12473	-1	2
38950	hunter	12474	-1	2
38801	special	741	1	
38801	interact	12465	2	
38801	hunter	12475	3	
38801	hunter	12476	3	
