STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
18002	interact	52000	1
18002	story	52000	2
18003	story	52001	1
18003	story	52002	1
18003	story	52003	1
18003	story	52004	2
18010	interact	52005	1
18011	hunter	52003	1
18012	hunter	52004	1
18013	hunter	52005	1
18014	hunter	52006	1
18015	hunter	52007	1
18016	hunter	52008	1
18017	interact	52008	1
18017	hunter	52009	2
18018	hunter	52010	1
18019	hunter	52011	1
18020	interact	52006	1
18020	interact	52007	2
18021	hunter	52012	1
18022	hunter	52013	1
18023	hunter	52014	1
18024	hunter	52015	1
18025	hunter	52016	1
18026	collect	52017	1
18026	hunter	52017	2
18028	story	52013	1
18029	collect	52003	1
18029	collect	52004	1
18030	collect	52005	1
18030	collect	52006	1
18031	collect	52007	1
18031	collect	52008	1
18032	collect	52009	1
18032	collect	52010	1
18033	collect	52011	1
18033	collect	52012	1
18034	special	120	1
18034	collect	52013	2
18035	collect	52020	1
18035	collect	52022	1
18035	collect	52023	1
18036	collect	52025	1
18036	collect	52026	1
18036	collect	52027	1
18037	interact	52022	1
18037	interact	52023	1
18037	interact	52024	1
18037	interact	52025	2
18038	interact	52026	1
18038	interact	52027	1
18038	interact	52028	1
18038	interact	52029	2
18039	hunter	52024	1
18040	hunter	52025	1
18041	hunter	52026	1
18042	hunter	52027	1
18043	hunter	52028	1
18044	hunter	52029	1
18045	hunter	52030	1
18046	hunter	52031	1
18047	hunter	52032	1
18048	hunter	52033	1
18049	hunter	52034	1
18050	hunter	52035	1
18051	hunter	52036	1
18052	hunter	52037	1
18053	collect	52020	1
18053	collect	52022	1
18053	collect	52023	1
18054	collect	52025	1
18054	collect	52026	1
18054	collect	52027	1
18054	collect	52028	1
18055	hunter	52063	1
18056	interact	52021	1
18057	interact	52020	1
18058	hunter	52038	1
18059	hunter	52060	1
18060	hunter	52039	1
18061	story	52020	1
18061	story	52021	2
18061	hunter	52040	3
18061	hunter	52041	4
18062	story	52022	1
18062	story	52023	2
18062	hunter	52042	3
18062	hunter	52043	4
18063	story	52024	1
18063	story	52025	2
18063	hunter	52044	3
18063	hunter	52045	4
18064	collect	52030	1
18064	hunter	52046	2
18064	hunter	52047	2
18064	hunter	52048	2
18065	hunter	52049	1
18065	hunter	52062	2
18066	hunter	52050	1
18066	hunter	52061	2
18068	hunter	52051	2
18068	collect	52033	1
18068	hunter	52055	3
18069	story	52026	1
18070	hunter	52056	-1
18070	hunter	52057	-1
18070	hunter	52058	-1
18070	hunter	52059	-1
18071	story	52027	1
18072	hunter	52056	-1
18072	hunter	52057	-1
18072	hunter	52058	-1
18072	hunter	52059	-1
18073	story	52028	1
18074	hunter	52056	-1
18074	hunter	52057	-1
18074	hunter	52058	-1
18074	hunter	52059	-1
18075	story	52029	1
18076	collect	52034	1
18080	hunter	52054	1
18081	hunter	52016	1
18082	story	52026	1
18083	hunter	52056	-1
18083	hunter	52057	-1
18083	hunter	52058	-1
18083	hunter	52059	-1
18084	story	52027	1
18085	hunter	52056	-1
18085	hunter	52057	-1
18085	hunter	52058	-1
18085	hunter	52059	-1
18086	story	52028	1
18087	hunter	52056	-1
18087	hunter	52057	-1
18087	hunter	52058	-1
18087	hunter	52059	-1
18088	story	52029	1
18089	hunter	52016	1
18090	story	52026	1
18091	hunter	52056	-1
18091	hunter	52057	-1
18091	hunter	52058	-1
18091	hunter	52059	-1
18092	story	52027	1
18093	hunter	52056	-1
18093	hunter	52057	-1
18093	hunter	52058	-1
18093	hunter	52059	-1
18094	story	52028	1
18095	hunter	52056	-1
18095	hunter	52057	-1
18095	hunter	52058	-1
18095	hunter	52059	-1
18096	story	52029	1
