STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
10701	hunter	33100	
10702	collect	33100	1
10702	collect	33101	1
10703	hunter	33101	
10704	collect	33102	
10705	story	33100	
10706	hunter	33102	
10707	collect	33103	
10708	interact	33100	
10709	hunter	33104	
10710	interact	33101	1
10710	interact	33102	2
10710	interact	33103	3
10710	interact	33104	4
10711	collect	33104	
10712	hunter	33105	1
10712	useitem	33100	1
10713	convoy	33100	
10714	interact	33105	
10715	hunter	33106	
10716	collect	33105	1
10716	collect	33106	1
10717	collect	33107	
10718	hunter	33107	
10719	interact	33106	
10720	question	33100	
10721	question	33101	
10722	question	33102	
10723	question	33103	
10724	question	33104	
10725	question	33105	
10726	question	33106	
10727	question	33107	
10728	question	33108	
10729	question	33109	
10730	collect	33108	2
10730	interact	33107	1
10731	interact	33108	
10732	convoy	33101	2
10732	interact	33109	1
10733	collect	33109	
10735	hunter	33108	2
10735	story	33101	1
10736	interact	33110	
10737	collect	33110	
10738	hunter	33109	1
10738	hunter	33110	1
10739	hunter	33111	
10740	hunter	33112	
10741	interact	33111	
10742	hunter	33113	
10743	hunter	33114	
10744	collect	33111	
10745	hunter	33115	
10801	interact	33201	
10802	interact	33202	
10803	interact	33203	
10804	collect	33201	
10804	interact	33204	
10805	interact	33205	
10806	collect	33202	
10806	interact	33206	
10807	collect	33203	
10807	collect	33204	
10807	collect	33205	
10807	collect	33206	
10807	collect	33207	
10808	interact	33207	
10809	interact	33234	
10809	useitem	33202	
10810	interact	33209	
10811	story	33201	
10812	interact	33210	
10813	story	33202	
10815	collect	33209	
10816	collect	33210	
10816	collect	33211	
10816	collect	33212	
10816	collect	33213	
10817	collect	33214	
10818	collect	33215	
10819	interact	33211	
10820	interact	33212	
10821	interact	33213	
10822	interact	33214	
10823	interact	33215	
10824	interact	33216	
10825	interact	33217	
10826	collect	33216	
10827	interact	33235	
10827	useitem	33203	
10828	interact	33218	
10829	interact	33219	
10830	interact	33220	
10831	convoy	33201	
10832	collect	33218	
10832	collect	33219	
10833	collect	33220	
10834	interact	33221	
10835	collect	33221	2
10835	hunter	33201	2
10835	useitem	33201	1
10836	interact	33222	
10838	hunter	33202	
10839	collect	33222	
10839	hunter	33203	
10840	interact	33223	
10840	interact	33224	
10840	interact	33225	
10841	hunter	33204	
10842	collect	33223	
10844	collect	33224	
10844	hunter	33205	
10845	story	33203	
10846	interact	33226	
10847	interact	33227	
10848	interact	33228	
10849	collect	33225	-1
10849	collect	33226	-1
10849	collect	33227	-1
10849	collect	33228	-1
10849	collect	33229	-1
10849	collect	33230	-1
10849	collect	33231	-1
10849	collect	33232	-1
10849	collect	33233	-1
10850	interact	33229	
10851	interact	33230	
10852	hunter	33206	
10853	hunter	33207	
10854	interact	33231	
10855	interact	33232	
10856	collect	33234	
10857	interact	33233	
10860	interact	33113	1
10860	hunter	33116	2
10860	story	33102	3
10860	interact	33112	4
10861	collect	33113	
10751	hunter	33251	
10752	hunter	33252	
10753	hunter	33253	
10754	hunter	33254	
10755	hunter	33255	
10756	collect	33251	
10757	collect	33252	
10758	collect	33253	
10760	interact	33255	
10761	interact	33256	
10761	collect	33266	
10762	hunter	33256	
10763	hunter	33257	
10764	interact	33257	
10765	hunter	33258	
10766	interact	33258	
10767	interact	33259	1
10767	hunter	33259	2
10768	hunter	33260	
10769	story	33251	
10770	interact	33273	1
10770	hunter	33261	2
10771	collect	33254	
10772	collect	33255	
10773	interact	33261	
10774	collect	33267	
10774	interact	33262	
10775	hunter	33262	
10776	hunter	33263	
10777	hunter	33264	
10778	interact	33263	
10781	collect	33256	
10782	collect	33257	
10783	collect	33258	
10784	interact	33264	
10785	collect	33259	
10786	collect	33260	
10787	hunter	33265	
10788	interact	33265	
10789	collect	33261	
10790	collect	33262	
10791	collect	33268	
10791	interact	33266	
10792	collect	33263	
10793	interact	33267	
10794	interact	33268	
10795	interact	33269	
10796	collect	33264	
10797	collect	33265	
10798	interact	33270	
10799	interact	33271	
10800	interact	33272	
10759	interact	33251	1
10759	interact	33252	1
10759	interact	33253	1
10759	interact	33254	1
