STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
501	interact	600	1
501	collect	848	2
502	interact	750	1
502	collect	849	2
502	interact	792	3
503	interact	602	1
503	collect	850	2
504	interact	751	1
504	collect	851	2
504	interact	793	3
505	interact	604	1
505	collect	852	2
506	collect	853	1
507	interact	606	1
507	collect	854	2
507	interact	794	3
508	interact	607	1
508	collect	855	2
508	interact	795	3
509	interact	608	1
509	collect	856	2
509	interact	796	3
510	interact	609	1
510	collect	857	2
510	interact	797	3
511	interact	610	1
511	collect	858	2
512	interact	611	1
512	collect	859	2
514	interact	613	1
514	collect	861	2
515	interact	614	1
515	collect	862	2
516	interact	615	1
516	collect	863	2
517	interact	616	1
518	interact	617	1
519	interact	618	1
520	interact	619	1
521	interact	620	1
522	interact	621	1
523	interact	622	1
524	interact	623	1
525	interact	624	1
526	interact	625	1
527	interact	626	1
528	interact	627	1
529	interact	628	1
530	interact	629	1
531	interact	630	1
532	interact	631	1
533	interact	632	1
534	interact	633	1
535	interact	634	1
536	interact	635	1
537	interact	636	1
538	interact	637	1
539	interact	638	1
540	interact	639	1
541	interact	640	1
542	interact	641	1
543	interact	642	1
544	interact	643	1
545	collect	600	1
546	collect	602	1
547	collect	604	1
548	collect	606	1
549	collect	608	1
550	collect	610	1
551	collect	612	1
552	collect	614	1
553	collect	616	1
554	collect	618	1
555	collect	620	1
556	collect	622	1
557	collect	624	1
558	collect	626	1
559	collect	628	1
560	collect	630	1
561	collect	632	1
561	collect	633	1
562	collect	634	1
562	collect	635	1
563	collect	636	1
563	collect	637	1
564	collect	638	1
564	collect	639	1
565	collect	640	1
565	collect	641	1
566	collect	642	1
566	collect	643	1
567	collect	644	1
567	collect	645	1
568	collect	646	1
568	collect	647	1
569	collect	648	1
570	collect	650	1
571	collect	652	1
572	collect	654	1
573	collect	656	1
574	collect	658	1
575	collect	660	1
576	collect	662	1
577	collect	664	1
577	collect	665	1
578	collect	666	1
578	collect	667	1
579	collect	668	1
579	collect	669	1
580	collect	670	1
580	collect	671	1
581	collect	672	1
581	collect	673	1
582	collect	674	1
582	collect	675	1
583	collect	676	1
583	collect	677	1
584	collect	678	1
584	collect	679	1
588	collect	686	1
588	collect	687	1
589	collect	688	1
589	collect	689	1
590	collect	690	1
590	collect	691	1
591	collect	692	1
591	collect	693	1
592	collect	694	1
592	collect	695	1
593	collect	696	1
594	collect	698	1
595	collect	700	1
596	collect	702	1
597	collect	704	1
598	collect	706	1
599	collect	708	1
600	collect	710	1
601	collect	712	1
602	collect	714	1
603	collect	716	1
604	collect	718	1
605	collect	720	1
606	collect	722	1
607	collect	724	1
608	collect	726	1
609	collect	728	1
610	collect	730	1
611	collect	732	1
612	collect	734	1
613	collect	736	1
614	collect	738	1
615	collect	740	1
616	collect	742	1
617	collect	744	1
618	collect	746	1
619	collect	748	1
620	collect	750	1
621	collect	752	1
622	collect	754	1
623	collect	756	1
624	collect	758	1
625	collect	760	1
625	collect	761	1
626	collect	762	1
626	collect	763	1
627	collect	764	1
627	collect	765	1
628	collect	766	1
628	collect	767	1
629	collect	768	1
629	collect	769	1
630	collect	770	1
630	collect	771	1
631	collect	772	1
631	collect	773	1
632	collect	774	1
632	collect	775	1
633			
642			
651			
652	collect	808	1
652	collect	809	1
653	collect	810	1
653	collect	811	1
654	collect	812	1
654	collect	813	1
655	collect	814	1
655	collect	815	1
656	collect	816	1
656	collect	817	1
657	collect	818	1
657	collect	819	1
