STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
85101	hunter	54826	1
85103	hunter	54828	1
85104	hunter	54829	1
85108	hunter	54833	1
85109	hunter	54834	1
85110	collect	54825	1
85111	collect	54826	1
85114	collect	54829	1
85115	collect	54830	1
85117	collect	54832	1
85135	useitem	54825	1
85136	useitem	54826	1
85138	useitem	54828	1
85139	useitem	54829	1
85140	useitem	54830	1
85142	useitem	54832	1
85143	convoy	54825	1
85144	convoy	54826	1
85145	convoy	54827	1
85146	story	54825	1
85147	story	54826	1
85120	interact	54825	1
85120	interact	54826	2
85121	interact	54827	1
85121	interact	54828	2
85122	interact	54829	1
85122	interact	54830	2
85123	interact	54831	1
85123	interact	54832	2
85123	interact	54833	3
85124	interact	54834	1
85124	interact	54835	2
85124	interact	54836	3
85125	interact	54837	1
85125	interact	54838	2
85125	interact	54839	3
85105	hunter	54830	1
85105	hunter	54827	1
85107	hunter	54832	1
85107	hunter	54825	1
85113	collect	54828	1
85113	collect	54834	1
85113	collect	54831	1
85112	collect	54827	1
85112	collect	54833	1
85137	useitem	54827	1
85137	interact	54840	2
85137	interact	54841	3
