STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
82750	hunter	56780	1
82750	interact	56780	2
82751	hunter	56781	1
82751	collect	56780	2
82756	hunter	56787	1
82756	hunter	56788	2
82756	interact	56781	3
82758	hunter	56790	1
82758	hunter	56791	2
82758	collect	56789	3
82760	hunter	56793	1
82760	hunter	56794	2
82760	interact	56783	3
82760	interact	56784	4
82761	hunter	56795	1
82761	interact	56785	2
82761	hunter	56796	3
82763	hunter	56798	1
82763	hunter	56799	2
82763	collect	56793	3
82764	hunter	56800	1
82764	interact	56788	2
82764	hunter	56801	3
82765	hunter	56802	1
82765	interact	56789	2
82765	hunter	56803	3
82757	hunter	56789	2
82757	interact	56782	3
82757	interact	56790	1
82762	hunter	56797	1
82762	interact	56786	3
82762	interact	56787	4
82762	interact	56791	2
82752	hunter	56782	1
82752	hunter	56783	2
82752	collect	56781	3
82753	hunter	56784	1
82753	collect	56782	2
82753	collect	56783	2
82755	hunter	56786	1
82755	collect	56786	2
82755	collect	56787	2
82754	hunter	56785	1
82754	collect	56784	2
82754	collect	56785	2
82759	hunter	56792	1
82759	collect	56790	2
82759	collect	56791	2
