STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
84600	hunter	52600	1
84600	collect	52600	2
84600	collect	52601	3
84601	hunter	52601	1
84601	collect	52602	2
84603	hunter	52603	1
84603	collect	52605	2
84603	collect	52606	3
84604	collect	52607	1
84604	hunter	52604	2
84604	collect	52608	3
84605	interact	52600	1
84605	hunter	52605	2
84605	collect	52609	3
84606	interact	52601	1
84606	interact	52602	2
84607	story	52600	1
84607	interact	52603	2
84607	useitem	52600	3
84608	interact	52604	1
84608	interact	52605	2
84609	interact	52606	1
84609	collect	52610	2
84610	interact	52607	1
84610	interact	52608	2
84611	interact	52609	1
84611	interact	52610	2
84612	hunter	52606	1
84612	collect	52611	2
84612	collect	52612	3
84613	interact	52611	1
84613	interact	52612	2
84614	interact	52613	1
84614	interact	52614	2
84617	interact	52615	1
84617	interact	52616	2
84619	interact	52618	1
84619	interact	52619	2
84615	hunter	52607	1
84615	hunter	52608	2
84615	collect	52613	2
84618	interact	52617	1
84618	hunter	52610	2
84618	collect	52615	2
84616	collect	52614	1
84602	collect	52603	1
84602	collect	52604	1
84620	interact	52620	1
84620	hunter	52611	2
84620	story	52601	3
84621	interact	52621	1
84621	interact	52622	2
84622	story	52602	1
84622	interact	52623	2
84622	interact	52624	3
84625	hunter	52613	1
84625	story	52603	2
84625	interact	52631	3
84626	interact	52630	1
84626	story	52604	2
84627	interact	52628	1
84627	interact	52629	2
84623	useitem	52601	1
84623	hunter	52612	4
84623	interact	52625	2
84623	interact	52633	3
84628	interact	52634	1
84628	interact	52635	2
84628	interact	52636	3
84628	interact	52637	4
84629	interact	52638	1
84629	interact	52639	2
84629	interact	52640	3
84629	interact	52641	4
84629	interact	52642	5
84630	interact	52644	1
84630	hunter	52614	2
84630	interact	52645	3
84630	useitem	52602	4
84630	interact	52643	5
84631	convoy	52600	1
84631	interact	52647	2
84631	useitem	52603	3
84631	story	52605	4
84631	story	52606	5
84632	interact	52651	1
84632	hunter	52615	2
84632	interact	52652	3
84632	interact	52653	4
84633	story	52607	1
84633	interact	52654	3
84633	interact	52655	4
84633	interact	52656	5
84633	interact	52657	2
84635	hunter	52616	1
84635	story	52608	2
84635	interact	52658	3
84636	interact	52659	1
84636	story	52609	2
84637	interact	52660	1
84637	interact	52661	2
84639	hunter	52616	1
84639	story	52608	2
84639	interact	52658	3
84640	interact	52659	1
84640	story	52609	2
84643	interact	52638	1
84643	interact	52639	2
84643	interact	52640	3
84643	interact	52641	4
84643	interact	52642	5
84644	interact	52644	1
84644	hunter	52614	2
84644	interact	52672	3
84644	useitem	52604	4
84644	interact	52643	5
84641	interact	52665	1
84641	interact	52666	2
84642	interact	52634	1
84642	interact	52635	2
84642	interact	52667	3
84642	interact	52637	4
84646	interact	52668	1
84646	hunter	52615	2
84646	interact	52669	3
84646	interact	52653	4
84647	story	52607	1
84647	interact	52670	3
84647	interact	52671	4
84647	interact	52656	5
84647	interact	52657	2
84638	interact	52675	1
84645	convoy	52601	1
84645	interact	52673	2
84645	useitem	52605	4
84645	story	52605	5
84645	story	52606	6
84645	interact	52678	3
84648	interact	52662	3
84648	interact	52663	5
84648	interact	52664	4
84648	interact	52677	1
84648	interact	52676	2
