STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
83300	hunter	45600	1
83300	hunter	45601	1
83301	collect	45600	1
83304	hunter	45602	1
83304	collect	45603	1
83305	hunter	45603	1
83305	collect	45604	1
83306	hunter	45604	1
83306	collect	45605	1
83307	hunter	45605	1
83307	collect	45606	1
83308	hunter	45606	1
83308	hunter	45607	1
83309	hunter	45608	2
83309	collect	45607	2
83309	interact	45601	1
83310	hunter	45609	1
83310	hunter	45610	1
83311	hunter	45611	1
83312	collect	45608	1
83313	interact	45602	1
83313	collect	45609	2
83316	hunter	45615	1
83317	hunter	45616	1
83317	collect	45612	1
83318	hunter	45617	1
83318	hunter	45618	1
83318	hunter	45619	1
83319	collect	45613	1
83319	interact	45605	2
83319	collect	45614	3
83320	collect	45615	1
83321	collect	45616	1
83323	hunter	45620	1
83323	hunter	45621	1
83322	collect	45617	2
83322	interact	45606	1
83302	collect	45601	1
83303	collect	45602	2
83303	interact	45600	1
83314	hunter	45612	1
83314	hunter	45613	1
83314	collect	45610	2
83314	hunter	45614	2
83315	interact	45603	1
83315	interact	45604	2
83315	collect	45611	3
83315	interact	45607	4
