STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
82000	hunter	38840	1
82000	interact	38840	2
82000	hunter	38841	3
82001	hunter	38842	1
82001	interact	38841	2
82001	interact	38842	3
82002	hunter	38843	1
82002	interact	38843	2
82002	hunter	38844	3
82003	interact	38844	1
82003	interact	38845	2
82003	hunter	38845	3
82004	hunter	38846	1
82004	interact	38846	2
82004	hunter	38847	3
82005	hunter	38848	1
82005	interact	38847	2
82005	interact	38848	3
82006	hunter	38849	1
82006	interact	38849	2
82006	interact	38850	3
82007	hunter	38850	1
82007	interact	38851	2
82007	interact	38852	3
82008	hunter	38851	1
82008	interact	38853	2
82008	hunter	38852	3
82009	hunter	38853	1
82009	interact	38854	2
82009	interact	38855	3
82010	hunter	38854	1
82010	interact	38856	2
82010	hunter	38855	3
82011	hunter	38856	1
82011	interact	38857	2
82011	interact	38858	3
82012	interact	38859	1
82012	interact	38860	2
82012	hunter	38857	3
82013	hunter	38858	1
82013	interact	38861	2
82013	hunter	38859	3
82014	hunter	38860	1
82014	interact	38862	2
82014	hunter	38861	3
82015	interact	38863	1
82015	interact	38864	2
82015	interact	38865	3
82016	interact	38866	1
82016	interact	38868	3
82016	hunter	38862	2
