STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
82501	collect	55701	1
82502	interact	55700	2
82502	collect	55702	1
82504	useitem	55700	1
82508	hunter	55703	1
82508	interact	55701	2
82508	collect	55703	3
82509	collect	55704	1
82509	interact	55702	2
82509	collect	55705	3
82512	hunter	55705	1
82512	hunter	55706	2
82512	interact	55706	3
82513	interact	55707	1
82513	interact	55708	2
82513	interact	55709	3
82514	hunter	55707	1
82514	interact	55710	2
82514	hunter	55708	3
82516	interact	55712	1
82516	hunter	55709	2
82516	interact	55713	3
82516	collect	55706	4
82518	collect	55707	1
82518	interact	55714	2
82518	useitem	55704	3
82518	interact	55715	4
82519	question	55700	1
82503	hunter	55700	1
82503	hunter	55701	2
82505	convoy	55700	2
82505	interact	55716	1
82506	interact	55717	1
82510	interact	55703	1
82510	story	55700	2
82510	collect	55708	3
82515	interact	55711	1
82507	useitem	55701	1
82507	useitem	55702	2
82517	hunter	55710	1
