STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
80233	useitem	31833	1
80233	interact	31833	2
80233	collect	31833	3
80234	hunter	31833	1
80234	interact	31834	2
80234	interact	31835	3
80234	collect	31834	4
80236	hunter	31835	1
80236	interact	31836	2
80236	hunter	31836	3
80240	hunter	31843	1
80240	hunter	31844	1
80241	hunter	31845	1
80241	interact	31842	2
80241	useitem	31837	3
80235	story	31833	1
80235	hunter	31834	2
80237	hunter	31842	1
80237	interact	31837	2
80237	interact	31838	3
80239	hunter	31838	1
80239	hunter	31839	1
80238	interact	31839	2
80238	question	31833	3
80238	interact	31843	1
80242	interact	31845	1
80242	hunter	31841	2
80242	interact	31844	3
