STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
83850	interact	47840	1
83851	hunter	47840	1
83851	hunter	47841	2
83852	interact	47841	1
83852	hunter	47842	2
83852	hunter	47843	3
83853	interact	47842	1
83853	collect	47840	2
83855	interact	47844	1
83855	hunter	47845	2
83858	interact	47845	1
83858	collect	47842	2
83858	collect	47843	3
83859	interact	47847	1
83859	interact	47848	2
83860	hunter	47849	1
83860	interact	47849	2
83860	useitem	47840	3
83861	collect	47844	1
83861	collect	47845	2
83862	hunter	47850	1
83862	hunter	47851	2
83862	collect	47846	3
83854	collect	47841	1
83854	interact	47843	2
83854	hunter	47844	3
83854	hunter	47853	4
83856	hunter	47846	1
83856	collect	47847	2
83857	hunter	47848	1
83857	hunter	47854	2
83857	collect	47848	3
83864	collect	47849	1
83865	story	47840	1
83865	useitem	47842	2
83866	story	47841	1
83866	collect	47850	2
83867	interact	47852	1
83867	interact	47853	2
83868	interact	47854	1
83868	collect	47851	2
83869	collect	47852	1
83870	interact	47855	1
83870	useitem	47843	2
83871	hunter	47855	1
83871	hunter	47856	2
83872	interact	47856	1
83872	interact	47857	1
83873	story	47842	1
83874	interact	47858	1
83874	hunter	47857	2
83875	interact	47859	1
83875	interact	47860	1
83875	interact	47861	1
83863	interact	47850	1
83863	hunter	47852	2
83863	interact	47851	3
