STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
81250	interact	36600	1
81251	interact	36601	1
81260	interact	36612	1
81260	interact	36613	1
81260	interact	36614	1
81262	hunter	36604	1
81263	hunter	36605	1
81264	hunter	36606	1
81264	collect	36606	1
81265	hunter	36607	1
81265	hunter	36608	1
81266	hunter	36609	1
81266	hunter	36610	1
81267	hunter	36611	1
81267	hunter	36612	1
81267	collect	36607	1
81268	collect	36608	1
81270	collect	36610	1
81270	collect	36611	1
81272	story	36601	1
81272	useitem	36603	1
81252	interact	36602	2
81252	collect	36600	1
81255	interact	36605	1
81255	useitem	36600	2
81257	interact	36607	1
81257	hunter	36600	2
81257	collect	36603	2
81258	interact	36608	1
81258	interact	36609	3
81258	hunter	36601	2
81259	interact	36610	1
81259	interact	36611	3
81259	collect	36604	2
81261	interact	36615	1
81261	hunter	36602	2
81261	hunter	36603	2
81261	collect	36605	2
81256	interact	36606	1
81256	useitem	36601	2
81271	story	36600	1
81271	hunter	36613	2
81271	collect	36612	2
81269	collect	36613	1
81253	interact	36603	1
81253	hunter	36615	2
81254	interact	36604	1
81254	hunter	36616	2
