STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
84779	interact	53601	1
84780	interact	53602	1
84782	interact	53604	1
84784	interact	53606	1
84785	interact	53607	1
84786	interact	53608	1
84779	interact	53611	1
84780	interact	53612	1
84782	interact	53614	1
84784	interact	53616	1
84785	interact	53617	1
84786	interact	53618	1
84819	interact	53621	1
84820	interact	53622	1
84821	interact	53623	1
84822	interact	53624	1
84821	interact	53630	1
84822	interact	53631	1
84788	hunter	53600	1
84789	hunter	53601	1
84790	hunter	53602	1
84791	hunter	53603	1
84792	hunter	53604	1
84793	hunter	53605	1
84794	hunter	53606	1
84795	hunter	53607	1
84796	hunter	53608	1
84797	hunter	53609	1
84798	hunter	53610	1
84799	hunter	53611	1
84800	hunter	53612	1
84801	hunter	53613	1
84802	hunter	53614	1
84803	hunter	53615	1
84804	hunter	53616	1
84805	hunter	53617	1
84806	hunter	53618	1
84807	hunter	53619	1
84808	hunter	53620	1
84809	hunter	53621	1
84810	hunter	53622	1
84811	hunter	53623	1
84812	hunter	53624	1
84813	hunter	53625	1
84814	hunter	53626	1
84815	hunter	53627	1
84817	hunter	53629	1
84819	hunter	53631	1
84820	hunter	53632	1
84821	hunter	53633	1
84822	hunter	53634	1
84828	hunter	53640	1
84829	hunter	53641	1
84830	hunter	53642	1
84831	hunter	53643	1
84833	hunter	53645	1
84834	hunter	53646	1
84835	hunter	53647	1
84836	hunter	53648	1
84837	hunter	53649	1
84828	hunter	53650	1
84829	hunter	53651	1
84830	hunter	53652	1
84831	hunter	53653	1
84833	hunter	53655	1
84834	hunter	53656	1
84835	hunter	53657	1
84836	hunter	53658	1
84837	hunter	53659	1
84819	collect	53601	1
84820	collect	53602	1
84821	collect	53603	1
84822	collect	53604	1
84839	collect	53611	1
84840	collect	53612	1
84841	collect	53613	1
84842	collect	53614	1
84843	collect	53615	1
84844	collect	53616	1
84846	collect	53618	1
84847	collect	53619	1
84850	collect	53622	1
84839	collect	53624	1
84840	collect	53625	1
84841	collect	53626	1
84842	collect	53627	1
84843	collect	53628	1
84844	collect	53629	1
84846	collect	53631	1
84847	collect	53632	1
84850	collect	53635	1
84750	story	53600	1
84751	story	53601	1
84752	story	53602	1
84753	story	53603	1
84754	story	53604	1
84755	story	53605	1
84756	story	53606	1
84757	story	53607	1
84758	story	53608	1
84759	story	53609	1
84760	story	53610	1
84761	story	53611	1
84762	story	53612	1
84763	story	53613	1
84764	story	53614	1
84765	story	53615	1
84766	story	53616	1
84767	story	53617	1
84768	story	53618	1
84769	story	53619	1
84770	question	53600	1
84771	question	53601	1
84772	question	53602	1
84773	question	53603	1
84774	question	53604	1
84775	question	53605	1
84776	question	53606	1
84777	question	53607	1
84787	interact	53609	1
84787	interact	53619	2
84781	interact	53603	1
84781	interact	53613	2
84783	interact	53605	1
84783	interact	53615	2
84851	story	53620	1
84851	question	53609	2
84851	interact	53660	3
84852	hunter	53660	1
84852	interact	53640	2
84852	collect	53636	3
84853	hunter	53661	1
84853	hunter	53662	1
84853	story	53621	2
84854	hunter	53663	1
84854	interact	53641	2
84854	story	53622	3
84858	collect	53640	1
84858	interact	53643	2
84861	story	53626	1
84861	interact	53644	1
84859	question	53610	1
84859	story	53625	2
84862	convoy	53613	1
84863	convoy	53614	1
84863	collect	53638	3
84863	hunter	53668	2
84848	collect	53620	1
84778	interact	53600	1
84778	interact	53610	1
84864	story	53627	1
84866	interact	53661	1
84867	interact	53662	1
84867	interact	53663	2
84868	story	53628	1
84869	interact	53664	1
84870	story	53629	1
84816	hunter	53628	1
84816	hunter	53669	1
84818	interact	53620	1
84818	hunter	53630	2
84823	interact	53625	1
84823	interact	53632	1
84823	collect	53605	1
84824	interact	53626	1
84824	interact	53633	1
84824	collect	53606	1
84825	interact	53627	1
84825	interact	53634	1
84825	hunter	53637	1
84826	interact	53628	1
84826	interact	53635	1
84826	hunter	53638	1
84826	collect	53608	1
84827	interact	53629	1
84827	interact	53636	1
84827	hunter	53639	1
84845	collect	53617	1
84849	collect	53634	1
84855	hunter	53664	1
84855	story	53623	2
84871	hunter	53670	1
84872	hunter	53671	1
84873	hunter	53672	1
84874	hunter	53673	1
84875	hunter	53674	1
84876	hunter	53675	1
84877	hunter	53676	1
84878	hunter	53677	1
84879	hunter	53678	1
84880	hunter	53679	1
84838	collect	53623	1
84860	hunter	53666	1
84860	hunter	53667	2
84865	useitem	53621	1
84865	question	53611	2
84832	hunter	53654	1
