STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
86250	interact	41686	1
86250	interact	41687	2
86250	collect	41686	3
86251	interact	41688	1
86251	hunter	41686	2
86251	collect	41687	3
86253	interact	41691	1
86253	interact	41692	2
86253	collect	41688	3
86254	hunter	41690	1
86254	hunter	41691	2
86254	hunter	41692	3
86252	interact	41689	1
86252	hunter	41687	2
86252	hunter	41688	3
86255	interact	41693	1
86255	interact	41694	2
86256	hunter	41693	1
86256	hunter	41694	2
86256	interact	41696	3
86257	collect	41689	1
86269	useitem	41686	1
86258	interact	41697	1
86258	collect	41691	2
86258	collect	41692	3
86259	hunter	41695	1
86259	hunter	41696	2
86259	interact	41699	3
86260	hunter	41697	1
86260	hunter	41698	2
86260	interact	41700	3
86261	interact	41701	1
86261	interact	41702	2
86261	interact	41703	3
86262	interact	41705	1
86262	interact	41706	2
86262	interact	41707	3
86263	interact	41708	1
86263	interact	41709	2
86263	interact	41710	3
86264	hunter	41699	1
86264	hunter	41700	2
86264	interact	41711	3
86265	interact	41712	1
86265	interact	41713	2
86265	collect	41693	3
86266	interact	41714	1
86266	interact	41715	2
86266	interact	41716	3
86267	hunter	41701	1
86267	interact	41717	2
86267	interact	41718	3
86268	interact	41719	1
86268	interact	41720	2
86268	hunter	41702	3
