STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
82950	hunter	43700	1
82951	collect	43700	1
82952	collect	43701	1
82953	hunter	43701	1
82954	collect	43702	1
82955	useitem	43700	1
82956	hunter	43702	1
82957	collect	43703	2
82957	interact	43700	1
82959	hunter	43703	1
82960	hunter	43704	1
82960	collect	43705	1
82961	hunter	43705	1
82962	interact	43702	1
82963	collect	43706	1
82964	hunter	43706	1
82965	interact	43703	1
82965	collect	43707	2
82966	collect	43708	1
82967	collect	43709	1
82967	collect	43710	1
82968	hunter	43707	1
82972	hunter	43709	1
82972	interact	43705	2
82973	hunter	43710	1
82974	interact	43706	1
82974	hunter	43711	2
82976	hunter	43712	1
82977	hunter	43713	1
82978	hunter	43714	1
82958	collect	43704	1
82969	collect	43712	1
82975	interact	43707	2
82975	interact	43708	1
82975	collect	43711	3
