STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
81078	interact	35600	1
81079	interact	35601	1
81082	interact	35604	1
81084	interact	35606	1
81085	interact	35607	1
81088	interact	35610	1
81093	interact	35615	1
81093	interact	35626	1
81133	interact	35633	1
81134	interact	35634	1
81135	interact	35635	1
81136	interact	35636	1
81137	interact	35637	1
81138	interact	35638	1
81078	hunter	35600	1
81079	hunter	35601	1
81082	hunter	35604	1
81084	hunter	35606	1
81085	hunter	35607	1
81088	hunter	35610	1
81100	hunter	35611	1
81102	hunter	35613	1
81103	hunter	35614	1
81104	hunter	35615	1
81105	hunter	35616	1
81106	hunter	35617	1
81109	hunter	35620	1
81110	hunter	35621	1
81122	hunter	35622	1
81123	hunter	35623	1
81124	hunter	35624	1
81125	hunter	35625	1
81126	hunter	35626	1
81127	hunter	35627	1
81128	hunter	35628	1
81129	hunter	35629	1
81130	hunter	35630	1
81131	hunter	35631	1
81132	hunter	35632	1
81122	hunter	35633	1
81123	hunter	35634	1
81124	hunter	35635	1
81125	hunter	35636	1
81126	hunter	35637	1
81127	hunter	35638	1
81128	hunter	35639	1
81129	hunter	35640	1
81130	hunter	35641	1
81131	hunter	35642	1
81132	hunter	35643	1
81139	hunter	35644	1
81140	hunter	35645	1
81141	hunter	35646	1
81142	hunter	35647	1
81143	hunter	35648	1
81144	hunter	35649	1
81145	hunter	35650	1
81146	hunter	35651	1
81147	hunter	35652	1
81148	hunter	35653	1
81149	hunter	35654	1
81150	hunter	35655	1
81151	hunter	35656	1
81152	hunter	35657	1
81153	hunter	35658	1
81093	collect	35604	1
81100	collect	35611	1
81102	collect	35613	1
81103	collect	35614	1
81104	collect	35615	1
81105	collect	35616	1
81106	collect	35617	1
81109	collect	35620	1
81110	collect	35621	1
81111	collect	35622	1
81112	collect	35623	1
81113	collect	35624	1
81114	collect	35625	1
81115	collect	35626	1
81116	collect	35627	1
81117	collect	35628	1
81118	collect	35629	1
81119	collect	35630	1
81120	collect	35631	1
81050	story	35600	1
81051	story	35601	1
81052	story	35602	1
81053	story	35603	1
81054	story	35604	1
81055	story	35605	1
81056	story	35606	1
81060	story	35610	1
81061	story	35611	1
81062	story	35612	1
81063	story	35613	1
81064	story	35614	1
81065	story	35615	1
81066	story	35616	1
81067	story	35617	1
81068	story	35618	1
81069	story	35619	1
81070	question	35600	1
81071	question	35601	1
81072	question	35602	1
81073	question	35603	1
81074	question	35604	1
81075	question	35605	1
81076	question	35606	1
81077	question	35607	1
81083	interact	35605	1
81083	hunter	35605	2
81081	interact	35603	1
81081	hunter	35603	2
81080	interact	35602	1
81080	hunter	35602	2
81086	interact	35608	1
81086	hunter	35608	2
81087	interact	35609	1
81087	hunter	35609	2
81089	interact	35611	1
81089	interact	35622	2
81089	collect	35600	3
81090	interact	35612	1
81090	interact	35623	2
81090	collect	35601	3
81092	interact	35614	1
81092	interact	35625	2
81092	collect	35603	3
81091	interact	35613	1
81091	interact	35624	2
81091	collect	35602	3
81094	interact	35616	1
81094	interact	35627	3
81094	collect	35605	2
81095	interact	35617	1
81095	interact	35628	2
81095	collect	35606	3
81096	interact	35618	1
81096	interact	35629	3
81096	collect	35607	2
81097	interact	35619	1
81097	interact	35630	3
81097	collect	35608	2
81098	interact	35620	1
81098	interact	35631	2
81098	collect	35609	3
81099	interact	35621	1
81099	interact	35632	2
81099	collect	35610	3
81108	hunter	35619	1
81108	collect	35619	1
81154	useitem	35620	1
81154	useitem	35621	2
81155	useitem	35622	1
81157	interact	35640	1
81157	interact	35641	2
81158	useitem	35624	1
81159	interact	35642	1
81160	interact	35643	1
81160	interact	35644	2
81162	hunter	35659	1
81163	interact	35646	1
81164	interact	35647	1
81165	interact	35648	1
81165	collect	35641	2
81165	interact	35649	3
81165	interact	35650	4
81166	interact	35651	1
81166	hunter	35660	3
81166	interact	35652	2
81166	interact	35653	4
81167	hunter	35661	1
81168	story	35620	1
81169	interact	35654	1
81169	hunter	35662	2
81169	interact	35655	3
81170	story	35621	1
81171	hunter	35663	1
81172	hunter	35664	1
81173	interact	35656	1
81174	interact	35657	1
81175	interact	35658	1
81176	hunter	35666	1
81177	story	35623	1
81178	interact	35659	1
81179	interact	35660	1
81180	interact	35661	1
81181	interact	35662	1
81182	interact	35663	1
81183	interact	35664	1
81183	story	35624	2
81184	story	35625	1
81185	interact	35665	1
81186	interact	35666	1
81186	interact	35667	2
81187	interact	35668	1
81187	story	35626	2
81188	interact	35669	1
81189	interact	35670	1
81190	interact	35671	1
81107	hunter	35618	1
81107	collect	35618	2
81101	hunter	35612	1
81101	collect	35612	2
81156	useitem	35623	1
81161	collect	35642	1
81057	hunter	35667	1
81057	hunter	35668	2
81058	story	35627	1
