STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
82400	interact	40840	1
82400	collect	40840	2
82401	collect	40841	1
82401	interact	40841	2
82401	useitem	40840	3
82403	collect	40842	1
82404	hunter	40840	1
82404	interact	40844	2
82405	story	40840	1
82406	interact	40845	1
82407	interact	40846	1
82407	hunter	40841	2
82408	interact	40847	1
82408	hunter	40842	2
82409	interact	40848	1
82409	interact	40849	2
82410	interact	40850	1
82410	hunter	40843	2
82411	collect	40843	1
82412	interact	40851	1
82412	useitem	40842	2
82413	hunter	40844	1
82414	hunter	40845	1
82415	interact	40852	1
82415	collect	40844	2
82416	interact	40853	1
82416	story	40841	2
82416	interact	40854	3
82417	hunter	40846	1
82417	interact	40855	2
82417	hunter	40847	3
82418	story	40842	1
82418	interact	40856	2
82418	useitem	40843	3
82419	hunter	40848	1
82420	convoy	40841	1
82420	hunter	40849	2
82420	interact	40857	3
82420	collect	40845	4
82421	interact	40858	1
82421	hunter	40850	2
82421	interact	40859	3
82421	hunter	40851	4
82422	interact	40860	1
82422	collect	40847	2
82402	interact	40842	1
82402	convoy	40840	4
82402	useitem	40841	2
82402	interact	40843	3
