STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
80650	collect	33660	1
80650	interact	33660	2
80650	hunter	33660	3
80651	hunter	33661	1
80651	interact	33661	2
80651	hunter	33662	3
80652	story	33662	1
80652	hunter	33663	2
80652	interact	33662	3
80652	hunter	33664	4
80653	interact	33663	1
80653	collect	33661	2
80653	interact	33677	3
80653	convoy	33660	4
80654	collect	33662	1
80655	hunter	33665	1
80656	collect	33663	1
80656	interact	33664	2
80656	interact	33665	3
80657	useitem	33660	1
80658	hunter	33666	1
80658	interact	33666	2
80658	convoy	33661	3
80659	collect	33664	1
80659	interact	33667	2
80660	collect	33665	2
80660	interact	33668	1
80660	interact	33669	3
80661	collect	33666	1
80662	interact	33670	1
80662	interact	33671	2
80663	interact	33672	1
80663	interact	33673	2
80663	convoy	33662	3
80664	interact	33674	1
80664	story	33661	2
80664	collect	33667	3
80665	question	33660	1
80665	collect	33668	2
80666	hunter	33667	1
80666	useitem	33661	2
80667	interact	33675	1
80667	useitem	33662	2
80668	question	33661	1
80668	question	33662	2
80669	collect	33669	1
80670	hunter	33668	1
80670	interact	33676	2
80671	collect	33670	1
80672	hunter	33669	1
80673	collect	33671	1
80674	collect	33672	1
80674	collect	33673	2
80675	useitem	33664	1
80675	interact	33678	2
80677	useitem	33665	1
80676	useitem	33663	1
80676	hunter	33670	1
