STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
28481	interact	1250	1
28482	interact	1251	1
28482	interact	1252	2
28483	interact	1253	1
28483	interact	1254	2
28483	interact	1255	3
28484	story	1250	1
28484	hunter	1250	2
28485	story	1251	1
28487	hunter	1251	1
28486	interact	1256	1
28488	interact	1257	1
28493	interact	1258	1
28494	collect	1250	1
28495	interact	1259	1
28496	interact	1260	1
28497	interact	1261	1
28498	hunter	1252	1
28499	collect	1251	1
28500	hunter	1253	1
28505	interact	1262	1
28505	hunter	1254	2
28506	interact	1263	1
28506	interact	1264	2
28507	collect	1252	1
28508	interact	1265	1
28508	hunter	1255	2
28509	interact	1266	1
28511	interact	1269	1
28517	interact	1270	1
28519	interact	1271	1
28519	hunter	1258	2
28520	interact	1272	1
28521	interact	1273	1
28521	interact	1274	2
28521	interact	1275	3
28529	interact	1276	1
28529	useitem	1250	2
28530	interact	1277	1
28531	interact	1278	1
28531	useitem	1251	2
28532	interact	1279	1
28533	interact	1280	1
28533	hunter	1259	2
28533	collect	1255	3
28534	interact	1281	1
28534	interact	1282	2
28534	hunter	1260	3
28541	interact	1283	1
28541	interact	1284	2
28541	interact	1285	3
28541	interact	1286	4
28542	interact	1287	1
28544	interact	1289	3
28544	hunter	1261	1
28544	hunter	1262	2
28553	hunter	1263	1
28554	hunter	1264	1
28555	hunter	1265	1
28556	interact	1290	1
28557	interact	1291	1
28557	useitem	1253	2
28558	hunter	1266	1
28559	interact	1292	1
28565	hunter	1267	1
28565	interact	1293	3
28565	collect	1256	2
28566	interact	1294	1
28568	hunter	1268	1
28568	interact	1296	2
28569	interact	1298	1
28569	interact	1299	2
28577	interact	1300	1
28577	story	1252	2
28578	hunter	1269	1
28578	interact	1301	2
28579	interact	1302	1
28579	hunter	1270	2
28579	interact	1303	3
28581	interact	1304	1
28589	interact	1305	1
28591	hunter	1271	1
28591	interact	1306	2
28592	hunter	1272	1
28592	hunter	1273	2
28592	hunter	1274	3
28592	hunter	1275	4
28592	hunter	1276	5
28590	hunter	1277	1
28590	hunter	1278	2
28590	hunter	1279	3
28602	interact	1308	1
28601	interact	1307	1
28601	story	1254	2
28601	story	1255	3
28603	hunter	1280	1
28603	interact	1309	2
28604	hunter	1281	1
28604	interact	1310	2
28605	interact	1311	1
28605	hunter	1282	2
28613	story	1256	1
28614	interact	1313	1
28615	story	1257	1
28616	hunter	1283	1
28616	hunter	1284	2
28616	interact	1314	3
28616	hunter	1285	4
28617	interact	1315	1
28618	interact	1316	1
28618	interact	1317	2
28618	interact	1318	3
28580	useitem	1254	2
28580	interact	1319	1
28543	useitem	1252	2
28543	interact	1288	1
28510	interact	1268	1
28510	hunter	1256	2
28510	interact	1312	3
28518	hunter	1257	1
28518	collect	1254	1
28567	interact	1295	1
28567	interact	1297	2
