STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
26339	story	13177	1
26339	interact	13179	2
26337	hunter	13176	1
26337	interact	13176	2
26337	interact	13177	3
26342	interact	13182	1
26342	collect	13177	2
26343	interact	13183	1
26343	interact	13184	2
26343	interact	13185	3
26340	hunter	13181	1
26340	interact	13186	2
26353	story	13180	1
26345	interact	13187	1
26345	interact	13188	2
26345	interact	13189	3
26346	hunter	13182	1
26346	hunter	13183	2
26346	hunter	13184	3
26346	hunter	13185	4
26347	hunter	13186	1
26347	hunter	13187	2
26348	interact	13190	1
26348	interact	13191	2
26354	interact	13192	1
26354	hunter	13188	2
26354	interact	13193	3
26341	hunter	13178	1
26341	story	13178	2
26341	interact	13180	3
26341	interact	13181	4
26352	interact	13196	1
26352	interact	13198	2
26352	interact	13197	3
26349	interact	13194	1
26338	story	13176	1
26338	interact	13178	2
26338	collect	13176	3
26351	hunter	13190	1
26344	collect	13179	1
26344	interact	13199	2
26350	interact	13195	1
26350	hunter	13189	2
26350	interact	13200	3
