STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
49212	collect	8622	1
49223	interact	8623	1
49223	interact	8624	2
49236	collect	8625	-1
49236	collect	8626	-1
49236	collect	8627	-1
49227	interact	8628	1
49227	interact	8629	2
49227	useitem	8630	3
49233	convoy	8628	1
49235	hunter	8628	1
49214	interact	8631	-1
49214	interact	8632	-1
49219	interact	8633	1
49219	convoy	8634	2
49234	interact	8634	1
49234	interact	8635	2
49234	collect	8636	3
49213	useitem	8749	1
49213	useitem	8748	1
49218	useitem	8639	1
49232	interact	8638	1
49232	interact	8639	1
49224	interact	8640	1
49224	interact	8641	1
49215	story	8600	1
49216	story	8601	1
49222	useitem	8600	1
49225	interact	8600	2
49225	interact	8601	1
49225	convoy	8600	3
49225	interact	8602	4
49221	convoy	8601	1
49220	collect	8641	1
49228	useitem	8638	2
49228	interact	8607	1
49228	useitem	8637	3
49304	story	8605	1
49302	hunter	8629	2
49302	interact	8614	1
49305	story	8606	1
49305	interact	8618	2
49305	interact	8619	3
49306	interact	8620	1
49306	story	8607	2
49306	interact	8622	3
49307	story	8608	1
49309	interact	8625	1
49309	interact	8626	2
49309	story	8610	3
49311	interact	8643	1
49311	story	8611	2
49312	story	8612	1
49312	interact	8644	2
49314	story	8614	1
49314	story	8615	2
49316	interact	8648	1
49316	story	8616	4
49316	useitem	8604	3
49316	interact	8649	2
49317	convoy	8603	1
49317	interact	8650	2
49317	story	8617	3
49317	interact	8651	4
49315	interact	8646	1
49315	collect	8601	2
49315	collect	8602	2
49318	interact	8652	1
49318	interact	8653	2
49318	collect	8603	3
49318	collect	8604	3
49318	collect	8605	3
49318	collect	8606	3
49319	interact	8654	1
49319	hunter	8623	2
49320	story	8618	1
49410	hunter	8624	1
49411	hunter	8625	1
49412	hunter	8626	1
49413	hunter	8627	1
49414	hunter	8630	1
49415	hunter	8631	1
49416	hunter	8632	1
49226	interact	8604	1
49226	interact	8655	2
49237	hunter	8633	1
49313	interact	8645	1
49313	hunter	8622	3
49313	story	8613	4
49313	interact	8656	2
49328	story	8619	1
49327	interact	8660	1
49230	useitem	8601	-1
49230	useitem	8602	-1
49337	interact	8661	1
49338	interact	8662	1
49300	story	8602	1
49300	interact	8608	2
49300	convoy	8602	3
49300	interact	8663	4
49330	interact	8664	1
49301	interact	8611	2
49301	interact	8665	1
49238	interact	8666	1
49238	collect	8607	2
49238	collect	8608	2
49238	collect	8609	2
49331	interact	8657	1
49331	interact	8667	2
49229	story	8620	1
49231	story	8621	1
49239	interact	8666	1
49239	collect	8607	2
49239	collect	8608	2
49239	collect	8609	2
49240	interact	8666	1
49240	collect	8607	2
49240	collect	8608	2
49240	collect	8609	2
49241	convoy	8605	2
49241	interact	8668	1
49322	hunter	8634	1
49308	collect	8600	1
49308	story	8609	3
49308	collect	8611	2
49344	hunter	8636	1
49242	special	859	1
49243	special	860	1
49244	special	861	1
49245	special	862	1
49246	collect	8612	-1
49246	collect	8613	-1
49247	hunter	8637	2
49247	interact	8670	1
49249	collect	8616	1
49249	collect	8617	1
49250	hunter	8638	1
49251	hunter	8639	1
49252	hunter	8640	1
49253	collect	8618	-1
49253	collect	8619	-1
49310	interact	8627	2
49310	interact	8630	1
49310	interact	8636	3
49310	interact	8669	4
49310	hunter	8635	5
49310	hunter	8641	6
49477	special	0	1
49478	special	0	1
49479	special	0	1
49480	special	0	1
49481	special	0	1
49482	special	0	1
49483	special	0	1
49484	special	0	1
49485	special	0	1
49486	special	0	1
49487	special	0	1
49488	special	0	1
49489	special	0	1
49490	special	0	1
49491	special	0	1
49492	special	0	1
49493	special	0	1
49494	special	0	1
49495	special	0	1
49496	special	0	1
49497	special	0	1
49498	special	0	1
49499	special	0	1
49500	special	0	1
49339	interact	8672	1
49329	interact	8671	1
49340	interact	8673	1
49341	interact	8674	1
49342	interact	8675	1
49201	hunter	8600	1
49202	hunter	8602	1
49203	hunter	8604	1
49204	hunter	8606	1
49205	hunter	8608	1
49206	hunter	8610	1
49207	hunter	8613	1
49208	hunter	8614	1
49209	hunter	8617	1
49210	hunter	8619	1
49211	hunter	8620	1
49248	collect	8614	1
49248	collect	8615	2
