STRING	STRING	STRING	STRING	STRING
ID	Type	TypeID	Order	RandCount
73175	interact	73175	1	
72702	story	72701	1	
73176	special	1245	1	
73178	interact	73176	2	
73179	interact	73177	2	
73184	special	1246	1	
73186	interact	73178	1	
73187	hunter	73187	2	
73187	interact	73179	1	
73188	interact	73180	1	
73188	hunter	73188	2	
73189	interact	73181	1	
73191	interact	73182	1	
73192	interact	73183	1	
73192	hunter	73189	2	
73193	interact	73184	1	
73193	hunter	73190	2	
73194	interact	73185	1	
73195	special	1247	1	
73196	interact	73186	1	
73196	interact	73187	2	
73196	hunter	73191	3	
73197	interact	73188	1	
72703	story	72702	1	
72704	interact	72701	1	
72704	interact	72702	2	
72704	hunter	72701	3	
72706	interact	72704	1	
72706	interact	72705	2	
72706	interact	72706	3	
72706	interact	72707	4	
72707	interact	72708	1	
72707	story	72703	2	
72707	interact	72709	3	
72707	story	72704	4	
72707	story	72705	5	
73164	hunter	73164	1	
73164	interact	73164	2	
73165	interact	73165	2	
73165	interact	73166	3	
73165	interact	73167	1	
73166	collect	73166	1	
73166	interact	73168	2	
73167	collect	73167	1	
73167	interact	73169	2	
73169	special	1248	1	
72710	story	72707	1	
72710	interact	72716	2	
72710	useitem	72701	3	
72708	story	72706	1	
72708	collect	72701	2	
72708	interact	72710	3	
72708	interact	72711	4	
72708	interact	72712	5	
72708	useitem	72702	6	
72711	story	72708	1	
72712	interact	72717	1	
72712	collect	72702	2	
72712	interact	72718	3	
72714	interact	72722	1	
72714	story	72710	2	
72715	convoy	72702	1	
72715	story	72711	2	
72716	collect	72703	1	
72716	story	72712	2	
72716	interact	72723	3	
72716	useitem	72703	4	
72717	interact	72724	1	
72717	story	72713	3	
72717	interact	72725	4	
72717	useitem	72704	2	
72718	interact	72726	1	
72718	story	72714	3	
72718	story	72715	4	
72718	interact	72727	2	
73163	interact	73163	1	
73163	interact	73162	2	
72705	interact	72703	1	
72705	interact	72728	2	
72709	interact	72713	1	
72709	hunter	72702	2	
72713	story	72709	1	
72713	hunter	72703	2	
72713	interact	72719	3	
72713	hunter	72704	4	
72713	interact	72721	5	
73200	story	72716	1	
73155	hunter	73192	1	
