STRING	STRING	STRING	STRING
ID	Type	TypeID	Order
22434	hunter	3226	1
22434	interact	3226	2
22435	question	3226	1
22435	story	3226	2
22436	interact	3227	1
22436	interact	3228	2
22436	collect	3226	3
22437	interact	3229	1
22437	hunter	3227	2
22437	interact	3230	3
22438	hunter	3228	1
22438	convoy	3226	2
22439	interact	3231	1
22439	useitem	3226	2
22440	interact	3232	1
22440	hunter	3229	2
22440	interact	3233	3
22441	interact	3234	1
22441	story	3227	2
22442	useitem	3227	1
22442	useitem	3228	2
22443	interact	3235	1
22443	hunter	3230	2
22443	interact	3236	3
22443	interact	3237	4
22444	hunter	3231	1
22444	interact	3238	2
22444	interact	3239	3
22445	interact	3240	1
22446	hunter	3232	1
22446	interact	3241	2
22447	useitem	3229	1
22447	story	3228	2
22447	convoy	3227	3
22448	interact	3242	1
22448	collect	3227	2
22449	useitem	3230	1
22449	convoy	3228	2
22450	hunter	3233	1
22450	interact	3243	2
22450	hunter	3234	3
22451	convoy	3229	1
22451	interact	3244	2
22452	interact	3245	1
22453	interact	3246	1
22453	useitem	3231	2
22453	interact	3247	3
22454	hunter	3235	1
22454	convoy	3230	2
22454	hunter	3236	3
22455	hunter	3237	1
22455	interact	3248	2
22455	useitem	3232	3
22455	interact	3249	4
22433	interact	3250	1
